"Min,Max,Modal Price from Maharashtra,Osmanabad[Maize],Umarga from 01-Jan-2010To23-Oct-2020 (Total-263) (Total-263)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Osmanabad,Umarga,Maize,Yellow,FAQ,1301,1301,1301,27-Aug-20
2,Osmanabad,Umarga,Maize,Deshi Red,FAQ,1301,1700,1500,24-Aug-20
3,Osmanabad,Umarga,Maize,Deshi Red,FAQ,1651,1651,1651,20-Jun-20
4,Osmanabad,Umarga,Maize,Deshi Red,FAQ,1750,1750,1750,18-Jun-20
5,Osmanabad,Umarga,Maize,Yellow,FAQ,1650,1650,1650,8-Jun-20
6,Osmanabad,Umarga,Maize,Yellow,FAQ,1401,1401,1401,2-Jun-20
7,Osmanabad,Umarga,Maize,Yellow,FAQ,1601,1651,1640,28-May-20
8,Osmanabad,Umarga,Maize,Deshi Red,FAQ,1350,1350,1350,21-May-20
9,Osmanabad,Umarga,Maize,Deshi Red,FAQ,1701,1701,1701,9-May-20
10,Osmanabad,Umarga,Maize,Yellow,FAQ,1570,1570,1570,23-Dec-19
11,Osmanabad,Umarga,Maize,Deshi Red,FAQ,1400,1400,1400,7-Nov-19
12,Osmanabad,Umarga,Maize,Yellow,FAQ,1790,1790,1790,1-Oct-19
13,Osmanabad,Umarga,Maize,Yellow,FAQ,2200,2200,2200,25-Sep-19
14,Osmanabad,Umarga,Maize,Deshi Red,FAQ,1890,1890,1890,19-Sep-19
15,Osmanabad,Umarga,Maize,Yellow,FAQ,2250,2250,2250,16-Sep-19
16,Osmanabad,Umarga,Maize,Yellow,FAQ,2240,2240,2240,26-Jun-19
17,Osmanabad,Umarga,Maize,Yellow,FAQ,1975,1975,1975,8-Apr-19
18,Osmanabad,Umarga,Maize,Yellow,FAQ,1850,1850,1850,1-Apr-19
19,Osmanabad,Umarga,Maize,Yellow,FAQ,1500,1700,1500,22-Mar-19
20,Osmanabad,Umarga,Maize,Deshi Red,FAQ,1500,1700,1500,21-Mar-19
21,Osmanabad,Umarga,Maize,Yellow,FAQ,1580,1580,1580,3-Jan-19
22,Osmanabad,Umarga,Maize,Deshi Red,FAQ,1210,1210,1210,31-Dec-18
23,Osmanabad,Umarga,Maize,Yellow,FAQ,1250,1250,1250,17-Dec-18
24,Osmanabad,Umarga,Maize,Yellow,FAQ,1590,1590,1590,5-Dec-18
25,Osmanabad,Umarga,Maize,Yellow,FAQ,1250,1250,1250,27-Nov-18
26,Osmanabad,Umarga,Maize,Yellow,FAQ,1301,1301,1301,22-Nov-18
27,Osmanabad,Umarga,Maize,Yellow,FAQ,1400,1680,1540,14-Nov-18
28,Osmanabad,Umarga,Maize,Deshi Red,FAQ,1250,1400,1250,30-Oct-18
29,Osmanabad,Umarga,Maize,Yellow,FAQ,1550,1550,1550,22-Oct-18
