"Min,Max,Modal Price from Maharashtra,Aurangabad[Onion],Aurangabad from 01-Jan-2010To22-Oct-2020 (Total-2948) (Total-2948)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Aurangabad,Aurangabad,Onion,Other,FAQ,500,4500,2500,14-Oct-20
2,Aurangabad,Aurangabad,Onion,Other,FAQ,1000,5000,3000,13-Oct-20
3,Aurangabad,Aurangabad,Onion,Other,FAQ,400,3500,1950,12-Oct-20
4,Aurangabad,Aurangabad,Onion,Other,FAQ,300,3500,1900,11-Oct-20
5,Aurangabad,Aurangabad,Onion,Other,FAQ,300,3300,1800,10-Oct-20
6,Aurangabad,Aurangabad,Onion,Other,FAQ,200,3000,1600,8-Oct-20
7,Aurangabad,Aurangabad,Onion,Other,FAQ,700,3300,2000,7-Oct-20
8,Aurangabad,Aurangabad,Onion,Other,FAQ,350,3400,1875,6-Oct-20
9,Aurangabad,Aurangabad,Onion,Other,FAQ,700,3300,2000,5-Oct-20
10,Aurangabad,Aurangabad,Onion,Other,FAQ,500,3200,1850,4-Oct-20
11,Aurangabad,Aurangabad,Onion,Other,FAQ,300,3000,1650,3-Oct-20
12,Aurangabad,Aurangabad,Onion,Other,FAQ,200,3400,1800,1-Oct-20
13,Aurangabad,Aurangabad,Onion,Other,FAQ,300,3500,1900,30-Sep-20
14,Aurangabad,Aurangabad,Onion,Other,FAQ,1000,3200,2100,29-Sep-20
15,Aurangabad,Aurangabad,Onion,Other,FAQ,700,3300,2000,28-Sep-20
16,Aurangabad,Aurangabad,Onion,Other,FAQ,1000,3400,2200,27-Sep-20
17,Aurangabad,Aurangabad,Onion,Other,FAQ,200,3200,1700,26-Sep-20
18,Aurangabad,Aurangabad,Onion,Other,FAQ,400,3200,1800,24-Sep-20
19,Aurangabad,Aurangabad,Onion,Other,FAQ,500,3500,2000,23-Sep-20
20,Aurangabad,Aurangabad,Onion,Other,FAQ,500,3500,2000,22-Sep-20
21,Aurangabad,Aurangabad,Onion,Other,FAQ,200,3200,1700,21-Sep-20
22,Aurangabad,Aurangabad,Onion,Other,FAQ,400,3000,1700,20-Sep-20
23,Aurangabad,Aurangabad,Onion,Other,FAQ,300,2300,1300,19-Sep-20
24,Aurangabad,Aurangabad,Onion,Other,FAQ,300,2200,1250,17-Sep-20
25,Aurangabad,Aurangabad,Onion,Other,FAQ,400,2300,1350,16-Sep-20
26,Aurangabad,Aurangabad,Onion,Other,FAQ,200,2200,1200,15-Sep-20
27,Aurangabad,Aurangabad,Onion,Other,FAQ,300,2100,1200,14-Sep-20
28,Aurangabad,Aurangabad,Onion,Other,FAQ,200,2200,1200,13-Sep-20
29,Aurangabad,Aurangabad,Onion,Other,FAQ,500,2500,1500,12-Sep-20
30,Aurangabad,Aurangabad,Onion,Other,FAQ,300,2400,1350,10-Sep-20
31,Aurangabad,Aurangabad,Onion,Other,FAQ,110,1850,980,9-Sep-20
32,Aurangabad,Aurangabad,Onion,Other,FAQ,300,1800,1050,8-Sep-20
33,Aurangabad,Aurangabad,Onion,Other,FAQ,200,1900,1050,7-Sep-20
34,Aurangabad,Aurangabad,Onion,Other,FAQ,150,1900,1025,6-Sep-20
35,Aurangabad,Aurangabad,Onion,Other,FAQ,300,1800,1050,5-Sep-20
36,Aurangabad,Aurangabad,Onion,Other,FAQ,200,1600,900,3-Sep-20
37,Aurangabad,Aurangabad,Onion,Other,FAQ,500,1500,1000,2-Sep-20
38,Aurangabad,Aurangabad,Onion,Other,FAQ,400,1400,900,31-Aug-20
39,Aurangabad,Aurangabad,Onion,Other,FAQ,500,1500,1000,30-Aug-20
40,Aurangabad,Aurangabad,Onion,Other,FAQ,800,1400,1100,29-Aug-20
41,Aurangabad,Aurangabad,Onion,Other,FAQ,500,1500,1000,27-Aug-20
42,Aurangabad,Aurangabad,Onion,Other,FAQ,500,1400,950,25-Aug-20
43,Aurangabad,Aurangabad,Onion,Other,FAQ,400,1300,850,24-Aug-20
44,Aurangabad,Aurangabad,Onion,Other,FAQ,400,1200,800,23-Aug-20
45,Aurangabad,Aurangabad,Onion,Other,FAQ,400,1000,700,22-Aug-20
46,Aurangabad,Aurangabad,Onion,Other,FAQ,600,900,750,20-Aug-20
47,Aurangabad,Aurangabad,Onion,Other,FAQ,300,800,550,19-Aug-20
48,Aurangabad,Aurangabad,Onion,Other,FAQ,700,1100,900,18-Aug-20
49,Aurangabad,Aurangabad,Onion,Other,FAQ,400,1000,700,17-Aug-20
50,Aurangabad,Aurangabad,Onion,Other,FAQ,300,1000,650,16-Aug-20
51,Aurangabad,Aurangabad,Onion,Other,FAQ,500,1100,800,15-Aug-20
52,Aurangabad,Aurangabad,Onion,Other,FAQ,200,650,425,13-Aug-20
53,Aurangabad,Aurangabad,Onion,Other,FAQ,250,800,525,12-Aug-20
54,Aurangabad,Aurangabad,Onion,Other,FAQ,300,800,550,11-Aug-20
55,Aurangabad,Aurangabad,Onion,Other,FAQ,300,700,500,10-Aug-20
56,Aurangabad,Aurangabad,Onion,Other,FAQ,200,800,500,9-Aug-20
57,Aurangabad,Aurangabad,Onion,Other,FAQ,200,700,450,8-Aug-20
58,Aurangabad,Aurangabad,Onion,Other,FAQ,200,600,400,6-Aug-20
59,Aurangabad,Aurangabad,Onion,Other,FAQ,150,650,450,5-Aug-20
60,Aurangabad,Aurangabad,Onion,Other,FAQ,150,700,425,4-Aug-20
61,Aurangabad,Aurangabad,Onion,Other,FAQ,100,600,350,3-Aug-20
62,Aurangabad,Aurangabad,Onion,Other,FAQ,300,700,500,2-Aug-20
63,Aurangabad,Aurangabad,Onion,Other,FAQ,400,600,500,30-Jul-20
64,Aurangabad,Aurangabad,Onion,Other,FAQ,250,700,475,29-Jul-20
65,Aurangabad,Aurangabad,Onion,Other,FAQ,300,700,500,28-Jul-20
66,Aurangabad,Aurangabad,Onion,Other,FAQ,300,650,475,27-Jul-20
67,Aurangabad,Aurangabad,Onion,Other,FAQ,200,700,450,26-Jul-20
