"Min,Max,Modal Price from Maharashtra,Chandrapur[Onion],Chandrapur(Ganjwad) from 01-Jan-2010To22-Oct-2020 (Total-1499) (Total-1499)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,3000,5000,4000,14-Oct-20
2,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,3000,5000,4000,13-Oct-20
3,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,3000,5000,4000,12-Oct-20
4,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,3000,5000,4000,10-Oct-20
5,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,3000,5000,4000,6-Oct-20
6,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,3000,5700,4200,5-Oct-20
7,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,2500,5700,4000,30-Sep-20
8,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,3000,5000,4000,29-Sep-20
9,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,2000,3500,2800,23-Sep-20
10,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,2400,3700,3000,22-Sep-20
11,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,2000,3000,2500,21-Sep-20
12,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1800,2500,2000,19-Sep-20
13,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1600,2200,2000,18-Sep-20
14,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1600,2400,2000,17-Sep-20
15,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1600,2200,2000,16-Sep-20
16,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1800,2200,2000,15-Sep-20
17,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1500,2200,1800,9-Sep-20
18,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1600,2400,2000,7-Sep-20
19,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1600,2400,2000,5-Sep-20
20,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,2000,2500,2300,4-Sep-20
21,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1400,2200,1800,3-Sep-20
22,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1600,2000,1800,2-Sep-20
23,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1400,1800,1600,29-Aug-20
24,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1500,1800,1600,28-Aug-20
25,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1600,2000,1800,27-Aug-20
26,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1200,1600,1400,24-Aug-20
27,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1100,1500,1300,22-Aug-20
28,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1300,1500,1400,20-Aug-20
29,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1100,1500,1300,17-Aug-20
30,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1000,1500,1300,13-Aug-20
31,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,800,1200,1000,11-Aug-20
32,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1000,1700,1600,10-Aug-20
33,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1300,1700,1500,8-Aug-20
34,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1300,1700,1500,7-Aug-20
35,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1000,1500,1300,6-Aug-20
36,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1300,1500,1400,5-Aug-20
37,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1000,1500,1200,4-Aug-20
38,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1000,1500,1300,31-Jul-20
39,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1000,1700,1500,28-Jul-20
40,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1000,1700,1500,25-Jul-20
41,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1500,1700,1600,24-Jul-20
42,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1500,1700,1600,22-Jul-20
43,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1300,1700,1500,14-Jul-20
44,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1300,1700,1500,13-Jul-20
45,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1200,1700,1500,11-Jul-20
46,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1200,1700,1500,10-Jul-20
47,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1700,1900,1800,9-Jul-20
48,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1500,1900,1800,8-Jul-20
49,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1700,1900,1800,6-Jul-20
50,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1700,2000,1800,4-Jul-20
51,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1600,1800,1700,30-Jun-20
52,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1500,1800,1600,29-Jun-20
53,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1500,1700,1600,27-Jun-20
54,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1500,1800,1700,26-Jun-20
55,Chandrapur,Chandrapur(Ganjwad),Onion,White,FAQ,1600,1800,1700,25-Jun-20
