"Min,Max,Modal Price from Maharashtra,Nashik[Onion],Chandvad from 01-Jan-2010To22-Oct-2020 (Total-2094) (Total-2094)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nashik,Chandvad,Onion,Other,FAQ,1550,5353,4500,15-Oct-20
2,Nashik,Chandvad,Onion,Other,FAQ,1550,5107,4400,14-Oct-20
3,Nashik,Chandvad,Onion,Other,FAQ,1500,4801,4150,13-Oct-20
4,Nashik,Chandvad,Onion,Other,FAQ,1500,4700,4100,12-Oct-20
5,Nashik,Chandvad,Onion,Other,FAQ,1200,3999,3300,10-Oct-20
6,Nashik,Chandvad,Onion,Other,FAQ,1300,4160,3500,9-Oct-20
7,Nashik,Chandvad,Onion,Other,FAQ,1200,4201,3150,8-Oct-20
8,Nashik,Chandvad,Onion,Other,FAQ,900,4113,3100,7-Oct-20
9,Nashik,Chandvad,Onion,Other,FAQ,1000,3951,3000,6-Oct-20
10,Nashik,Chandvad,Onion,Other,FAQ,700,3952,2450,5-Oct-20
11,Nashik,Chandvad,Onion,Other,FAQ,800,3816,2600,1-Oct-20
12,Nashik,Chandvad,Onion,Other,FAQ,700,4303,2950,30-Sep-20
13,Nashik,Chandvad,Onion,Other,FAQ,800,4280,3250,29-Sep-20
14,Nashik,Chandvad,Onion,Other,FAQ,1100,4318,3150,28-Sep-20
15,Nashik,Chandvad,Onion,Other,FAQ,800,4251,3650,26-Sep-20
16,Nashik,Chandvad,Onion,Other,FAQ,750,4251,3000,25-Sep-20
17,Nashik,Chandvad,Onion,Other,FAQ,800,4141,3000,24-Sep-20
18,Nashik,Chandvad,Onion,Other,FAQ,1000,4025,3400,23-Sep-20
19,Nashik,Chandvad,Onion,Other,FAQ,1000,4025,3350,22-Sep-20
20,Nashik,Chandvad,Onion,Other,FAQ,900,4026,3500,21-Sep-20
21,Nashik,Chandvad,Onion,Other,FAQ,1100,3518,3000,19-Sep-20
22,Nashik,Chandvad,Onion,Other,FAQ,1000,2950,2200,18-Sep-20
23,Nashik,Chandvad,Onion,Other,FAQ,1000,3000,2400,17-Sep-20
24,Nashik,Chandvad,Onion,Other,FAQ,900,3000,2200,16-Sep-20
25,Nashik,Chandvad,Onion,Other,FAQ,900,2800,2100,15-Sep-20
26,Nashik,Chandvad,Onion,Other,FAQ,500,2800,2300,12-Sep-20
27,Nashik,Chandvad,Onion,Other,FAQ,1100,2738,2450,11-Sep-20
28,Nashik,Chandvad,Onion,Other,FAQ,1100,2738,2450,10-Sep-20
29,Nashik,Chandvad,Onion,Other,FAQ,1100,2812,2420,9-Sep-20
30,Nashik,Chandvad,Onion,Other,FAQ,1000,2604,2100,8-Sep-20
31,Nashik,Chandvad,Onion,Other,FAQ,500,2300,1900,5-Sep-20
32,Nashik,Chandvad,Onion,Other,FAQ,1000,2500,2200,4-Sep-20
33,Nashik,Chandvad,Onion,Other,FAQ,1000,2425,2000,3-Sep-20
34,Nashik,Chandvad,Onion,Other,FAQ,800,2360,1900,2-Sep-20
35,Nashik,Chandvad,Onion,Other,FAQ,450,1825,1510,29-Aug-20
36,Nashik,Chandvad,Onion,Other,FAQ,480,1840,1520,28-Aug-20
37,Nashik,Chandvad,Onion,Other,FAQ,450,1697,1475,26-Aug-20
38,Nashik,Chandvad,Onion,Other,FAQ,490,1721,1450,20-Aug-20
39,Nashik,Chandvad,Onion,Other,FAQ,490,1936,1750,19-Aug-20
40,Nashik,Chandvad,Onion,Other,FAQ,450,1200,870,14-Aug-20
41,Nashik,Chandvad,Onion,Other,FAQ,450,1080,875,13-Aug-20
42,Nashik,Chandvad,Onion,Other,FAQ,450,1080,875,12-Aug-20
43,Nashik,Chandvad,Onion,Other,FAQ,400,936,810,11-Aug-20
44,Nashik,Chandvad,Onion,Other,FAQ,300,850,650,8-Aug-20
45,Nashik,Chandvad,Onion,Other,FAQ,300,856,650,7-Aug-20
46,Nashik,Chandvad,Onion,Other,FAQ,310,856,640,6-Aug-20
47,Nashik,Chandvad,Onion,Other,FAQ,300,861,680,5-Aug-20
48,Nashik,Chandvad,Onion,Other,FAQ,300,842,690,4-Aug-20
49,Nashik,Chandvad,Onion,Other,FAQ,300,823,670,31-Jul-20
50,Nashik,Chandvad,Onion,Other,FAQ,300,841,670,30-Jul-20
51,Nashik,Chandvad,Onion,Other,FAQ,300,840,690,29-Jul-20
52,Nashik,Chandvad,Onion,Other,FAQ,300,800,700,28-Jul-20
53,Nashik,Chandvad,Onion,Other,FAQ,300,840,690,25-Jul-20
54,Nashik,Chandvad,Onion,Other,FAQ,300,799,675,24-Jul-20
55,Nashik,Chandvad,Onion,Other,FAQ,350,817,695,23-Jul-20
56,Nashik,Chandvad,Onion,Other,FAQ,350,820,710,22-Jul-20
57,Nashik,Chandvad,Onion,Other,FAQ,310,817,700,21-Jul-20
58,Nashik,Chandvad,Onion,Other,FAQ,300,825,700,18-Jul-20
59,Nashik,Chandvad,Onion,Other,FAQ,350,856,730,17-Jul-20
60,Nashik,Chandvad,Onion,Other,FAQ,300,842,720,16-Jul-20
61,Nashik,Chandvad,Onion,Other,FAQ,300,862,750,15-Jul-20
62,Nashik,Chandvad,Onion,Other,FAQ,300,857,700,14-Jul-20
63,Nashik,Chandvad,Onion,Other,FAQ,300,839,700,11-Jul-20
64,Nashik,Chandvad,Onion,Red,FAQ,300,890,730,10-Jul-20
65,Nashik,Chandvad,Onion,Other,FAQ,375,887,700,9-Jul-20
66,Nashik,Chandvad,Onion,Other,FAQ,350,900,750,8-Jul-20
67,Nashik,Chandvad,Onion,Other,FAQ,400,842,710,7-Jul-20
68,Nashik,Chandvad,Onion,Other,FAQ,400,916,750,4-Jul-20
69,Nashik,Chandvad,Onion,Other,FAQ,470,915,750,3-Jul-20
70,Nashik,Chandvad,Onion,Other,FAQ,400,910,750,2-Jul-20
71,Nashik,Chandvad,Onion,Other,FAQ,350,908,785,30-Jun-20
72,Nashik,Chandvad,Onion,Other,FAQ,350,900,725,27-Jun-20
73,Nashik,Chandvad,Onion,Other,FAQ,400,925,750,26-Jun-20
74,Nashik,Chandvad,Onion,Other,FAQ,400,955,770,25-Jun-20
75,Nashik,Chandvad,Onion,Other,FAQ,350,969,750,24-Jun-20
76,Nashik,Chandvad,Onion,Other,FAQ,350,874,715,23-Jun-20
77,Nashik,Chandvad,Onion,Other,FAQ,300,1015,700,19-Jun-20
78,Nashik,Chandvad,Onion,Other,FAQ,300,945,720,18-Jun-20
79,Nashik,Chandvad,Onion,Other,FAQ,350,891,690,17-Jun-20
80,Nashik,Chandvad,Onion,Other,FAQ,300,1025,720,16-Jun-20
81,Nashik,Chandvad,Onion,Other,FAQ,400,1025,850,13-Jun-20
82,Nashik,Chandvad,Onion,Other,FAQ,400,1038,850,12-Jun-20
83,Nashik,Chandvad,Onion,Other,FAQ,350,1050,910,11-Jun-20
84,Nashik,Chandvad,Onion,Other,FAQ,400,1072,900,10-Jun-20
85,Nashik,Chandvad,Onion,Other,FAQ,450,1050,850,9-Jun-20
86,Nashik,Chandvad,Onion,Other,FAQ,250,952,710,6-Jun-20
87,Nashik,Chandvad,Onion,Other,FAQ,350,1015,690,5-Jun-20
88,Nashik,Chandvad,Onion,Other,FAQ,350,1015,690,4-Jun-20
89,Nashik,Chandvad,Onion,Other,FAQ,200,951,680,3-Jun-20
90,Nashik,Chandvad,Onion,Other,FAQ,360,915,670,2-Jun-20
91,Nashik,Chandvad,Onion,Other,FAQ,250,950,700,30-May-20
92,Nashik,Chandvad,Onion,Other,FAQ,300,950,700,29-May-20
93,Nashik,Chandvad,Onion,Other,FAQ,300,1000,700,28-May-20
94,Nashik,Chandvad,Onion,Other,FAQ,300,911,675,27-May-20
95,Nashik,Chandvad,Onion,Other,FAQ,300,899,690,26-May-20
96,Nashik,Chandvad,Onion,Other,FAQ,200,700,610,21-May-20
97,Nashik,Chandvad,Onion,Other,FAQ,200,712,600,20-May-20
98,Nashik,Chandvad,Onion,Other,FAQ,200,677,550,19-May-20
99,Nashik,Chandvad,Onion,Other,FAQ,200,600,550,18-May-20
100,Nashik,Chandvad,Onion,Other,FAQ,200,625,550,16-May-20
101,Nashik,Chandvad,Onion,Other,FAQ,200,625,550,15-May-20
102,Nashik,Chandvad,Onion,Other,FAQ,200,700,600,14-May-20
103,Nashik,Chandvad,Onion,Other,FAQ,250,600,550,13-May-20
104,Nashik,Chandvad,Onion,Other,FAQ,250,670,600,12-May-20
105,Nashik,Chandvad,Onion,Other,FAQ,250,635,600,11-May-20
106,Nashik,Chandvad,Onion,Other,FAQ,300,650,600,9-May-20
107,Nashik,Chandvad,Onion,Other,FAQ,300,670,625,8-May-20
108,Nashik,Chandvad,Onion,Other,FAQ,300,665,600,7-May-20
109,Nashik,Chandvad,Onion,Other,FAQ,200,750,700,6-May-20
110,Nashik,Chandvad,Onion,Other,FAQ,300,730,650,5-May-20
111,Nashik,Chandvad,Onion,Other,FAQ,350,730,700,1-May-20
112,Nashik,Chandvad,Onion,Other,FAQ,300,800,700,30-Apr-20
113,Nashik,Chandvad,Onion,Red,FAQ,250,1000,650,18-Apr-20
114,Nashik,Chandvad,Onion,Red,FAQ,650,1703,1300,28-Mar-20
115,Nashik,Chandvad,Onion,Red,FAQ,750,1686,1300,27-Mar-20
116,Nashik,Chandvad,Onion,Red,FAQ,950,1530,1350,26-Mar-20
117,Nashik,Chandvad,Onion,Red,FAQ,700,1360,1000,21-Mar-20
118,Nashik,Chandvad,Onion,Red,FAQ,700,1305,1050,20-Mar-20
119,Nashik,Chandvad,Onion,Red,FAQ,500,1149,900,19-Mar-20
120,Nashik,Chandvad,Onion,Red,FAQ,450,1286,1000,18-Mar-20
121,Nashik,Chandvad,Onion,Red,FAQ,950,1726,1575,17-Mar-20
122,Nashik,Chandvad,Onion,Red,FAQ,950,1726,1575,14-Mar-20
123,Nashik,Chandvad,Onion,Red,FAQ,900,1808,1650,12-Mar-20
124,Nashik,Chandvad,Onion,Red,FAQ,1000,1840,1600,11-Mar-20
125,Nashik,Chandvad,Onion,Red,FAQ,950,1832,1600,7-Mar-20
126,Nashik,Chandvad,Onion,Red,FAQ,150,1850,1710,6-Mar-20
127,Nashik,Chandvad,Onion,Red,FAQ,1000,1760,1600,5-Mar-20
128,Nashik,Chandvad,Onion,Red,FAQ,1000,1818,1620,4-Mar-20
129,Nashik,Chandvad,Onion,Red,FAQ,1050,2035,1750,28-Feb-20
130,Nashik,Chandvad,Onion,Red,FAQ,1500,2311,1900,27-Feb-20
131,Nashik,Chandvad,Onion,Red,FAQ,1000,1977,1700,25-Feb-20
