"Min,Max,Modal Price from Maharashtra,Nashik[Onion],Dindori from 01-Jan-2010To22-Oct-2020 (Total-754) (Total-754)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nashik,Dindori,Onion,Other,FAQ,2500,3400,2871,29-Sep-20
2,Nashik,Dindori,Onion,Other,FAQ,2201,3601,3251,28-Sep-20
3,Nashik,Dindori,Onion,Other,FAQ,3000,3601,3401,25-Sep-20
4,Nashik,Dindori,Onion,Other,FAQ,2821,3839,3377,24-Sep-20
5,Nashik,Dindori,Onion,Other,FAQ,2830,4201,3561,23-Sep-20
6,Nashik,Dindori,Onion,Other,FAQ,4000,4251,4200,22-Sep-20
7,Nashik,Dindori,Onion,Other,FAQ,3511,4006,3911,21-Sep-20
8,Nashik,Dindori,Onion,Other,FAQ,2401,2700,2550,18-Sep-20
9,Nashik,Dindori,Onion,Other,FAQ,2000,2200,2100,17-Sep-20
10,Nashik,Dindori,Onion,Other,FAQ,1650,2857,2122,16-Sep-20
11,Nashik,Dindori,Onion,Other,FAQ,1030,2351,2100,15-Sep-20
12,Nashik,Dindori,Onion,Other,FAQ,1661,2801,2300,14-Sep-20
13,Nashik,Dindori,Onion,Other,FAQ,1811,2651,2400,11-Sep-20
14,Nashik,Dindori,Onion,Other,FAQ,1696,2729,2600,10-Sep-20
15,Nashik,Dindori,Onion,Other,FAQ,1821,2550,2100,9-Sep-20
16,Nashik,Dindori,Onion,Other,FAQ,1600,2108,1751,8-Sep-20
17,Nashik,Dindori,Onion,Other,FAQ,1651,2060,1700,7-Sep-20
18,Nashik,Dindori,Onion,Other,FAQ,1800,2316,2000,4-Sep-20
19,Nashik,Dindori,Onion,Other,FAQ,1750,2208,1900,3-Sep-20
20,Nashik,Dindori,Onion,Other,FAQ,1400,1900,1600,2-Sep-20
21,Nashik,Dindori,Onion,Other,FAQ,1401,1560,1451,31-Aug-20
22,Nashik,Dindori,Onion,Other,FAQ,1100,1800,1550,28-Aug-20
23,Nashik,Dindori,Onion,Other,FAQ,195,1713,1580,27-Aug-20
24,Nashik,Dindori,Onion,Other,FAQ,900,1415,1251,25-Aug-20
25,Nashik,Dindori,Onion,Other,FAQ,701,1175,1075,24-Aug-20
26,Nashik,Dindori,Onion,Other,FAQ,1020,1500,1400,20-Aug-20
27,Nashik,Dindori,Onion,Other,FAQ,1245,1900,1700,19-Aug-20
28,Nashik,Dindori,Onion,Other,FAQ,1101,1335,1270,17-Aug-20
29,Nashik,Dindori,Onion,Other,FAQ,960,965,961,14-Aug-20
30,Nashik,Dindori,Onion,Other,FAQ,380,911,400,13-Aug-20
31,Nashik,Dindori,Onion,Other,FAQ,695,900,850,12-Aug-20
32,Nashik,Dindori,Onion,Other,FAQ,850,886,860,11-Aug-20
33,Nashik,Dindori,Onion,Other,FAQ,599,702,655,10-Aug-20
34,Nashik,Dindori,Onion,Other,FAQ,581,696,615,7-Aug-20
35,Nashik,Dindori,Onion,Other,FAQ,465,691,611,6-Aug-20
36,Nashik,Dindori,Onion,Other,FAQ,565,730,630,5-Aug-20
37,Nashik,Dindori,Onion,Other,FAQ,550,701,600,4-Aug-20
38,Nashik,Dindori,Onion,Other,FAQ,500,741,675,31-Jul-20
39,Nashik,Dindori,Onion,Other,FAQ,596,691,650,30-Jul-20
40,Nashik,Dindori,Onion,Other,FAQ,570,724,650,29-Jul-20
41,Nashik,Dindori,Onion,Other,FAQ,626,751,690,28-Jul-20
42,Nashik,Dindori,Onion,Other,FAQ,650,742,700,27-Jul-20
43,Nashik,Dindori,Onion,Other,FAQ,500,770,710,24-Jul-20
44,Nashik,Dindori,Onion,Other,FAQ,555,799,700,23-Jul-20
45,Nashik,Dindori,Onion,Other,FAQ,600,775,710,22-Jul-20
46,Nashik,Dindori,Onion,Other,FAQ,569,738,700,21-Jul-20
47,Nashik,Dindori,Onion,Other,FAQ,627,730,650,20-Jul-20
48,Nashik,Dindori,Onion,Other,FAQ,609,740,650,17-Jul-20
49,Nashik,Dindori,Onion,Other,FAQ,620,801,685,16-Jul-20
50,Nashik,Dindori,Onion,Other,FAQ,555,701,680,15-Jul-20
51,Nashik,Dindori,Onion,Other,FAQ,562,750,678,14-Jul-20
52,Nashik,Dindori,Onion,Other,FAQ,600,794,655,13-Jul-20
53,Nashik,Dindori,Onion,Other,FAQ,550,804,700,10-Jul-20
54,Nashik,Dindori,Onion,Other,FAQ,521,826,600,9-Jul-20
55,Nashik,Dindori,Onion,Other,FAQ,525,876,610,8-Jul-20
56,Nashik,Dindori,Onion,Other,FAQ,536,875,650,7-Jul-20
57,Nashik,Dindori,Onion,Other,FAQ,573,851,650,6-Jul-20
58,Nashik,Dindori,Onion,Other,FAQ,581,731,600,3-Jul-20
59,Nashik,Dindori,Onion,Other,FAQ,550,881,650,2-Jul-20
60,Nashik,Dindori,Onion,Other,FAQ,525,900,740,30-Jun-20
61,Nashik,Dindori,Onion,Other,FAQ,601,1056,787,29-Jun-20
62,Nashik,Dindori,Onion,Other,FAQ,611,1046,700,26-Jun-20
63,Nashik,Dindori,Onion,Other,FAQ,500,1030,650,25-Jun-20
