"Min,Max,Modal Price from Maharashtra,Ahmednagar[Onion],Shrigonda(Gogargaon) from 01-Jan-2010To22-Oct-2020 (Total-106) (Total-106)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,400,4250,2000,21-Nov-19
2,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,150,3600,1600,20-Nov-19
3,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,150,3500,1700,19-Nov-19
4,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,600,5500,2000,18-Nov-19
5,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,500,3300,2000,27-Oct-19
6,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,400,3000,1800,26-Oct-19
7,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,800,3000,1700,22-Oct-19
8,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,500,2800,1600,21-Oct-19
9,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,500,3200,2000,20-Oct-19
10,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,500,3500,1500,3-Oct-19
11,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,650,3900,2200,2-Oct-19
12,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,600,4800,2500,1-Oct-19
13,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,500,3600,2000,30-Sep-19
14,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,500,2600,1400,9-Sep-19
15,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,500,2600,1600,6-Sep-19
16,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,500,2600,1500,3-Sep-19
17,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,500,2600,1600,1-Sep-19
18,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,800,3000,1800,29-Aug-19
19,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,1000,2700,1500,25-Aug-19
20,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,700,2700,1500,23-Aug-19
21,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,800,2525,1500,21-Aug-19
22,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,400,2200,1200,20-Aug-19
23,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,900,2700,1500,19-Aug-19
24,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,700,1600,1000,18-Aug-19
25,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,200,1800,900,11-Aug-19
26,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,700,1800,1000,9-Aug-19
27,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,1000,1800,1300,8-Aug-19
28,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,700,1700,1200,4-Aug-19
29,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,700,1675,1200,2-Aug-19
30,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,400,1550,950,30-Jul-19
31,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,500,1500,900,28-Jul-19
32,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,200,1500,700,21-Jul-19
33,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,200,1400,650,19-Jul-19
34,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,200,1450,650,16-Jul-19
35,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,200,1400,600,14-Jul-19
36,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,200,1500,700,12-Jul-19
37,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,200,1600,700,9-Jul-19
38,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,200,1600,700,7-Jul-19
39,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,200,1700,700,5-Jul-19
40,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,400,1600,900,2-Jul-19
41,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,200,1500,650,30-Jun-19
42,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,200,1500,650,29-Jun-19
43,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,400,1500,750,25-Jun-19
44,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,300,1750,800,20-Jun-19
45,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,300,1700,800,19-Jun-19
46,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,300,1525,850,18-Jun-19
47,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,300,1800,1000,15-Jun-19
48,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,300,1800,1000,14-Jun-19
49,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,300,1550,900,13-Jun-19
50,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,1600,750,4-Jun-19
51,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,1550,650,2-Jun-19
52,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,1500,700,31-May-19
53,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,1500,800,30-May-19
54,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,1350,700,29-May-19
55,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,1400,700,28-May-19
56,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,1100,550,24-May-19
57,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,1100,600,20-May-19
58,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,1200,750,10-May-19
59,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,900,550,7-May-19
60,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,1000,650,5-May-19
61,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,1000,700,3-May-19
62,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,1100,650,30-Apr-19
63,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,1000,600,28-Apr-19
64,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,1000,650,21-Apr-19
65,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,900,600,19-Apr-19
66,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,805,500,16-Apr-19
67,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,800,600,14-Apr-19
68,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,950,550,9-Apr-19
69,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,750,450,7-Apr-19
70,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,750,500,5-Apr-19
71,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,150,800,500,2-Apr-19
72,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,150,900,650,31-Mar-19
73,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,150,700,500,29-Mar-19
74,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,650,450,26-Mar-19
75,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,650,450,23-Mar-19
76,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,150,600,400,19-Mar-19
77,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,700,500,17-Mar-19
78,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,750,550,15-Mar-19
79,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,900,550,12-Mar-19
80,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,200,700,500,8-Mar-19
81,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,500,400,6-Mar-19
82,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,600,400,3-Mar-19
83,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,550,400,1-Mar-19
84,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,600,400,26-Feb-19
85,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,625,450,24-Feb-19
86,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,550,350,22-Feb-19
87,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,600,400,19-Feb-19
88,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,600,400,17-Feb-19
89,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,650,400,15-Feb-19
90,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,725,500,12-Feb-19
91,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,700,450,10-Feb-19
92,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,650,400,9-Feb-19
93,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,700,450,5-Feb-19
94,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,750,400,3-Feb-19
95,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,600,350,29-Jan-19
96,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,700,400,22-Jan-19
97,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,800,400,20-Jan-19
98,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,850,650,19-Jan-19
99,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,600,400,15-Jan-19
100,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,700,550,13-Jan-19
101,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,800,600,11-Jan-19
102,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,800,600,8-Jan-19
103,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,100,900,700,6-Jan-19
104,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,200,800,500,4-Jan-19
105,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,200,1200,800,1-Jan-19
106,Ahmednagar,Shrigonda(Gogargaon),Onion,Other,FAQ,200,900,600,31-Dec-18
