"Min,Max,Modal Price from Maharashtra,Pune[Onion],Junnar(Alephata) from 01-Jan-2010To22-Oct-2020 (Total-730) (Total-730)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Pune,Junnar(Alephata),Onion,Other,FAQ,3000,6000,5200,13-Oct-20
2,Pune,Junnar(Alephata),Onion,Other,FAQ,3200,5210,4500,11-Oct-20
3,Pune,Junnar(Alephata),Onion,Other,FAQ,2300,4250,3500,9-Oct-20
4,Pune,Junnar(Alephata),Onion,Other,FAQ,2300,4210,3500,4-Oct-20
5,Pune,Junnar(Alephata),Onion,Other,FAQ,2400,4510,3700,2-Oct-20
6,Pune,Junnar(Alephata),Onion,Other,FAQ,15000,60000,40000,1-Oct-20
7,Pune,Junnar(Alephata),Onion,Other,FAQ,1500,4500,3000,29-Sep-20
8,Pune,Junnar(Alephata),Onion,Other,FAQ,2400,4510,3700,27-Sep-20
9,Pune,Junnar(Alephata),Onion,Other,FAQ,1550,4110,2850,25-Sep-20
10,Pune,Junnar(Alephata),Onion,Other,FAQ,2500,4600,3800,22-Sep-20
11,Pune,Junnar(Alephata),Onion,Other,FAQ,1500,4210,3200,20-Sep-20
12,Pune,Junnar(Alephata),Onion,Other,FAQ,1300,3110,1900,18-Sep-20
13,Pune,Junnar(Alephata),Onion,Other,FAQ,1300,3000,1900,15-Sep-20
14,Pune,Junnar(Alephata),Onion,Other,FAQ,1200,2900,1800,13-Sep-20
15,Pune,Junnar(Alephata),Onion,Other,FAQ,1800,3210,2500,11-Sep-20
16,Pune,Junnar(Alephata),Onion,Other,FAQ,1100,2300,1700,6-Sep-20
17,Pune,Junnar(Alephata),Onion,Other,FAQ,1200,2400,1800,4-Sep-20
18,Pune,Junnar(Alephata),Onion,Other,FAQ,1100,2150,1600,1-Sep-20
19,Pune,Junnar(Alephata),Onion,Other,FAQ,1100,1910,1600,30-Aug-20
20,Pune,Junnar(Alephata),Onion,Other,FAQ,1100,2110,1700,28-Aug-20
21,Pune,Junnar(Alephata),Onion,Other,FAQ,850,1750,1450,25-Aug-20
22,Pune,Junnar(Alephata),Onion,Other,FAQ,800,1650,1300,23-Aug-20
23,Pune,Junnar(Alephata),Onion,Other,FAQ,900,1800,1300,21-Aug-20
