"Min,Max,Modal Price from Maharashtra,Pune[Onion],Junnar(Otur) from 01-Jan-2010To22-Oct-2020 (Total-393) (Total-393)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Pune,Junnar(Otur),Onion,Other,FAQ,1000,5000,4000,11-Oct-20
2,Pune,Junnar(Otur),Onion,Other,FAQ,2000,4300,3000,8-Oct-20
3,Pune,Junnar(Otur),Onion,Other,FAQ,1500,4510,3500,4-Oct-20
4,Pune,Junnar(Otur),Onion,Other,FAQ,1800,4500,4000,27-Sep-20
5,Pune,Junnar(Otur),Onion,Other,FAQ,2000,4300,3500,24-Sep-20
6,Pune,Junnar(Otur),Onion,Other,FAQ,1500,3500,3000,17-Sep-20
7,Pune,Junnar(Otur),Onion,Other,FAQ,1500,3001,2500,13-Sep-20
8,Pune,Junnar(Otur),Onion,Other,FAQ,1500,3110,2500,10-Sep-20
9,Pune,Junnar(Otur),Onion,Other,FAQ,900,1800,1500,27-Aug-20
10,Pune,Junnar(Otur),Onion,Other,FAQ,700,1700,1500,23-Aug-20
11,Pune,Junnar(Otur),Onion,Other,FAQ,500,2200,1600,20-Aug-20
12,Pune,Junnar(Otur),Onion,Other,FAQ,400,1350,1200,16-Aug-20
13,Pune,Junnar(Otur),Onion,Other,FAQ,500,1250,1000,13-Aug-20
14,Pune,Junnar(Otur),Onion,Other,FAQ,400,1000,800,9-Aug-20
15,Pune,Junnar(Otur),Onion,Other,FAQ,300,900,800,6-Aug-20
16,Pune,Junnar(Otur),Onion,Other,FAQ,260,900,750,2-Aug-20
17,Pune,Junnar(Otur),Onion,Other,FAQ,300,900,800,30-Jul-20
18,Pune,Junnar(Otur),Onion,Other,FAQ,300,930,800,26-Jul-20
19,Pune,Junnar(Otur),Onion,Other,FAQ,300,900,800,23-Jul-20
20,Pune,Junnar(Otur),Onion,Other,FAQ,200,1000,800,19-Jul-20
21,Pune,Junnar(Otur),Onion,Other,FAQ,300,1000,800,16-Jul-20
22,Pune,Junnar(Otur),Onion,Other,FAQ,500,900,800,12-Jul-20
23,Pune,Junnar(Otur),Onion,Other,FAQ,600,1000,800,5-Jul-20
24,Pune,Junnar(Otur),Onion,Other,FAQ,600,1000,850,2-Jul-20
25,Pune,Junnar(Otur),Onion,Other,FAQ,500,1000,850,28-Jun-20
26,Pune,Junnar(Otur),Onion,Other,FAQ,300,910,600,25-Jun-20
27,Pune,Junnar(Otur),Onion,Other,FAQ,600,1000,900,21-Jun-20
28,Pune,Junnar(Otur),Onion,Other,FAQ,500,1000,900,18-Jun-20
29,Pune,Junnar(Otur),Onion,Other,FAQ,400,1000,850,14-Jun-20
30,Pune,Junnar(Otur),Onion,Other,FAQ,500,1000,900,31-May-20
31,Pune,Junnar(Otur),Onion,Other,FAQ,700,1210,1000,29-May-20
32,Pune,Junnar(Otur),Onion,Other,FAQ,150,800,700,19-May-20
33,Pune,Junnar(Otur),Onion,Other,FAQ,150,800,700,18-May-20
