"Min,Max,Modal Price from Maharashtra,Thane[Onion],Kalyan from 01-Jan-2010To22-Oct-2020 (Total-2403) (Total-2403)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Thane,Kalyan,Onion,Hybrid,FAQ,2500,4000,3250,14-Oct-20
2,Thane,Kalyan,Onion,Hybrid,FAQ,3000,4000,3500,13-Oct-20
3,Thane,Kalyan,Onion,Hybrid,FAQ,2000,3500,2750,9-Oct-20
4,Thane,Kalyan,Onion,Hybrid,FAQ,1000,3600,1800,8-Oct-20
5,Thane,Kalyan,Onion,Hybrid,FAQ,2000,3500,2700,7-Oct-20
6,Thane,Kalyan,Onion,Hybrid,FAQ,2000,3500,2750,6-Oct-20
7,Thane,Kalyan,Onion,Hybrid,FAQ,2000,3500,2700,5-Oct-20
8,Thane,Kalyan,Onion,Hybrid,FAQ,1000,3600,2300,1-Oct-20
9,Thane,Kalyan,Onion,Hybrid,FAQ,1000,4000,2500,29-Sep-20
10,Thane,Kalyan,Onion,Hybrid,FAQ,1000,4000,2500,28-Sep-20
11,Thane,Kalyan,Onion,Hybrid,FAQ,1000,4000,2500,26-Sep-20
12,Thane,Kalyan,Onion,Hybrid,FAQ,1200,4000,2500,24-Sep-20
13,Thane,Kalyan,Onion,Hybrid,FAQ,1000,4000,2500,23-Sep-20
14,Thane,Kalyan,Onion,Hybrid,FAQ,1000,4000,2500,22-Sep-20
15,Thane,Kalyan,Onion,2nd Sort,FAQ,1000,2000,1500,19-Sep-20
16,Thane,Kalyan,Onion,Hybrid,FAQ,800,2200,1500,17-Sep-20
17,Thane,Kalyan,Onion,2nd Sort,FAQ,1100,1300,1200,16-Sep-20
18,Thane,Kalyan,Onion,1st Sort,FAQ,1600,2000,1800,16-Sep-20
19,Thane,Kalyan,Onion,Other,FAQ,500,1000,750,16-Sep-20
20,Thane,Kalyan,Onion,2nd Sort,FAQ,1200,1400,1300,15-Sep-20
21,Thane,Kalyan,Onion,1st Sort,FAQ,1600,2000,1800,15-Sep-20
22,Thane,Kalyan,Onion,Other,FAQ,500,1000,750,15-Sep-20
23,Thane,Kalyan,Onion,Hybrid,FAQ,1500,1700,1600,14-Sep-20
24,Thane,Kalyan,Onion,Hybrid,FAQ,1500,1700,1600,12-Sep-20
25,Thane,Kalyan,Onion,2nd Sort,FAQ,1200,1400,1300,10-Sep-20
26,Thane,Kalyan,Onion,1st Sort,FAQ,1500,1700,1600,10-Sep-20
27,Thane,Kalyan,Onion,Other,FAQ,500,1000,700,10-Sep-20
28,Thane,Kalyan,Onion,2nd Sort,FAQ,1200,1400,1300,9-Sep-20
29,Thane,Kalyan,Onion,1st Sort,FAQ,1500,1700,1600,9-Sep-20
30,Thane,Kalyan,Onion,Other,FAQ,500,1000,750,9-Sep-20
31,Thane,Kalyan,Onion,1st Sort,FAQ,1600,1800,1700,8-Sep-20
32,Thane,Kalyan,Onion,2nd Sort,FAQ,1200,1400,1300,7-Sep-20
33,Thane,Kalyan,Onion,1st Sort,FAQ,1500,1700,1600,7-Sep-20
34,Thane,Kalyan,Onion,Hybrid,FAQ,1500,1700,1600,5-Sep-20
35,Thane,Kalyan,Onion,2nd Sort,FAQ,1200,1400,1300,5-Sep-20
36,Thane,Kalyan,Onion,Other,FAQ,600,1000,800,5-Sep-20
37,Thane,Kalyan,Onion,2nd Sort,FAQ,1200,1400,1300,4-Sep-20
38,Thane,Kalyan,Onion,1st Sort,FAQ,1500,1700,1600,4-Sep-20
39,Thane,Kalyan,Onion,Other,FAQ,600,1000,800,4-Sep-20
40,Thane,Kalyan,Onion,Hybrid,FAQ,1500,1700,1600,3-Sep-20
41,Thane,Kalyan,Onion,2nd Sort,FAQ,1200,1400,1300,3-Sep-20
42,Thane,Kalyan,Onion,Other,FAQ,500,1000,750,3-Sep-20
43,Thane,Kalyan,Onion,Hybrid,FAQ,1500,1700,1600,2-Sep-20
44,Thane,Kalyan,Onion,2nd Sort,FAQ,1000,1200,1100,2-Sep-20
45,Thane,Kalyan,Onion,2nd Sort,FAQ,1000,1200,1100,1-Sep-20
46,Thane,Kalyan,Onion,1st Sort,FAQ,1500,1700,1600,1-Sep-20
47,Thane,Kalyan,Onion,2nd Sort,FAQ,1000,1200,1100,31-Aug-20
48,Thane,Kalyan,Onion,1st Sort,FAQ,1500,1700,1600,31-Aug-20
49,Thane,Kalyan,Onion,Other,FAQ,500,800,600,31-Aug-20
50,Thane,Kalyan,Onion,Hybrid,FAQ,1400,1600,1500,28-Aug-20
51,Thane,Kalyan,Onion,2nd Sort,FAQ,1100,1300,1200,28-Aug-20
52,Thane,Kalyan,Onion,Other,FAQ,500,1000,700,28-Aug-20
53,Thane,Kalyan,Onion,Hybrid,FAQ,1500,1700,1600,27-Aug-20
54,Thane,Kalyan,Onion,2nd Sort,FAQ,1200,1400,1300,27-Aug-20
55,Thane,Kalyan,Onion,Other,FAQ,500,1000,750,27-Aug-20
56,Thane,Kalyan,Onion,2nd Sort,FAQ,900,1100,1000,20-Aug-20
57,Thane,Kalyan,Onion,1st Sort,FAQ,1200,1600,1300,20-Aug-20
58,Thane,Kalyan,Onion,2nd Sort,FAQ,800,1000,900,19-Aug-20
59,Thane,Kalyan,Onion,Other,FAQ,500,700,600,19-Aug-20
60,Thane,Kalyan,Onion,Hybrid,FAQ,1100,1300,1200,18-Aug-20
61,Thane,Kalyan,Onion,2nd Sort,FAQ,800,1000,900,18-Aug-20
62,Thane,Kalyan,Onion,Other,FAQ,500,700,600,18-Aug-20
63,Thane,Kalyan,Onion,Hybrid,FAQ,1100,1300,1200,17-Aug-20
64,Thane,Kalyan,Onion,2nd Sort,FAQ,800,1000,900,17-Aug-20
65,Thane,Kalyan,Onion,Other,FAQ,500,700,600,17-Aug-20
66,Thane,Kalyan,Onion,Hybrid,FAQ,700,1100,900,15-Aug-20
67,Thane,Kalyan,Onion,Hybrid,FAQ,700,1100,900,13-Aug-20
68,Thane,Kalyan,Onion,Hybrid,FAQ,700,1100,900,12-Aug-20
69,Thane,Kalyan,Onion,Hybrid,FAQ,700,1000,850,11-Aug-20
70,Thane,Kalyan,Onion,Hybrid,FAQ,700,1000,850,10-Aug-20
71,Thane,Kalyan,Onion,Hybrid,FAQ,700,1000,850,6-Aug-20
72,Thane,Kalyan,Onion,Hybrid,FAQ,700,1000,850,5-Aug-20
73,Thane,Kalyan,Onion,Hybrid,FAQ,700,1000,850,4-Aug-20
74,Thane,Kalyan,Onion,Hybrid,FAQ,700,1000,850,3-Aug-20
75,Thane,Kalyan,Onion,1st Sort,FAQ,700,1000,850,31-Jul-20
76,Thane,Kalyan,Onion,Hybrid,FAQ,700,1000,850,29-Jul-20
77,Thane,Kalyan,Onion,Hybrid,FAQ,700,1000,850,28-Jul-20
78,Thane,Kalyan,Onion,Hybrid,FAQ,700,1000,850,27-Jul-20
79,Thane,Kalyan,Onion,Hybrid,FAQ,700,1000,850,24-Jul-20
80,Thane,Kalyan,Onion,Hybrid,FAQ,700,1000,850,23-Jul-20
