"Min,Max,Modal Price from Maharashtra,Sholapur[Onion],Karmala from 01-Jan-2010To22-Oct-2020 (Total-67) (Total-67)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sholapur,Karmala,Onion,Other,FAQ,250,1550,1000,19-Mar-20
2,Sholapur,Karmala,Onion,Other,FAQ,200,1310,1050,12-Mar-20
3,Sholapur,Karmala,Onion,Other,FAQ,250,1300,1000,5-Mar-20
4,Sholapur,Karmala,Onion,Other,FAQ,200,1600,1100,27-Feb-20
5,Sholapur,Karmala,Onion,Other,FAQ,200,2500,1820,20-Feb-20
6,Sholapur,Karmala,Onion,Other,FAQ,200,1900,1100,13-Feb-20
7,Sholapur,Karmala,Onion,Other,FAQ,100,2000,1500,6-Feb-20
8,Sholapur,Karmala,Onion,Other,FAQ,400,3350,2000,30-Jan-20
9,Sholapur,Karmala,Onion,Other,FAQ,300,3000,2600,16-Jan-20
10,Sholapur,Karmala,Onion,Other,FAQ,600,3800,3100,9-Jan-20
11,Sholapur,Karmala,Onion,Other,FAQ,1750,5000,4000,2-Jan-20
12,Sholapur,Karmala,Onion,Other,FAQ,1100,6100,4500,26-Dec-19
13,Sholapur,Karmala,Onion,Other,FAQ,100,6600,5000,19-Dec-19
14,Sholapur,Karmala,Onion,Other,FAQ,500,7500,3600,12-Dec-19
15,Sholapur,Karmala,Onion,Other,FAQ,400,9500,6000,5-Dec-19
16,Sholapur,Karmala,Onion,Other,FAQ,300,6000,4500,28-Nov-19
17,Sholapur,Karmala,Onion,Other,FAQ,450,4000,3000,21-Nov-19
18,Sholapur,Karmala,Onion,Other,FAQ,50,2000,1600,7-Nov-19
19,Sholapur,Karmala,Onion,Other,FAQ,300,2310,2200,31-Oct-19
20,Sholapur,Karmala,Onion,Other,FAQ,1500,2500,2100,24-Oct-19
21,Sholapur,Karmala,Onion,Other,FAQ,1500,2500,2000,17-Oct-19
22,Sholapur,Karmala,Onion,Other,FAQ,500,3005,900,10-Oct-19
23,Sholapur,Karmala,Onion,Other,FAQ,1500,3500,3000,3-Oct-19
24,Sholapur,Karmala,Onion,Other,FAQ,400,3900,550,27-Sep-19
25,Sholapur,Karmala,Onion,Other,FAQ,400,3900,550,26-Sep-19
26,Sholapur,Karmala,Onion,Other,FAQ,400,2800,2500,19-Sep-19
27,Sholapur,Karmala,Onion,Other,FAQ,275,2700,1800,12-Sep-19
28,Sholapur,Karmala,Onion,Other,FAQ,500,2650,2500,5-Sep-19
29,Sholapur,Karmala,Onion,Other,FAQ,500,2700,2600,29-Aug-19
30,Sholapur,Karmala,Onion,Other,FAQ,1060,2450,2100,22-Aug-19
31,Sholapur,Karmala,Onion,Other,FAQ,350,1100,650,8-Aug-19
32,Sholapur,Karmala,Onion,Other,FAQ,300,1250,650,1-Aug-19
33,Sholapur,Karmala,Onion,Other,FAQ,350,1200,550,25-Jul-19
34,Sholapur,Karmala,Onion,Other,FAQ,370,1550,1050,18-Jul-19
35,Sholapur,Karmala,Onion,Other,FAQ,600,1600,1000,11-Jul-19
36,Sholapur,Karmala,Onion,Other,FAQ,500,1600,1050,4-Jul-19
37,Sholapur,Karmala,Onion,Other,FAQ,150,650,450,20-Jun-19
38,Sholapur,Karmala,Onion,Other,FAQ,750,1400,1000,13-Jun-19
39,Sholapur,Karmala,Onion,Other,FAQ,600,1400,1000,6-Jun-19
40,Sholapur,Karmala,Onion,Other,FAQ,260,875,650,30-May-19
41,Sholapur,Karmala,Onion,Other,FAQ,100,650,450,23-May-19
42,Sholapur,Karmala,Onion,Other,FAQ,50,600,300,9-May-19
43,Sholapur,Karmala,Onion,Other,FAQ,50,600,300,2-May-19
44,Sholapur,Karmala,Onion,Other,FAQ,100,550,300,25-Apr-19
45,Sholapur,Karmala,Onion,Other,FAQ,50,465,310,18-Apr-19
46,Sholapur,Karmala,Onion,Other,FAQ,25,660,460,11-Apr-19
47,Sholapur,Karmala,Onion,Other,FAQ,50,510,350,4-Apr-19
48,Sholapur,Karmala,Onion,Other,FAQ,50,600,420,28-Mar-19
49,Sholapur,Karmala,Onion,Other,FAQ,200,550,450,22-Mar-19
50,Sholapur,Karmala,Onion,Other,FAQ,50,605,330,14-Mar-19
51,Sholapur,Karmala,Onion,Other,FAQ,75,620,360,7-Mar-19
52,Sholapur,Karmala,Onion,Other,FAQ,100,600,300,27-Feb-19
53,Sholapur,Karmala,Onion,Other,FAQ,300,700,550,26-Feb-19
54,Sholapur,Karmala,Onion,Other,FAQ,75,410,300,21-Feb-19
55,Sholapur,Karmala,Onion,Other,FAQ,250,550,350,20-Feb-19
56,Sholapur,Karmala,Onion,Other,FAQ,200,620,550,14-Feb-19
57,Sholapur,Karmala,Onion,Other,FAQ,300,650,550,12-Feb-19
58,Sholapur,Karmala,Onion,Other,FAQ,100,325,200,7-Feb-19
59,Sholapur,Karmala,Onion,Other,FAQ,25,350,200,31-Jan-19
60,Sholapur,Karmala,Onion,Other,FAQ,25,360,250,24-Jan-19
61,Sholapur,Karmala,Onion,Other,FAQ,501,1251,900,7-Mar-13
62,Sholapur,Karmala,Onion,Other,FAQ,100,1000,801,10-Jan-13
63,Sholapur,Karmala,Onion,Other,FAQ,100,1500,1000,6-Dec-12
