"Min,Max,Modal Price from Maharashtra,Ahmednagar[Onion],Kopargaon from 01-Jan-2010To22-Oct-2020 (Total-1259) (Total-1259)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ahmednagar,Kopargaon,Onion,Other,FAQ,1000,5000,4335,14-Oct-20
2,Ahmednagar,Kopargaon,Onion,Other,FAQ,900,4700,3980,13-Oct-20
3,Ahmednagar,Kopargaon,Onion,Other,FAQ,750,4101,3450,11-Oct-20
4,Ahmednagar,Kopargaon,Onion,Other,FAQ,400,4025,3325,10-Oct-20
5,Ahmednagar,Kopargaon,Onion,Other,FAQ,400,3600,3201,9-Oct-20
6,Ahmednagar,Kopargaon,Onion,Other,FAQ,400,3651,3201,8-Oct-20
7,Ahmednagar,Kopargaon,Onion,Other,FAQ,400,3601,3201,7-Oct-20
8,Ahmednagar,Kopargaon,Onion,Other,FAQ,400,3557,3101,6-Oct-20
9,Ahmednagar,Kopargaon,Onion,Other,FAQ,411,3418,2955,4-Oct-20
10,Ahmednagar,Kopargaon,Onion,Other,FAQ,200,3351,3203,3-Oct-20
11,Ahmednagar,Kopargaon,Onion,Other,FAQ,200,3852,3450,2-Oct-20
12,Ahmednagar,Kopargaon,Onion,Other,FAQ,300,4000,3600,1-Oct-20
13,Ahmednagar,Kopargaon,Onion,Other,FAQ,200,4100,3309,30-Sep-20
14,Ahmednagar,Kopargaon,Onion,Other,FAQ,200,3756,3250,29-Sep-20
15,Ahmednagar,Kopargaon,Onion,Other,FAQ,550,4301,3625,27-Sep-20
16,Ahmednagar,Kopargaon,Onion,Other,FAQ,200,3791,3185,26-Sep-20
17,Ahmednagar,Kopargaon,Onion,Other,FAQ,200,3800,3275,25-Sep-20
18,Ahmednagar,Kopargaon,Onion,Other,FAQ,200,3780,3275,24-Sep-20
19,Ahmednagar,Kopargaon,Onion,Other,FAQ,300,3755,3317,23-Sep-20
20,Ahmednagar,Kopargaon,Onion,Other,FAQ,400,4001,3576,22-Sep-20
21,Ahmednagar,Kopargaon,Onion,Other,FAQ,400,4001,3625,20-Sep-20
22,Ahmednagar,Kopargaon,Onion,Other,FAQ,250,3111,2750,19-Sep-20
23,Ahmednagar,Kopargaon,Onion,Other,FAQ,100,2901,2536,18-Sep-20
24,Ahmednagar,Kopargaon,Onion,Other,FAQ,100,2750,2405,17-Sep-20
25,Ahmednagar,Kopargaon,Onion,Other,FAQ,100,2650,2300,16-Sep-20
26,Ahmednagar,Kopargaon,Onion,Other,FAQ,200,2561,2352,15-Sep-20
27,Ahmednagar,Kopargaon,Onion,Other,FAQ,350,2690,2275,13-Sep-20
