"Min,Max,Modal Price from Maharashtra,Sholapur[Onion],Kurdwadi(Modnimb) from 01-Jan-2010To22-Oct-2020 (Total-275) (Total-275)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,280,3101,1800,12-Oct-20
2,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,200,2751,1500,8-Oct-20
3,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,200,2651,1500,28-Sep-20
4,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,200,2700,1511,24-Sep-20
5,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,900,3300,1700,22-Sep-20
6,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,500,2100,1000,17-Sep-20
7,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,350,2101,1100,14-Sep-20
8,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,400,2000,1100,10-Sep-20
9,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,100,1550,600,7-Sep-20
10,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,200,1421,700,3-Sep-20
11,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,400,1501,700,27-Aug-20
12,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,100,1200,700,24-Aug-20
13,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,300,1500,1000,20-Aug-20
14,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,200,1111,675,17-Aug-20
15,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,100,625,300,10-Aug-20
16,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,50,590,350,3-Aug-20
17,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,125,751,500,27-Jul-20
18,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,100,700,450,23-Jul-20
19,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,50,650,450,20-Jul-20
20,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,100,625,350,16-Jul-20
21,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,100,800,500,13-Jul-20
22,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,50,750,450,6-Jul-20
23,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,675,675,675,3-Jul-20
24,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,50,890,500,2-Jul-20
25,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,50,800,500,29-Jun-20
26,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,100,700,350,25-Jun-20
27,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,200,700,350,23-Jun-20
28,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,100,755,350,22-Jun-20
29,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,100,676,350,18-Jun-20
30,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,100,650,300,15-Jun-20
31,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,100,790,400,11-Jun-20
32,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,200,470,320,10-Jun-20
33,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,100,750,400,8-Jun-20
34,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,180,575,350,4-Jun-20
35,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,100,525,250,3-Jun-20
36,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,100,550,250,1-Jun-20
37,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,50,350,150,29-May-20
38,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,50,450,250,28-May-20
39,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,50,475,250,21-May-20
40,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,150,500,400,19-May-20
41,Sholapur,Kurdwadi(Modnimb),Onion,Red,FAQ,125,500,300,18-May-20
