"Min,Max,Modal Price from Maharashtra,Sholapur[Onion],Kurdwadi from 01-Jan-2010To22-Oct-2020 (Total-872) (Total-872)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sholapur,Kurdwadi,Onion,Other,FAQ,300,800,500,8-Jun-20
2,Sholapur,Kurdwadi,Onion,Other,FAQ,300,700,500,20-May-20
3,Sholapur,Kurdwadi,Onion,Other,FAQ,480,1850,1170,11-Mar-20
4,Sholapur,Kurdwadi,Onion,Other,FAQ,400,1700,1050,2-Mar-20
5,Sholapur,Kurdwadi,Onion,Other,FAQ,200,1700,950,28-Feb-20
6,Sholapur,Kurdwadi,Onion,Other,FAQ,200,1900,1050,27-Feb-20
7,Sholapur,Kurdwadi,Onion,Other,FAQ,100,2160,1150,24-Feb-20
8,Sholapur,Kurdwadi,Onion,Other,FAQ,610,2200,1601,21-Feb-20
9,Sholapur,Kurdwadi,Onion,Other,FAQ,300,2200,1250,20-Feb-20
10,Sholapur,Kurdwadi,Onion,Other,FAQ,400,2350,1375,17-Feb-20
11,Sholapur,Kurdwadi,Onion,Other,FAQ,800,2251,1601,14-Feb-20
12,Sholapur,Kurdwadi,Onion,Other,FAQ,300,2120,1450,12-Feb-20
13,Sholapur,Kurdwadi,Onion,Other,FAQ,200,1850,1025,10-Feb-20
14,Sholapur,Kurdwadi,Onion,Other,FAQ,100,1800,1150,9-Feb-20
15,Sholapur,Kurdwadi,Onion,Other,FAQ,351,2020,1750,6-Feb-20
16,Sholapur,Kurdwadi,Onion,Other,FAQ,400,2776,1601,4-Feb-20
17,Sholapur,Kurdwadi,Onion,Other,FAQ,301,2500,1650,31-Jan-20
18,Sholapur,Kurdwadi,Onion,Other,FAQ,600,3000,1800,29-Jan-20
19,Sholapur,Kurdwadi,Onion,Other,FAQ,500,3300,1850,28-Jan-20
20,Sholapur,Kurdwadi,Onion,Other,FAQ,400,3201,1850,27-Jan-20
21,Sholapur,Kurdwadi,Onion,Other,FAQ,300,4100,2200,23-Jan-20
22,Sholapur,Kurdwadi,Onion,Other,FAQ,752,4000,2380,20-Jan-20
23,Sholapur,Kurdwadi,Onion,Other,FAQ,851,4100,2475,19-Jan-20
24,Sholapur,Kurdwadi,Onion,Other,FAQ,300,3451,1850,13-Jan-20
25,Sholapur,Kurdwadi,Onion,Other,FAQ,1490,3670,2580,12-Jan-20
26,Sholapur,Kurdwadi,Onion,Other,FAQ,500,4001,2150,9-Jan-20
27,Sholapur,Kurdwadi,Onion,Other,FAQ,300,4801,2101,7-Jan-20
28,Sholapur,Kurdwadi,Onion,Other,FAQ,300,5000,2550,6-Jan-20
29,Sholapur,Kurdwadi,Onion,Other,FAQ,400,5001,3501,1-Jan-20
30,Sholapur,Kurdwadi,Onion,Other,FAQ,100,6200,4501,31-Dec-19
31,Sholapur,Kurdwadi,Onion,Other,FAQ,100,6200,4501,30-Dec-19
32,Sholapur,Kurdwadi,Onion,Other,FAQ,1000,6400,3700,28-Dec-19
33,Sholapur,Kurdwadi,Onion,Other,FAQ,1001,4601,2801,27-Dec-19
34,Sholapur,Kurdwadi,Onion,Other,FAQ,400,8000,3501,23-Dec-19
35,Sholapur,Kurdwadi,Onion,Other,FAQ,900,11152,5501,21-Dec-19
36,Sholapur,Kurdwadi,Onion,Other,FAQ,2151,7000,3501,18-Dec-19
37,Sholapur,Kurdwadi,Onion,Other,FAQ,700,5700,3200,16-Dec-19
38,Sholapur,Kurdwadi,Onion,Other,FAQ,800,6000,3500,14-Dec-19
39,Sholapur,Kurdwadi,Onion,Other,FAQ,500,6501,3501,12-Dec-19
40,Sholapur,Kurdwadi,Onion,Other,FAQ,600,5700,3150,10-Dec-19
41,Sholapur,Kurdwadi,Onion,Other,FAQ,251,9000,4750,9-Dec-19
42,Sholapur,Kurdwadi,Onion,Other,FAQ,500,6300,3100,5-Dec-19
43,Sholapur,Kurdwadi,Onion,Other,FAQ,300,5001,2650,2-Dec-19
44,Sholapur,Kurdwadi,Onion,Other,FAQ,600,5700,3150,27-Nov-19
45,Sholapur,Kurdwadi,Onion,Other,FAQ,700,6000,3300,25-Nov-19
46,Sholapur,Kurdwadi,Onion,Other,FAQ,100,3500,1550,21-Nov-19
47,Sholapur,Kurdwadi,Onion,Other,FAQ,300,3100,1750,18-Nov-19
48,Sholapur,Kurdwadi,Onion,Other,FAQ,200,2700,1350,15-Nov-19
49,Sholapur,Kurdwadi,Onion,Other,FAQ,200,2090,1150,14-Nov-19
50,Sholapur,Kurdwadi,Onion,Other,FAQ,100,2200,1150,13-Nov-19
51,Sholapur,Kurdwadi,Onion,Other,FAQ,100,1600,1050,12-Nov-19
52,Sholapur,Kurdwadi,Onion,Other,FAQ,200,3400,1750,5-Nov-19
53,Sholapur,Kurdwadi,Onion,Other,FAQ,900,2600,1750,2-Nov-19
