"Min,Max,Modal Price from Maharashtra,Buldhana[Onion],Malkapur from 01-Jan-2010To22-Oct-2020 (Total-416) (Total-416)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Buldhana,Malkapur,Onion,Local,FAQ,2400,3650,3300,13-Oct-20
2,Buldhana,Malkapur,Onion,Local,FAQ,1650,3300,2700,8-Oct-20
3,Buldhana,Malkapur,Onion,Local,FAQ,2155,3550,2955,1-Oct-20
4,Buldhana,Malkapur,Onion,Local,FAQ,1125,3200,2600,29-Sep-20
5,Buldhana,Malkapur,Onion,Local,FAQ,1400,3675,3200,24-Sep-20
6,Buldhana,Malkapur,Onion,Local,FAQ,1150,3250,2525,22-Sep-20
7,Buldhana,Malkapur,Onion,Local,FAQ,900,2230,1850,15-Sep-20
8,Buldhana,Malkapur,Onion,Local,FAQ,1105,2005,1610,10-Sep-20
9,Buldhana,Malkapur,Onion,Local,FAQ,860,1550,1100,8-Sep-20
10,Buldhana,Malkapur,Onion,Local,FAQ,500,1500,1360,3-Sep-20
11,Buldhana,Malkapur,Onion,Local,FAQ,800,1485,1100,27-Aug-20
12,Buldhana,Malkapur,Onion,Local,FAQ,800,1425,1150,20-Aug-20
13,Buldhana,Malkapur,Onion,Local,FAQ,350,700,600,13-Aug-20
14,Buldhana,Malkapur,Onion,Local,FAQ,300,620,515,11-Aug-20
15,Buldhana,Malkapur,Onion,Local,FAQ,265,600,475,6-Aug-20
16,Buldhana,Malkapur,Onion,Local,FAQ,300,666,500,4-Aug-20
17,Buldhana,Malkapur,Onion,Local,FAQ,300,665,500,30-Jul-20
18,Buldhana,Malkapur,Onion,Local,FAQ,275,600,540,28-Jul-20
19,Buldhana,Malkapur,Onion,Local,FAQ,250,635,455,23-Jul-20
20,Buldhana,Malkapur,Onion,Local,FAQ,215,650,500,21-Jul-20
21,Buldhana,Malkapur,Onion,Local,FAQ,240,535,480,16-Jul-20
22,Buldhana,Malkapur,Onion,Local,FAQ,250,615,425,14-Jul-20
23,Buldhana,Malkapur,Onion,Local,FAQ,285,710,525,9-Jul-20
24,Buldhana,Malkapur,Onion,Local,FAQ,300,680,520,7-Jul-20
25,Buldhana,Malkapur,Onion,Local,FAQ,280,530,380,25-Jun-20
26,Buldhana,Malkapur,Onion,Local,FAQ,175,425,305,4-Jun-20
27,Buldhana,Malkapur,Onion,Local,FAQ,950,950,950,20-Mar-20
28,Buldhana,Malkapur,Onion,Local,FAQ,910,2000,1110,19-Mar-20
29,Buldhana,Malkapur,Onion,Local,FAQ,950,1480,1310,13-Mar-20
30,Buldhana,Malkapur,Onion,Local,FAQ,800,1640,1260,12-Mar-20
31,Buldhana,Malkapur,Onion,Local,FAQ,900,1400,1250,6-Mar-20
32,Buldhana,Malkapur,Onion,Local,FAQ,970,1460,1295,5-Mar-20
33,Buldhana,Malkapur,Onion,Local,FAQ,900,1375,1025,28-Feb-20
34,Buldhana,Malkapur,Onion,Local,FAQ,700,1510,1350,27-Feb-20
35,Buldhana,Malkapur,Onion,Local,FAQ,1000,1875,1300,20-Feb-20
36,Buldhana,Malkapur,Onion,Local,FAQ,1000,1850,1350,13-Feb-20
37,Buldhana,Malkapur,Onion,Local,FAQ,900,1200,1075,7-Feb-20
38,Buldhana,Malkapur,Onion,Local,FAQ,855,1200,1050,6-Feb-20
39,Buldhana,Malkapur,Onion,Local,FAQ,1175,2425,1600,30-Jan-20
40,Buldhana,Malkapur,Onion,Local,FAQ,1100,2625,2200,24-Jan-20
41,Buldhana,Malkapur,Onion,Local,FAQ,1300,1600,1400,23-Jan-20
42,Buldhana,Malkapur,Onion,Local,FAQ,1200,2500,1500,17-Jan-20
43,Buldhana,Malkapur,Onion,Local,FAQ,900,2325,2225,10-Jan-20
44,Buldhana,Malkapur,Onion,Local,FAQ,1050,3300,3000,9-Jan-20
45,Buldhana,Malkapur,Onion,Local,FAQ,1175,3375,2825,3-Jan-20
46,Buldhana,Malkapur,Onion,Local,FAQ,1100,3375,2200,2-Jan-20
47,Buldhana,Malkapur,Onion,Local,FAQ,2225,5225,4600,27-Dec-19
48,Buldhana,Malkapur,Onion,Local,FAQ,1500,5650,3575,26-Dec-19
49,Buldhana,Malkapur,Onion,Local,FAQ,1200,3650,2500,20-Dec-19
50,Buldhana,Malkapur,Onion,Local,FAQ,1200,5050,3025,19-Dec-19
51,Buldhana,Malkapur,Onion,Local,FAQ,1425,4275,3275,13-Dec-19
52,Buldhana,Malkapur,Onion,Local,FAQ,950,4500,3575,12-Dec-19
53,Buldhana,Malkapur,Onion,Local,FAQ,2325,5850,4700,6-Dec-19
54,Buldhana,Malkapur,Onion,Local,FAQ,2200,5600,4750,5-Dec-19
