"Min,Max,Modal Price from Maharashtra,Pune[Onion],Pune(Khadiki) from 01-Jan-2010To22-Oct-2020 (Total-1932) (Total-1932)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Pune,Pune(Khadiki),Onion,Local,FAQ,1700,4500,3100,14-Oct-20
2,Pune,Pune(Khadiki),Onion,Local,FAQ,1600,4400,3000,13-Oct-20
3,Pune,Pune(Khadiki),Onion,Local,FAQ,1000,3200,2100,10-Oct-20
4,Pune,Pune(Khadiki),Onion,Local,FAQ,1000,3500,2250,9-Oct-20
5,Pune,Pune(Khadiki),Onion,Local,FAQ,800,3200,2000,8-Oct-20
6,Pune,Pune(Khadiki),Onion,Local,FAQ,1500,3500,2500,7-Oct-20
7,Pune,Pune(Khadiki),Onion,Local,FAQ,1400,2400,1900,6-Oct-20
8,Pune,Pune(Khadiki),Onion,Local,FAQ,1500,3200,2350,4-Oct-20
9,Pune,Pune(Khadiki),Onion,Local,FAQ,2200,3000,2500,3-Oct-20
10,Pune,Pune(Khadiki),Onion,Local,FAQ,1500,2400,1950,2-Oct-20
11,Pune,Pune(Khadiki),Onion,Local,FAQ,800,3200,2000,1-Oct-20
12,Pune,Pune(Khadiki),Onion,Local,FAQ,2600,3000,2800,30-Sep-20
13,Pune,Pune(Khadiki),Onion,Local,FAQ,1000,3000,2000,29-Sep-20
14,Pune,Pune(Khadiki),Onion,Local,FAQ,1200,3500,2350,27-Sep-20
15,Pune,Pune(Khadiki),Onion,Local,FAQ,1000,3400,2200,26-Sep-20
16,Pune,Pune(Khadiki),Onion,Local,FAQ,1000,3500,2250,25-Sep-20
17,Pune,Pune(Khadiki),Onion,Local,FAQ,600,3200,1900,24-Sep-20
18,Pune,Pune(Khadiki),Onion,Local,FAQ,2100,3600,2500,23-Sep-20
19,Pune,Pune(Khadiki),Onion,Local,FAQ,1200,3000,2100,22-Sep-20
20,Pune,Pune(Khadiki),Onion,Local,FAQ,600,2000,1300,20-Sep-20
21,Pune,Pune(Khadiki),Onion,Local,FAQ,1000,2100,1550,19-Sep-20
22,Pune,Pune(Khadiki),Onion,Local,FAQ,800,2100,1450,18-Sep-20
23,Pune,Pune(Khadiki),Onion,Local,FAQ,700,2400,1550,17-Sep-20
24,Pune,Pune(Khadiki),Onion,Local,FAQ,1400,2200,1950,16-Sep-20
25,Pune,Pune(Khadiki),Onion,Local,FAQ,700,2300,1500,15-Sep-20
26,Pune,Pune(Khadiki),Onion,Local,FAQ,600,2000,1300,13-Sep-20
27,Pune,Pune(Khadiki),Onion,Local,FAQ,1150,2200,1670,12-Sep-20
28,Pune,Pune(Khadiki),Onion,Local,FAQ,800,1600,1200,11-Sep-20
29,Pune,Pune(Khadiki),Onion,Local,FAQ,700,1400,1050,10-Sep-20
30,Pune,Pune(Khadiki),Onion,Local,FAQ,1000,1300,1150,9-Sep-20
31,Pune,Pune(Khadiki),Onion,Local,FAQ,1000,1300,1150,8-Sep-20
32,Pune,Pune(Khadiki),Onion,Local,FAQ,600,2000,1300,6-Sep-20
33,Pune,Pune(Khadiki),Onion,Local,FAQ,700,1300,1000,5-Sep-20
34,Pune,Pune(Khadiki),Onion,Local,FAQ,1100,1400,1200,4-Sep-20
35,Pune,Pune(Khadiki),Onion,Local,FAQ,800,1200,1000,3-Sep-20
