"Min,Max,Modal Price from Maharashtra,Ahmednagar[Onion],Shrigonda from 01-Jan-2010To22-Oct-2020 (Total-188) (Total-188)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,600,300,22-Jun-20
2,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,800,400,19-Jun-20
3,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,800,450,17-Jun-20
4,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,800,450,15-Jun-20
5,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,900,475,12-Jun-20
6,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,900,475,10-Jun-20
7,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,1000,450,8-Jun-20
8,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,900,450,7-Jun-20
9,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,800,450,1-Jun-20
10,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,900,575,29-May-20
11,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,801,525,27-May-20
12,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,700,450,25-May-20
13,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,805,525,24-May-20
14,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,900,550,22-May-20
15,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,800,550,20-May-20
16,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,751,475,17-May-20
17,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,800,500,15-May-20
18,Ahmednagar,Shrigonda,Onion,Other,FAQ,200,900,525,13-May-20
19,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,700,500,11-May-20
20,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,710,500,8-May-20
21,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,750,550,6-May-20
22,Ahmednagar,Shrigonda,Onion,Other,FAQ,300,1400,1250,21-Mar-20
23,Ahmednagar,Shrigonda,Onion,Other,FAQ,500,1650,1200,17-Mar-20
24,Ahmednagar,Shrigonda,Onion,Other,FAQ,300,2260,1900,16-Mar-20
25,Ahmednagar,Shrigonda,Onion,Other,FAQ,400,1700,1300,15-Mar-20
26,Ahmednagar,Shrigonda,Onion,Other,FAQ,300,1900,1600,13-Mar-20
27,Ahmednagar,Shrigonda,Onion,Other,FAQ,500,1900,1500,12-Mar-20
28,Ahmednagar,Shrigonda,Onion,Other,FAQ,500,2150,1650,11-Mar-20
29,Ahmednagar,Shrigonda,Onion,Red,FAQ,400,2100,1600,10-Mar-20
30,Ahmednagar,Shrigonda,Onion,Other,FAQ,500,2200,1700,9-Mar-20
31,Ahmednagar,Shrigonda,Onion,Other,FAQ,500,2100,1500,8-Mar-20
32,Ahmednagar,Shrigonda,Onion,Red,FAQ,600,2200,1600,28-Feb-20
33,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,2500,1500,26-Feb-20
34,Ahmednagar,Shrigonda,Onion,Red,FAQ,700,2300,1000,12-Feb-20
35,Ahmednagar,Shrigonda,Onion,Red,FAQ,20,54,20,10-Feb-20
36,Ahmednagar,Shrigonda,Onion,Other,FAQ,200,800,600,24-Apr-19
37,Ahmednagar,Shrigonda,Onion,Other,FAQ,200,800,600,12-Apr-19
38,Ahmednagar,Shrigonda,Onion,Other,FAQ,200,750,600,11-Apr-19
39,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,600,500,2-Apr-19
40,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,600,500,1-Apr-19
41,Ahmednagar,Shrigonda,Onion,Other,FAQ,150,600,450,31-Mar-19
42,Ahmednagar,Shrigonda,Onion,Other,FAQ,150,600,500,28-Mar-19
43,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,600,475,27-Mar-19
44,Ahmednagar,Shrigonda,Onion,Other,FAQ,150,650,525,26-Mar-19
45,Ahmednagar,Shrigonda,Onion,Other,FAQ,150,650,500,25-Mar-19
46,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,600,450,22-Mar-19
47,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,600,450,21-Mar-19
48,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,600,450,19-Mar-19
49,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,600,450,16-Mar-19
50,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,600,475,15-Mar-19
51,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,650,500,14-Mar-19
52,Ahmednagar,Shrigonda,Onion,Other,FAQ,150,800,600,12-Mar-19
53,Ahmednagar,Shrigonda,Onion,Other,FAQ,150,700,500,11-Mar-19
54,Ahmednagar,Shrigonda,Onion,Other,FAQ,150,750,550,9-Mar-19
55,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,575,450,8-Mar-19
56,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,550,450,7-Mar-19
57,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,550,400,5-Mar-19
58,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,525,400,4-Mar-19
59,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,550,425,3-Mar-19
60,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,575,450,2-Mar-19
61,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,550,400,1-Mar-19
62,Ahmednagar,Shrigonda,Onion,Other,FAQ,125,575,475,26-Feb-19
63,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,525,400,25-Feb-19
64,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,550,450,24-Feb-19
65,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,575,450,23-Feb-19
66,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,550,425,22-Feb-19
67,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,550,400,21-Feb-19
68,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,575,450,20-Feb-19
69,Ahmednagar,Shrigonda,Onion,Other,FAQ,150,600,450,19-Feb-19
70,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,575,425,18-Feb-19
71,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,600,450,16-Feb-19
72,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,600,450,15-Feb-19
73,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,550,400,14-Feb-19
74,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,550,400,13-Feb-19
75,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,600,450,12-Feb-19
76,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,550,450,11-Feb-19
77,Ahmednagar,Shrigonda,Onion,Other,FAQ,150,600,450,10-Feb-19
78,Ahmednagar,Shrigonda,Onion,Other,FAQ,150,650,500,9-Feb-19
79,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,625,450,8-Feb-19
80,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,600,400,7-Feb-19
81,Ahmednagar,Shrigonda,Onion,Other,FAQ,150,700,500,5-Feb-19
82,Ahmednagar,Shrigonda,Onion,Other,FAQ,150,600,400,3-Feb-19
83,Ahmednagar,Shrigonda,Onion,Other,FAQ,150,650,400,2-Feb-19
84,Ahmednagar,Shrigonda,Onion,Other,FAQ,150,600,350,1-Feb-19
85,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,700,400,31-Jan-19
86,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,600,350,30-Jan-19
87,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,550,350,29-Jan-19
88,Ahmednagar,Shrigonda,Onion,Other,FAQ,100,500,350,28-Jan-19
