"Min,Max,Modal Price from Maharashtra,Hingoli[Soyabean],Akhadabalapur from 01-Jan-2010To24-Oct-2020 (Total-978) (Total-978)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3300,3600,3450,12-Oct-20
2,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3300,3800,3550,10-Oct-20
3,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3300,3700,3500,9-Oct-20
4,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3400,3900,3650,7-Oct-20
5,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3500,4000,3750,6-Oct-20
6,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3000,3400,3200,30-Sep-20
7,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3200,3600,3400,29-Sep-20
8,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3000,3600,3300,28-Sep-20
9,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3800,4000,3900,21-Sep-20
10,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3500,3700,3600,7-Sep-20
11,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3400,3600,3500,4-Sep-20
12,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3600,3800,3700,31-Jul-20
13,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3600,3700,3650,29-Jul-20
14,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3600,3700,3650,27-Jul-20
15,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3400,3600,3500,18-Jul-20
16,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3500,3700,3600,17-Jul-20
17,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3600,3700,3650,13-Jul-20
18,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3700,3900,3800,6-Jul-20
19,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3600,3800,3700,12-Jun-20
20,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3600,3700,3650,11-Jun-20
21,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3800,4000,3900,9-Jun-20
22,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3700,3900,3800,8-Jun-20
23,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3800,3900,3850,6-Jun-20
24,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3900,4000,3950,5-Jun-20
25,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3700,3900,3800,3-Jun-20
26,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3700,3800,3750,2-Jun-20
27,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3700,3900,3800,1-Jun-20
28,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3800,3900,3850,29-May-20
29,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3800,3900,3850,28-May-20
30,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3700,3800,3750,27-May-20
31,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3800,3900,3850,26-May-20
32,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3800,4000,3900,22-May-20
33,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,4000,4100,4050,21-May-20
34,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3600,3800,3700,20-May-20
35,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3700,3900,3800,19-May-20
36,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3800,4000,3900,18-May-20
37,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3800,4000,3900,16-May-20
38,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,4000,4100,4050,13-May-20
39,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3800,3900,3850,6-May-20
40,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,4000,4100,4050,16-Apr-20
41,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3500,3600,3550,18-Mar-20
42,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3400,3500,3450,16-Mar-20
43,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3800,3900,3850,5-Mar-20
44,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3800,3900,3850,4-Mar-20
45,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3800,3900,3850,28-Feb-20
46,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3800,3900,3850,26-Feb-20
47,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3750,3900,3825,25-Feb-20
48,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3750,3850,3800,24-Feb-20
49,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3700,3800,3750,18-Feb-20
50,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3800,3900,3850,17-Feb-20
51,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3800,3900,3850,13-Feb-20
52,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3800,3900,3850,10-Feb-20
53,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3700,3900,3800,6-Feb-20
54,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3800,3900,3850,5-Feb-20
55,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,4000,4200,4100,20-Jan-20
56,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3900,4100,4000,18-Jan-20
57,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3900,4100,4000,17-Jan-20
58,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3900,4200,4050,16-Jan-20
59,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3900,4100,4000,14-Jan-20
60,Hingoli,Akhadabalapur,Soyabean,Yellow,FAQ,3900,4100,4000,13-Jan-20
