"Min,Max,Modal Price from Maharashtra,Jalgaon[Soyabean],Amalner from 01-Jan-2010To24-Oct-2020 (Total-538) (Total-538)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Jalgaon,Amalner,Soyabean,Other,FAQ,3400,3600,3600,14-Oct-20
2,Jalgaon,Amalner,Soyabean,Other,FAQ,3000,3700,3700,13-Oct-20
3,Jalgaon,Amalner,Soyabean,Other,FAQ,2500,3745,3745,12-Oct-20
4,Jalgaon,Amalner,Soyabean,Other,FAQ,3425,3650,3650,10-Oct-20
5,Jalgaon,Amalner,Soyabean,Other,FAQ,3260,3602,3602,9-Oct-20
6,Jalgaon,Amalner,Soyabean,Other,FAQ,3000,3451,3451,8-Oct-20
7,Jalgaon,Amalner,Soyabean,Other,FAQ,2955,3490,3490,7-Oct-20
8,Jalgaon,Amalner,Soyabean,Other,FAQ,3055,3451,3451,6-Oct-20
9,Jalgaon,Amalner,Soyabean,Other,FAQ,3027,3400,3400,5-Oct-20
10,Jalgaon,Amalner,Soyabean,Other,FAQ,3126,3301,3301,3-Oct-20
11,Jalgaon,Amalner,Soyabean,Other,FAQ,3400,3451,3451,1-Oct-20
12,Jalgaon,Amalner,Soyabean,Other,FAQ,3351,3500,3500,30-Sep-20
13,Jalgaon,Amalner,Soyabean,Other,FAQ,3300,3400,3400,29-Sep-20
14,Jalgaon,Amalner,Soyabean,Other,FAQ,2500,3460,3460,28-Sep-20
15,Jalgaon,Amalner,Soyabean,Other,FAQ,3201,3201,3201,26-Sep-20
16,Jalgaon,Amalner,Soyabean,Other,FAQ,3200,3500,3500,25-Sep-20
17,Jalgaon,Amalner,Soyabean,Other,FAQ,3000,3400,3400,24-Sep-20
18,Jalgaon,Amalner,Soyabean,Other,FAQ,3131,3341,3341,23-Sep-20
19,Jalgaon,Amalner,Soyabean,Other,FAQ,3131,3131,3131,21-Sep-20
20,Jalgaon,Amalner,Soyabean,Other,FAQ,3251,3311,3311,18-Sep-20
21,Jalgaon,Amalner,Soyabean,Other,FAQ,3000,3000,3000,20-Aug-20
22,Jalgaon,Amalner,Soyabean,Other,FAQ,3050,3050,3050,29-Jul-20
23,Jalgaon,Amalner,Soyabean,Other,FAQ,3086,3086,3086,21-Jul-20
24,Jalgaon,Amalner,Soyabean,Other,FAQ,3000,3000,3000,20-Jul-20
25,Jalgaon,Amalner,Soyabean,Other,FAQ,3500,3500,3500,16-Jul-20
26,Jalgaon,Amalner,Soyabean,Other,FAQ,3201,3201,3201,29-Jun-20
27,Jalgaon,Amalner,Soyabean,Other,FAQ,3100,3100,3100,17-Jun-20
28,Jalgaon,Amalner,Soyabean,Other,FAQ,3400,3400,3400,9-Jun-20
29,Jalgaon,Amalner,Soyabean,Other,FAQ,3000,3000,3000,27-May-20
30,Jalgaon,Amalner,Soyabean,Other,FAQ,3000,3000,3000,15-May-20
31,Jalgaon,Amalner,Soyabean,Other,FAQ,3000,3000,3000,6-May-20
32,Jalgaon,Amalner,Soyabean,Other,FAQ,3000,3500,3500,17-Mar-20
33,Jalgaon,Amalner,Soyabean,Other,FAQ,2800,3300,3300,9-Mar-20
34,Jalgaon,Amalner,Soyabean,Other,FAQ,3000,3200,3200,7-Mar-20
35,Jalgaon,Amalner,Soyabean,Other,FAQ,3000,3351,3351,6-Mar-20
36,Jalgaon,Amalner,Soyabean,Other,FAQ,3600,3600,3600,22-Feb-20
37,Jalgaon,Amalner,Soyabean,Other,FAQ,2800,2800,2800,18-Feb-20
38,Jalgaon,Amalner,Soyabean,Other,FAQ,3600,3800,3800,17-Feb-20
39,Jalgaon,Amalner,Soyabean,Other,FAQ,3451,3451,3451,15-Feb-20
40,Jalgaon,Amalner,Soyabean,Other,FAQ,2651,3951,3951,5-Feb-20
41,Jalgaon,Amalner,Soyabean,Other,FAQ,3800,4100,4100,4-Feb-20
