"Min,Max,Modal Price from Maharashtra,Amarawati[Soyabean],Amarawati from 01-Jan-2010To24-Oct-2020 (Total-1885) (Total-1885)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Amarawati,Amarawati,Soyabean,Other,FAQ,3000,3825,3410,14-Oct-20
2,Amarawati,Amarawati,Soyabean,Other,FAQ,3000,3800,3400,13-Oct-20
3,Amarawati,Amarawati,Soyabean,Other,FAQ,3750,3900,3800,12-Oct-20
4,Amarawati,Amarawati,Soyabean,Other,FAQ,3000,3700,3350,9-Oct-20
5,Amarawati,Amarawati,Soyabean,Other,FAQ,3000,3700,3350,8-Oct-20
6,Amarawati,Amarawati,Soyabean,Other,FAQ,2800,3500,3150,7-Oct-20
7,Amarawati,Amarawati,Soyabean,Other,FAQ,2800,3500,3150,6-Oct-20
8,Amarawati,Amarawati,Soyabean,Other,FAQ,3500,3750,3675,22-Sep-20
9,Amarawati,Amarawati,Soyabean,Other,FAQ,3450,3721,3600,18-Sep-20
10,Amarawati,Amarawati,Soyabean,Other,FAQ,3400,3675,3525,16-Sep-20
11,Amarawati,Amarawati,Soyabean,Other,FAQ,3625,3650,3635,14-Sep-20
12,Amarawati,Amarawati,Soyabean,Other,FAQ,1100,1400,1250,12-Sep-20
13,Amarawati,Amarawati,Soyabean,Other,FAQ,3350,3600,3475,11-Sep-20
14,Amarawati,Amarawati,Soyabean,Other,FAQ,3400,3600,3500,10-Sep-20
15,Amarawati,Amarawati,Soyabean,Other,FAQ,3350,3575,3450,9-Sep-20
16,Amarawati,Amarawati,Soyabean,Other,FAQ,3400,3675,3525,8-Sep-20
17,Amarawati,Amarawati,Soyabean,Other,FAQ,3400,3700,3550,7-Sep-20
18,Amarawati,Amarawati,Soyabean,Other,FAQ,3400,3750,3525,5-Sep-20
19,Amarawati,Amarawati,Soyabean,Other,FAQ,3500,3750,3625,4-Sep-20
20,Amarawati,Amarawati,Soyabean,Other,FAQ,3400,3725,3525,3-Sep-20
21,Amarawati,Amarawati,Soyabean,Other,FAQ,3400,3700,3550,2-Sep-20
22,Amarawati,Amarawati,Soyabean,Other,FAQ,3400,3650,3500,1-Sep-20
23,Amarawati,Amarawati,Soyabean,Other,FAQ,3500,3900,3725,31-Aug-20
24,Amarawati,Amarawati,Soyabean,Other,FAQ,3750,3800,3775,29-Aug-20
25,Amarawati,Amarawati,Soyabean,Other,FAQ,3450,3500,3475,24-Aug-20
26,Amarawati,Amarawati,Soyabean,Other,FAQ,3300,3600,3450,15-Jul-20
27,Amarawati,Amarawati,Soyabean,Other,FAQ,3250,3600,3425,29-Jun-20
28,Amarawati,Amarawati,Soyabean,Other,FAQ,3300,3600,3450,25-Jun-20
29,Amarawati,Amarawati,Soyabean,Other,FAQ,3300,3650,3475,24-Jun-20
30,Amarawati,Amarawati,Soyabean,Other,FAQ,3200,3650,3425,23-Jun-20
31,Amarawati,Amarawati,Soyabean,Other,FAQ,3250,3550,3400,18-Jun-20
32,Amarawati,Amarawati,Soyabean,Other,FAQ,3250,3550,3400,15-Jun-20
33,Amarawati,Amarawati,Soyabean,Other,FAQ,3250,3525,3387,13-Jun-20
34,Amarawati,Amarawati,Soyabean,Other,FAQ,3200,3500,3350,12-Jun-20
35,Amarawati,Amarawati,Soyabean,Other,FAQ,3200,3525,3362,11-Jun-20
36,Amarawati,Amarawati,Soyabean,Other,FAQ,3250,3525,3387,9-Jun-20
37,Amarawati,Amarawati,Soyabean,Other,FAQ,3250,3500,3375,8-Jun-20
38,Amarawati,Amarawati,Soyabean,Other,FAQ,3250,3475,3362,6-Jun-20
39,Amarawati,Amarawati,Soyabean,Other,FAQ,3200,3475,3338,5-Jun-20
40,Amarawati,Amarawati,Soyabean,Other,FAQ,3250,3500,3375,4-Jun-20
41,Amarawati,Amarawati,Soyabean,Other,FAQ,3250,3450,3350,3-Jun-20
42,Amarawati,Amarawati,Soyabean,Other,FAQ,3150,3435,3292,2-Jun-20
43,Amarawati,Amarawati,Soyabean,Other,FAQ,3250,3425,3337,1-Jun-20
44,Amarawati,Amarawati,Soyabean,Other,FAQ,3250,3450,3350,30-May-20
45,Amarawati,Amarawati,Soyabean,Other,FAQ,3200,3425,3312,29-May-20
46,Amarawati,Amarawati,Soyabean,Other,FAQ,3250,3425,3337,27-May-20
47,Amarawati,Amarawati,Soyabean,Other,FAQ,3200,3440,3320,26-May-20
48,Amarawati,Amarawati,Soyabean,Other,FAQ,3350,3615,3482,20-May-20
49,Amarawati,Amarawati,Soyabean,Other,FAQ,3300,3675,3487,16-May-20
50,Amarawati,Amarawati,Soyabean,Other,FAQ,3300,3665,3482,9-May-20
51,Amarawati,Amarawati,Soyabean,Other,FAQ,3300,3600,3450,8-May-20
52,Amarawati,Amarawati,Soyabean,Other,FAQ,3550,3640,3595,30-Apr-20
53,Amarawati,Amarawati,Soyabean,Other,FAQ,3200,3275,3237,21-Mar-20
54,Amarawati,Amarawati,Soyabean,Other,FAQ,3275,3300,3287,20-Mar-20
55,Amarawati,Amarawati,Soyabean,Other,FAQ,2850,3290,3070,19-Mar-20
56,Amarawati,Amarawati,Soyabean,Other,FAQ,3230,3272,3251,17-Mar-20
57,Amarawati,Amarawati,Soyabean,Other,FAQ,3050,3311,3180,16-Mar-20
58,Amarawati,Amarawati,Soyabean,Other,FAQ,3200,3369,3284,14-Mar-20
59,Amarawati,Amarawati,Soyabean,Other,FAQ,3350,3422,3386,13-Mar-20
60,Amarawati,Amarawati,Soyabean,Other,FAQ,3200,3470,3335,12-Mar-20
61,Amarawati,Amarawati,Soyabean,Other,FAQ,3300,3535,3418,11-Mar-20
62,Amarawati,Amarawati,Soyabean,Other,FAQ,3575,3600,3587,7-Mar-20
63,Amarawati,Amarawati,Soyabean,Other,FAQ,3350,3651,3500,6-Mar-20
64,Amarawati,Amarawati,Soyabean,Other,FAQ,3350,3675,3512,5-Mar-20
65,Amarawati,Amarawati,Soyabean,Other,FAQ,3300,3639,3470,3-Mar-20
66,Amarawati,Amarawati,Soyabean,Other,FAQ,3350,3636,3493,2-Mar-20
67,Amarawati,Amarawati,Soyabean,Other,FAQ,3350,3600,3475,29-Feb-20
68,Amarawati,Amarawati,Soyabean,Other,FAQ,3300,3644,3472,28-Feb-20
69,Amarawati,Amarawati,Soyabean,Other,FAQ,3350,3700,3525,27-Feb-20
70,Amarawati,Amarawati,Soyabean,Other,FAQ,3400,3750,3575,26-Feb-20
71,Amarawati,Amarawati,Soyabean,Other,FAQ,3400,3775,3587,25-Feb-20
72,Amarawati,Amarawati,Soyabean,Other,FAQ,3300,3800,3550,24-Feb-20
73,Amarawati,Amarawati,Soyabean,Other,FAQ,3400,3825,3612,22-Feb-20
74,Amarawati,Amarawati,Soyabean,Other,FAQ,3350,3750,3550,20-Feb-20
75,Amarawati,Amarawati,Soyabean,Other,FAQ,3300,3750,3525,18-Feb-20
76,Amarawati,Amarawati,Soyabean,Other,FAQ,3450,3800,3625,17-Feb-20
77,Amarawati,Amarawati,Soyabean,Other,FAQ,3400,3850,3625,15-Feb-20
