"Min,Max,Modal Price from Maharashtra,Latur[Soyabean],Ausa from 01-Jan-2010To24-Oct-2020 (Total-1351) (Total-1351)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Latur,Ausa,Soyabean,Yellow,FAQ,3111,3831,3617,13-Oct-20
2,Latur,Ausa,Soyabean,Yellow,FAQ,3601,3812,3769,16-Sep-20
3,Latur,Ausa,Soyabean,Yellow,FAQ,3101,3853,3706,15-Sep-20
4,Latur,Ausa,Soyabean,Yellow,FAQ,3251,3925,3779,14-Sep-20
5,Latur,Ausa,Soyabean,Yellow,FAQ,3401,3801,3708,13-Sep-20
6,Latur,Ausa,Soyabean,Yellow,FAQ,3500,3681,3597,9-Sep-20
7,Latur,Ausa,Soyabean,Yellow,FAQ,3500,3701,3625,8-Sep-20
8,Latur,Ausa,Soyabean,Yellow,FAQ,3401,3725,3626,7-Sep-20
9,Latur,Ausa,Soyabean,Yellow,FAQ,3401,3781,3684,4-Sep-20
10,Latur,Ausa,Soyabean,Yellow,FAQ,3401,3752,3701,3-Sep-20
11,Latur,Ausa,Soyabean,Yellow,FAQ,3100,3752,3662,2-Sep-20
12,Latur,Ausa,Soyabean,Yellow,FAQ,2800,3821,3701,28-Aug-20
13,Latur,Ausa,Soyabean,Yellow,FAQ,3100,3751,3639,27-Aug-20
14,Latur,Ausa,Soyabean,Yellow,FAQ,3152,3675,3553,25-Aug-20
15,Latur,Ausa,Soyabean,Yellow,FAQ,3276,3652,3535,24-Aug-20
16,Latur,Ausa,Soyabean,Yellow,FAQ,3051,3675,3526,23-Aug-20
17,Latur,Ausa,Soyabean,Yellow,FAQ,2901,3682,3539,14-Jul-20
18,Latur,Ausa,Soyabean,Yellow,FAQ,3101,3691,3618,13-Jul-20
19,Latur,Ausa,Soyabean,Yellow,FAQ,3451,3682,3626,12-Jul-20
20,Latur,Ausa,Soyabean,Yellow,FAQ,3651,3702,3693,3-Jul-20
21,Latur,Ausa,Soyabean,Yellow,FAQ,3500,3725,3676,2-Jul-20
22,Latur,Ausa,Soyabean,Yellow,FAQ,3500,3701,3616,1-Jul-20
23,Latur,Ausa,Soyabean,Yellow,FAQ,3475,3711,3654,18-Jun-20
24,Latur,Ausa,Soyabean,Yellow,FAQ,3451,3690,3597,17-Jun-20
25,Latur,Ausa,Soyabean,Yellow,FAQ,3401,3702,3612,16-Jun-20
26,Latur,Ausa,Soyabean,Yellow,FAQ,3300,3711,3591,14-Jun-20
27,Latur,Ausa,Soyabean,Yellow,FAQ,3351,3731,3612,12-Jun-20
28,Latur,Ausa,Soyabean,Yellow,FAQ,3461,3751,3665,8-Jun-20
29,Latur,Ausa,Soyabean,Yellow,FAQ,3351,3801,3619,3-Jun-20
30,Latur,Ausa,Soyabean,Yellow,FAQ,3401,3751,3606,2-Jun-20
31,Latur,Ausa,Soyabean,Yellow,FAQ,3151,3682,3599,21-May-20
32,Latur,Ausa,Soyabean,Yellow,FAQ,3401,3711,3628,20-May-20
33,Latur,Ausa,Soyabean,Yellow,FAQ,3500,3772,3660,19-May-20
34,Latur,Ausa,Soyabean,Yellow,FAQ,3400,3751,3643,18-May-20
35,Latur,Ausa,Soyabean,Yellow,FAQ,3475,3851,3640,17-May-20
36,Latur,Ausa,Soyabean,Yellow,FAQ,3401,3781,3681,14-May-20
37,Latur,Ausa,Soyabean,Yellow,FAQ,3251,3751,3635,13-May-20
38,Latur,Ausa,Soyabean,Yellow,FAQ,3401,3851,3715,10-May-20
39,Latur,Ausa,Soyabean,Yellow,FAQ,3201,3811,3709,8-May-20
40,Latur,Ausa,Soyabean,Yellow,FAQ,3455,3811,3733,7-May-20
41,Latur,Ausa,Soyabean,Yellow,FAQ,3511,3802,3734,3-May-20
42,Latur,Ausa,Soyabean,Yellow,FAQ,3300,3501,3372,20-Mar-20
43,Latur,Ausa,Soyabean,Yellow,FAQ,3111,3501,3402,19-Mar-20
44,Latur,Ausa,Soyabean,Yellow,FAQ,3301,3451,3381,18-Mar-20
45,Latur,Ausa,Soyabean,Yellow,FAQ,3000,3732,3593,17-Mar-20
46,Latur,Ausa,Soyabean,Yellow,FAQ,3501,3551,3526,9-Mar-20
47,Latur,Ausa,Soyabean,Yellow,FAQ,3200,3801,3637,8-Mar-20
48,Latur,Ausa,Soyabean,Yellow,FAQ,3211,3775,3644,6-Mar-20
49,Latur,Ausa,Soyabean,Yellow,FAQ,3351,3721,3601,2-Mar-20
50,Latur,Ausa,Soyabean,Yellow,FAQ,3278,3701,3579,1-Mar-20
51,Latur,Ausa,Soyabean,Yellow,FAQ,3100,3901,3670,25-Feb-20
52,Latur,Ausa,Soyabean,Yellow,FAQ,3500,3905,3771,24-Feb-20
53,Latur,Ausa,Soyabean,Yellow,FAQ,3401,3875,3688,12-Feb-20
54,Latur,Ausa,Soyabean,Yellow,FAQ,3600,3951,3880,11-Feb-20
55,Latur,Ausa,Soyabean,Yellow,FAQ,3451,4075,3841,7-Feb-20
56,Latur,Ausa,Soyabean,Yellow,FAQ,3301,4141,3955,6-Feb-20
57,Latur,Ausa,Soyabean,Yellow,FAQ,3500,4041,3905,5-Feb-20
58,Latur,Ausa,Soyabean,Yellow,FAQ,3390,4070,3906,2-Feb-20
59,Latur,Ausa,Soyabean,Yellow,FAQ,3501,4051,3881,31-Jan-20
60,Latur,Ausa,Soyabean,Yellow,FAQ,3351,4060,3849,30-Jan-20
61,Latur,Ausa,Soyabean,Yellow,FAQ,3501,4091,3958,29-Jan-20
62,Latur,Ausa,Soyabean,Yellow,FAQ,3300,4011,3833,28-Jan-20
63,Latur,Ausa,Soyabean,Yellow,FAQ,3151,4011,3790,27-Jan-20
64,Latur,Ausa,Soyabean,Yellow,FAQ,3600,4211,4038,21-Jan-20
65,Latur,Ausa,Soyabean,Yellow,FAQ,3711,4211,4069,20-Jan-20
66,Latur,Ausa,Soyabean,Yellow,FAQ,3300,4225,4011,19-Jan-20
67,Latur,Ausa,Soyabean,Yellow,FAQ,3200,4171,3946,17-Jan-20
68,Latur,Ausa,Soyabean,Yellow,FAQ,3300,4221,4023,16-Jan-20
69,Latur,Ausa,Soyabean,Yellow,FAQ,3811,4231,4074,15-Jan-20
