"Min,Max,Modal Price from Maharashtra,Yavatmal[Soyabean],Babhulgaon from 01-Jan-2010To24-Oct-2020 (Total-1087) (Total-1087)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Yavatmal,Babhulgaon,Soyabean,Yellow,FAQ,3150,3600,3375,6-Oct-20
2,Yavatmal,Babhulgaon,Soyabean,Yellow,FAQ,3351,3700,3526,3-Oct-20
3,Yavatmal,Babhulgaon,Soyabean,Yellow,FAQ,3500,3831,3615,30-Sep-20
4,Yavatmal,Babhulgaon,Soyabean,Yellow,FAQ,3550,3720,3641,29-Sep-20
5,Yavatmal,Babhulgaon,Soyabean,Yellow,FAQ,3500,3750,3631,28-Sep-20
6,Yavatmal,Babhulgaon,Soyabean,Yellow,FAQ,3500,3999,3751,26-Sep-20
7,Yavatmal,Babhulgaon,Soyabean,Yellow,FAQ,3600,4001,3801,25-Sep-20
8,Yavatmal,Babhulgaon,Soyabean,Yellow,FAQ,3600,3900,3751,19-Sep-20
9,Yavatmal,Babhulgaon,Soyabean,Yellow,FAQ,3600,3840,3721,18-Sep-20
10,Yavatmal,Babhulgaon,Soyabean,Yellow,FAQ,3400,3825,3612,14-Sep-20
11,Yavatmal,Babhulgaon,Soyabean,Yellow,FAQ,3500,3681,3601,9-Sep-20
12,Yavatmal,Babhulgaon,Soyabean,Yellow,FAQ,3551,3900,3731,5-Sep-20
13,Yavatmal,Babhulgaon,Soyabean,Yellow,FAQ,3551,3931,3741,4-Sep-20
14,Yavatmal,Babhulgaon,Soyabean,Yellow,FAQ,3551,3861,3705,2-Sep-20
15,Yavatmal,Babhulgaon,Soyabean,Yellow,FAQ,3400,3731,3571,24-Aug-20
16,Yavatmal,Babhulgaon,Soyabean,Yellow,FAQ,3000,3690,3351,17-Aug-20
17,Yavatmal,Babhulgaon,Soyabean,Yellow,FAQ,3200,3720,3461,10-Aug-20
18,Yavatmal,Babhulgaon,Soyabean,Yellow,FAQ,3251,3741,3501,8-Aug-20
19,Yavatmal,Babhulgaon,Soyabean,Yellow,FAQ,3251,3799,3525,7-Aug-20
