"Min,Max,Modal Price from Maharashtra,Akola[Soyabean],Balapur from 01-Jan-2010To24-Oct-2020 (Total-320) (Total-320)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Akola,Balapur,Soyabean,Yellow,FAQ,3200,3650,3400,11-Oct-20
2,Akola,Balapur,Soyabean,Yellow,FAQ,3200,3700,3600,4-Oct-20
3,Akola,Balapur,Soyabean,Yellow,FAQ,3300,3800,3700,27-Sep-20
4,Akola,Balapur,Soyabean,Yellow,FAQ,3500,3600,3600,13-Sep-20
5,Akola,Balapur,Soyabean,Yellow,FAQ,3650,3750,3750,6-Sep-20
6,Akola,Balapur,Soyabean,Yellow,FAQ,3375,3600,3600,30-Aug-20
7,Akola,Balapur,Soyabean,Yellow,FAQ,3000,3525,3500,23-Aug-20
8,Akola,Balapur,Soyabean,Yellow,FAQ,3200,3500,3500,16-Aug-20
9,Akola,Balapur,Soyabean,Yellow,FAQ,3100,3600,3500,9-Aug-20
10,Akola,Balapur,Soyabean,Yellow,FAQ,3200,3600,3550,26-Jul-20
11,Akola,Balapur,Soyabean,Yellow,FAQ,3300,3700,3550,12-Jul-20
12,Akola,Balapur,Soyabean,Yellow,FAQ,3300,3600,3550,5-Jul-20
13,Akola,Balapur,Soyabean,Yellow,FAQ,3300,3700,3600,28-Jun-20
14,Akola,Balapur,Soyabean,Yellow,FAQ,3300,3650,3550,21-Jun-20
15,Akola,Balapur,Soyabean,Yellow,FAQ,3300,3700,3600,14-Jun-20
16,Akola,Balapur,Soyabean,Yellow,FAQ,3300,3700,3450,7-Jun-20
17,Akola,Balapur,Soyabean,Yellow,FAQ,3300,3650,3550,31-May-20
18,Akola,Balapur,Soyabean,Yellow,FAQ,3300,3570,3450,24-May-20
19,Akola,Balapur,Soyabean,Yellow,FAQ,3300,3700,3650,17-May-20
20,Akola,Balapur,Soyabean,Yellow,FAQ,3300,3450,3400,10-May-20
21,Akola,Balapur,Soyabean,Yellow,FAQ,3000,3400,3100,19-Apr-20
22,Akola,Balapur,Soyabean,Yellow,FAQ,3300,3650,3550,8-Mar-20
23,Akola,Balapur,Soyabean,Yellow,FAQ,3500,3650,3600,1-Mar-20
24,Akola,Balapur,Soyabean,Yellow,FAQ,3300,3650,3550,23-Feb-20
25,Akola,Balapur,Soyabean,Yellow,FAQ,3350,3700,3600,16-Feb-20
26,Akola,Balapur,Soyabean,Yellow,FAQ,3300,3900,3800,9-Feb-20
27,Akola,Balapur,Soyabean,Yellow,FAQ,3200,3650,3550,2-Feb-20
28,Akola,Balapur,Soyabean,Yellow,FAQ,3450,3700,3550,26-Jan-20
29,Akola,Balapur,Soyabean,Yellow,FAQ,3500,3850,3800,19-Jan-20
30,Akola,Balapur,Soyabean,Yellow,FAQ,3300,3850,3750,12-Jan-20
31,Akola,Balapur,Soyabean,Yellow,FAQ,3300,4050,3800,5-Jan-20
32,Akola,Balapur,Soyabean,Yellow,FAQ,3300,3900,3650,29-Dec-19
33,Akola,Balapur,Soyabean,Yellow,FAQ,3250,3850,3550,22-Dec-19
34,Akola,Balapur,Soyabean,Yellow,FAQ,2700,3450,3400,15-Dec-19
35,Akola,Balapur,Soyabean,Yellow,FAQ,2200,3450,3100,8-Dec-19
36,Akola,Balapur,Soyabean,Yellow,FAQ,2700,3500,3000,1-Dec-19
37,Akola,Balapur,Soyabean,Yellow,FAQ,2200,3550,3050,24-Nov-19
38,Akola,Balapur,Soyabean,Yellow,FAQ,2500,3550,3300,17-Nov-19
39,Akola,Balapur,Soyabean,Yellow,FAQ,2200,3650,2600,10-Nov-19
40,Akola,Balapur,Soyabean,Yellow,FAQ,2800,3200,3000,3-Nov-19
41,Akola,Balapur,Soyabean,Yellow,FAQ,3100,3350,3300,27-Oct-19
42,Akola,Balapur,Soyabean,Yellow,FAQ,3200,3550,3400,20-Oct-19
43,Akola,Balapur,Soyabean,Yellow,FAQ,3100,3300,3200,13-Oct-19
44,Akola,Balapur,Soyabean,Yellow,FAQ,3500,3700,3650,6-Oct-19
45,Akola,Balapur,Soyabean,Yellow,FAQ,3450,3750,3500,29-Sep-19
46,Akola,Balapur,Soyabean,Yellow,FAQ,3500,3700,3600,22-Sep-19
47,Akola,Balapur,Soyabean,Yellow,FAQ,3450,3620,3500,15-Sep-19
48,Akola,Balapur,Soyabean,Yellow,FAQ,3400,3600,3570,8-Sep-19
49,Akola,Balapur,Soyabean,Yellow,FAQ,3400,3600,3500,1-Sep-19
50,Akola,Balapur,Soyabean,Yellow,FAQ,3450,3600,3550,25-Aug-19
51,Akola,Balapur,Soyabean,Yellow,FAQ,3350,3550,3500,18-Aug-19
52,Akola,Balapur,Soyabean,Yellow,FAQ,3200,3600,3500,11-Aug-19
53,Akola,Balapur,Soyabean,Yellow,FAQ,3300,3550,3500,4-Aug-19
54,Akola,Balapur,Soyabean,Yellow,FAQ,3400,3550,3500,28-Jul-19
55,Akola,Balapur,Soyabean,Yellow,FAQ,3400,3500,3450,21-Jul-19
56,Akola,Balapur,Soyabean,Yellow,FAQ,3400,3550,3500,14-Jul-19
57,Akola,Balapur,Soyabean,Yellow,FAQ,3400,3550,3500,7-Jul-19
58,Akola,Balapur,Soyabean,Yellow,FAQ,3300,3550,3500,30-Jun-19
59,Akola,Balapur,Soyabean,Yellow,FAQ,3400,3600,3550,23-Jun-19
60,Akola,Balapur,Soyabean,Yellow,FAQ,3400,3550,3500,16-Jun-19
61,Akola,Balapur,Soyabean,Yellow,FAQ,3300,3550,3500,9-Jun-19
62,Akola,Balapur,Soyabean,Yellow,FAQ,3450,3650,3570,2-Jun-19
63,Akola,Balapur,Soyabean,Yellow,FAQ,3420,3650,3550,26-May-19
64,Akola,Balapur,Soyabean,Yellow,FAQ,3450,3600,3500,12-May-19
65,Akola,Balapur,Soyabean,Yellow,FAQ,3400,3600,3570,5-May-19
66,Akola,Balapur,Soyabean,Yellow,FAQ,3550,3650,3600,28-Apr-19
67,Akola,Balapur,Soyabean,Yellow,FAQ,3500,3700,3600,21-Apr-19
68,Akola,Balapur,Soyabean,Yellow,FAQ,3450,3600,3550,14-Apr-19
69,Akola,Balapur,Soyabean,Yellow,FAQ,3450,3600,3550,7-Apr-19
70,Akola,Balapur,Soyabean,Yellow,FAQ,3400,3600,3550,31-Mar-19
71,Akola,Balapur,Soyabean,Yellow,FAQ,3400,3570,3550,24-Mar-19
72,Akola,Balapur,Soyabean,Yellow,FAQ,3420,3600,3570,17-Mar-19
73,Akola,Balapur,Soyabean,Yellow,FAQ,3200,3500,3470,10-Mar-19
74,Akola,Balapur,Soyabean,Yellow,FAQ,3400,3550,3500,3-Mar-19
75,Akola,Balapur,Soyabean,Yellow,FAQ,3600,3700,3650,24-Feb-19
76,Akola,Balapur,Soyabean,Yellow,FAQ,3600,3700,3650,17-Feb-19
77,Akola,Balapur,Soyabean,Yellow,FAQ,3600,3700,3650,10-Feb-19
78,Akola,Balapur,Soyabean,Yellow,FAQ,3450,3700,3650,3-Feb-19
79,Akola,Balapur,Soyabean,Yellow,FAQ,3600,3800,3750,27-Jan-19
80,Akola,Balapur,Soyabean,Yellow,FAQ,3400,3450,3420,20-Jan-19
81,Akola,Balapur,Soyabean,Yellow,FAQ,3175,3450,3400,13-Jan-19
82,Akola,Balapur,Soyabean,Yellow,FAQ,3150,3320,3200,6-Jan-19
83,Akola,Balapur,Soyabean,Yellow,FAQ,3100,3250,3150,30-Dec-18
