"Min,Max,Modal Price from Maharashtra,Pune[Soyabean],Baramati from 01-Jan-2010To24-Oct-2020 (Total-361) (Total-361)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Pune,Baramati,Soyabean,Yellow,FAQ,2500,3540,3426,6-Oct-20
2,Pune,Baramati,Soyabean,Yellow,FAQ,3051,3630,3550,2-Oct-20
3,Pune,Baramati,Soyabean,Yellow,FAQ,3000,3600,3554,25-Sep-20
4,Pune,Baramati,Soyabean,Yellow,FAQ,3551,3652,3652,22-Sep-20
5,Pune,Baramati,Soyabean,Yellow,FAQ,3000,3660,3575,4-Sep-20
6,Pune,Baramati,Soyabean,Yellow,FAQ,3200,3711,3651,28-Aug-20
7,Pune,Baramati,Soyabean,Yellow,FAQ,3200,3402,3380,14-Aug-20
8,Pune,Baramati,Soyabean,Yellow,FAQ,3000,3475,3475,11-Aug-20
9,Pune,Baramati,Soyabean,Yellow,FAQ,3050,3425,3425,7-Aug-20
10,Pune,Baramati,Soyabean,Yellow,FAQ,3511,3511,3511,28-Jul-20
11,Pune,Baramati,Soyabean,Yellow,FAQ,3100,3425,3321,14-Jul-20
12,Pune,Baramati,Soyabean,Yellow,FAQ,2800,3375,3300,10-Jul-20
13,Pune,Baramati,Soyabean,Yellow,FAQ,3100,3500,3300,30-Jun-20
14,Pune,Baramati,Soyabean,Yellow,FAQ,3000,3451,3300,26-Jun-20
15,Pune,Baramati,Soyabean,Yellow,FAQ,3200,3501,3400,23-Jun-20
16,Pune,Baramati,Soyabean,Yellow,FAQ,3400,3475,3475,19-Jun-20
17,Pune,Baramati,Soyabean,Yellow,FAQ,3425,3451,3451,16-Jun-20
18,Pune,Baramati,Soyabean,Yellow,FAQ,3161,3550,3450,9-Jun-20
19,Pune,Baramati,Soyabean,Yellow,FAQ,3300,3551,3400,5-Jun-20
20,Pune,Baramati,Soyabean,Yellow,FAQ,3000,3300,3300,2-Jun-20
21,Pune,Baramati,Soyabean,Yellow,FAQ,2750,3600,3500,29-May-20
22,Pune,Baramati,Soyabean,Yellow,FAQ,3451,3511,3501,26-May-20
23,Pune,Baramati,Soyabean,Yellow,FAQ,3200,3551,3400,22-May-20
24,Pune,Baramati,Soyabean,Yellow,FAQ,3000,3333,3200,20-Mar-20
25,Pune,Baramati,Soyabean,Yellow,FAQ,3011,3650,3500,6-Mar-20
26,Pune,Baramati,Soyabean,Yellow,FAQ,3551,3911,3870,14-Feb-20
27,Pune,Baramati,Soyabean,Yellow,FAQ,3500,3951,3890,7-Feb-20
28,Pune,Baramati,Soyabean,Yellow,FAQ,3200,3990,3850,31-Jan-20
29,Pune,Baramati,Soyabean,Yellow,FAQ,3651,4045,4035,24-Jan-20
