"Min,Max,Modal Price from Maharashtra,Sholapur[Soyabean],Barshi from 01-Jan-2010To24-Oct-2020 (Total-337) (Total-337)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sholapur,Barshi,Soyabean,Other,FAQ,2700,3671,3450,8-Oct-20
2,Sholapur,Barshi,Soyabean,Other,FAQ,3000,3450,3250,7-Oct-20
3,Sholapur,Barshi,Soyabean,Other,FAQ,2800,3500,3400,5-Oct-20
4,Sholapur,Barshi,Soyabean,Other,FAQ,3100,3650,3450,29-Sep-20
5,Sholapur,Barshi,Soyabean,Other,FAQ,3000,3650,3450,28-Sep-20
6,Sholapur,Barshi,Soyabean,Other,FAQ,3200,3600,3400,26-Sep-20
7,Sholapur,Barshi,Soyabean,Other,FAQ,3000,3700,3450,25-Sep-20
8,Sholapur,Barshi,Soyabean,Other,FAQ,3000,3700,3450,24-Sep-20
9,Sholapur,Barshi,Soyabean,Other,FAQ,3300,3600,3500,19-Sep-20
10,Sholapur,Barshi,Soyabean,Other,FAQ,3350,3600,3500,18-Sep-20
11,Sholapur,Barshi,Soyabean,Other,FAQ,3100,3625,3600,17-Sep-20
12,Sholapur,Barshi,Soyabean,Other,FAQ,3300,3700,3500,16-Sep-20
13,Sholapur,Barshi,Soyabean,Other,FAQ,3200,3700,3500,15-Sep-20
14,Sholapur,Barshi,Soyabean,Other,FAQ,3850,3850,3850,14-Sep-20
15,Sholapur,Barshi,Soyabean,Other,FAQ,3200,3525,3400,12-Sep-20
16,Sholapur,Barshi,Soyabean,Other,FAQ,3300,3700,3500,11-Sep-20
17,Sholapur,Barshi,Soyabean,Other,FAQ,3300,3700,3500,10-Sep-20
18,Sholapur,Barshi,Soyabean,Other,FAQ,3200,3700,3200,8-Sep-20
19,Sholapur,Barshi,Soyabean,Other,FAQ,3300,3450,3300,7-Sep-20
20,Sholapur,Barshi,Soyabean,Other,FAQ,3200,3800,3400,3-Sep-20
21,Sholapur,Barshi,Soyabean,Other,FAQ,3200,3600,3400,26-Aug-20
22,Sholapur,Barshi,Soyabean,Other,FAQ,3200,3900,3550,20-Aug-20
23,Sholapur,Barshi,Soyabean,Other,FAQ,3000,3450,3200,19-Aug-20
24,Sholapur,Barshi,Soyabean,Other,FAQ,3300,3350,3300,17-Aug-20
25,Sholapur,Barshi,Soyabean,Other,FAQ,3500,3650,3600,11-Aug-20
26,Sholapur,Barshi,Soyabean,Other,FAQ,3565,3600,3565,10-Aug-20
27,Sholapur,Barshi,Soyabean,Other,FAQ,3475,3600,3537,8-Aug-20
28,Sholapur,Barshi,Soyabean,Other,FAQ,3311,3600,3375,7-Aug-20
29,Sholapur,Barshi,Soyabean,Other,FAQ,3100,3475,3100,6-Aug-20
30,Sholapur,Barshi,Soyabean,Other,FAQ,3450,3450,3450,5-Aug-20
31,Sholapur,Barshi,Soyabean,Other,FAQ,3500,3500,3500,4-Aug-20
32,Sholapur,Barshi,Soyabean,Other,FAQ,3500,3650,3600,11-Jul-20
33,Sholapur,Barshi,Soyabean,Other,FAQ,3500,3650,3600,10-Jul-20
34,Sholapur,Barshi,Soyabean,Other,FAQ,3300,3600,3500,9-Jul-20
35,Sholapur,Barshi,Soyabean,Other,FAQ,3500,3650,3600,8-Jul-20
36,Sholapur,Barshi,Soyabean,Other,FAQ,3300,3750,3550,2-Jun-20
37,Sholapur,Barshi,Soyabean,Other,FAQ,3300,3700,3500,29-May-20
38,Sholapur,Barshi,Soyabean,Other,FAQ,3000,3561,3300,28-May-20
39,Sholapur,Barshi,Soyabean,Other,FAQ,3300,3500,3450,27-May-20
40,Sholapur,Barshi,Soyabean,Other,FAQ,3300,3700,3550,16-May-20
41,Sholapur,Barshi,Soyabean,Other,FAQ,3300,3600,3450,15-May-20
42,Sholapur,Barshi,Soyabean,Other,FAQ,3300,3900,3300,9-May-20
43,Sholapur,Barshi,Soyabean,Other,FAQ,3650,3650,3650,8-May-20
44,Sholapur,Barshi,Soyabean,Other,FAQ,3000,3150,3000,31-Mar-20
45,Sholapur,Barshi,Soyabean,Other,FAQ,3421,3600,3421,5-Mar-20
46,Sholapur,Barshi,Soyabean,Other,FAQ,2800,2800,2800,4-Mar-20
47,Sholapur,Barshi,Soyabean,Other,FAQ,3300,3600,3300,3-Mar-20
48,Sholapur,Barshi,Soyabean,Other,FAQ,3750,3750,3750,2-Mar-20
49,Sholapur,Barshi,Soyabean,Other,FAQ,3550,3550,3550,28-Feb-20
50,Sholapur,Barshi,Soyabean,Other,FAQ,3561,3850,3700,27-Feb-20
51,Sholapur,Barshi,Soyabean,Other,FAQ,3600,3700,3600,26-Feb-20
52,Sholapur,Barshi,Soyabean,Other,FAQ,3500,3900,3700,25-Feb-20
53,Sholapur,Barshi,Soyabean,Other,FAQ,3800,3900,3800,20-Feb-20
54,Sholapur,Barshi,Soyabean,Other,FAQ,3400,3900,3600,18-Feb-20
55,Sholapur,Barshi,Soyabean,Other,FAQ,3500,3800,3600,17-Feb-20
56,Sholapur,Barshi,Soyabean,Other,FAQ,3500,3900,3750,15-Feb-20
57,Sholapur,Barshi,Soyabean,Other,FAQ,3400,4200,3850,6-Jan-20
58,Sholapur,Barshi,Soyabean,Other,FAQ,3400,4300,3800,4-Jan-20
59,Sholapur,Barshi,Soyabean,Other,FAQ,3300,4300,3800,3-Jan-20
60,Sholapur,Barshi,Soyabean,Other,FAQ,3200,4250,3650,2-Jan-20
61,Sholapur,Barshi,Soyabean,Other,FAQ,3500,4350,3900,1-Jan-20
62,Sholapur,Barshi,Soyabean,Other,FAQ,3500,4300,3850,31-Dec-19
63,Sholapur,Barshi,Soyabean,Other,FAQ,3000,4300,3600,27-Dec-19
64,Sholapur,Barshi,Soyabean,Other,FAQ,3400,4250,3850,26-Dec-19
65,Sholapur,Barshi,Soyabean,Other,FAQ,3300,4100,3700,17-Dec-19
66,Sholapur,Barshi,Soyabean,Other,FAQ,3800,4000,3900,16-Dec-19
67,Sholapur,Barshi,Soyabean,Other,FAQ,2800,3675,3400,25-Nov-19
68,Sholapur,Barshi,Soyabean,Other,FAQ,3000,3625,3300,23-Nov-19
69,Sholapur,Barshi,Soyabean,Other,FAQ,2500,3600,3300,19-Nov-19
