"Min,Max,Modal Price from Maharashtra,Beed[Soyabean],Gevrai from 01-Jan-2010To24-Oct-2020 (Total-1312) (Total-1312)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Beed,Gevrai,Soyabean,Yellow,FAQ,3050,3700,3350,14-Oct-20
2,Beed,Gevrai,Soyabean,Yellow,FAQ,2801,3731,3400,13-Oct-20
3,Beed,Gevrai,Soyabean,Yellow,FAQ,2800,3806,3500,12-Oct-20
4,Beed,Gevrai,Soyabean,Yellow,FAQ,2725,3625,3450,10-Oct-20
5,Beed,Gevrai,Soyabean,Yellow,FAQ,2701,3600,3400,9-Oct-20
6,Beed,Gevrai,Soyabean,Yellow,FAQ,3000,3564,3375,8-Oct-20
7,Beed,Gevrai,Soyabean,Yellow,FAQ,2700,3485,3300,7-Oct-20
8,Beed,Gevrai,Soyabean,Yellow,FAQ,3150,3500,3250,6-Oct-20
9,Beed,Gevrai,Soyabean,Yellow,FAQ,3000,3492,3350,5-Oct-20
10,Beed,Gevrai,Soyabean,Yellow,FAQ,2900,3601,3350,3-Oct-20
11,Beed,Gevrai,Soyabean,Yellow,FAQ,3000,3500,3200,1-Oct-20
12,Beed,Gevrai,Soyabean,Yellow,FAQ,2500,3550,3550,30-Sep-20
13,Beed,Gevrai,Soyabean,Yellow,FAQ,3000,3000,3000,29-Sep-20
14,Beed,Gevrai,Soyabean,Yellow,FAQ,3000,3000,3000,25-Sep-20
15,Beed,Gevrai,Soyabean,Yellow,FAQ,3476,3545,3545,24-Sep-20
16,Beed,Gevrai,Soyabean,Yellow,FAQ,3200,3590,3590,23-Sep-20
17,Beed,Gevrai,Soyabean,Yellow,FAQ,3451,3494,3491,22-Sep-20
18,Beed,Gevrai,Soyabean,Yellow,FAQ,3500,3500,3500,21-Sep-20
19,Beed,Gevrai,Soyabean,Yellow,FAQ,3599,3599,3599,19-Sep-20
20,Beed,Gevrai,Soyabean,Yellow,FAQ,2700,2700,2700,18-Sep-20
21,Beed,Gevrai,Soyabean,Yellow,FAQ,3200,3200,3200,16-Sep-20
22,Beed,Gevrai,Soyabean,Yellow,FAQ,3486,3581,3500,15-Sep-20
23,Beed,Gevrai,Soyabean,Yellow,FAQ,2600,2600,2600,12-Sep-20
24,Beed,Gevrai,Soyabean,Yellow,FAQ,3101,3500,3500,11-Sep-20
25,Beed,Gevrai,Soyabean,Yellow,FAQ,3300,3300,3300,8-Sep-20
26,Beed,Gevrai,Soyabean,Yellow,FAQ,3200,3400,3400,7-Sep-20
27,Beed,Gevrai,Soyabean,Yellow,FAQ,3500,3599,3500,3-Sep-20
28,Beed,Gevrai,Soyabean,Yellow,FAQ,3300,3570,3300,31-Aug-20
29,Beed,Gevrai,Soyabean,Yellow,FAQ,2901,3450,3000,29-Aug-20
30,Beed,Gevrai,Soyabean,Yellow,FAQ,3000,3000,3000,28-Aug-20
31,Beed,Gevrai,Soyabean,Yellow,FAQ,3301,3301,3301,27-Aug-20
32,Beed,Gevrai,Soyabean,Yellow,FAQ,3276,3276,3276,25-Aug-20
33,Beed,Gevrai,Soyabean,Yellow,FAQ,3000,3000,3000,14-Aug-20
34,Beed,Gevrai,Soyabean,Yellow,FAQ,2900,3394,2900,12-Aug-20
35,Beed,Gevrai,Soyabean,Yellow,FAQ,2800,2800,2800,10-Aug-20
36,Beed,Gevrai,Soyabean,Yellow,FAQ,3351,3351,3351,7-Aug-20
37,Beed,Gevrai,Soyabean,Yellow,FAQ,3300,3300,3300,29-Jul-20
