"Min,Max,Modal Price from Maharashtra,Jalana[Soyabean],Ghansawangi from 01-Jan-2010To24-Oct-2020 (Total-209) (Total-209)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,3050,3500,3350,13-Oct-20
2,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,3100,3400,3350,12-Oct-20
3,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,3100,3500,3300,8-Oct-20
4,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,3000,3400,3300,7-Oct-20
5,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,3000,3400,3300,1-Oct-20
6,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,2900,3500,3300,30-Sep-20
7,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,2800,3300,3100,24-Sep-20
8,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,3000,3300,3100,23-Sep-20
9,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,2900,3400,3200,17-Sep-20
10,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,2900,3500,3100,16-Sep-20
11,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,3200,3600,3500,10-Sep-20
12,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,3200,3700,3500,9-Sep-20
13,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,3200,3800,3500,19-Aug-20
14,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,3000,3800,3500,6-Aug-20
15,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,3200,3800,3500,4-Aug-20
16,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,3200,3700,3500,23-Jun-20
17,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,3500,3800,3600,6-May-20
18,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,3400,3900,3600,26-Feb-20
19,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,3200,4100,3700,12-Feb-20
20,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,3300,3900,3700,6-Feb-20
21,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,3300,4100,3800,5-Feb-20
22,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,3700,4300,4100,29-Jan-20
23,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,3700,4200,4000,23-Jan-20
24,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,3800,4200,3900,22-Jan-20
25,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,3500,4200,4100,15-Jan-20
26,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,3700,4200,3900,9-Jan-20
27,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,3800,4200,4100,8-Jan-20
28,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,3800,4300,4100,2-Jan-20
29,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,3800,4300,4200,1-Jan-20
30,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,3500,4000,3900,26-Dec-19
31,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,3200,3900,3800,25-Dec-19
32,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,2900,3900,3800,19-Dec-19
33,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,3000,3900,3800,18-Dec-19
34,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,2700,3950,3800,12-Dec-19
35,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,2600,3900,3800,11-Dec-19
36,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,2700,3600,3500,5-Dec-19
37,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,2500,3600,3450,4-Dec-19
38,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,2500,3600,3450,28-Nov-19
39,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,2500,3600,3500,27-Nov-19
40,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,2800,3500,3300,21-Nov-19
41,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,2800,3600,3400,20-Nov-19
42,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,2500,3500,3200,14-Nov-19
43,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,2500,3400,3200,13-Nov-19
44,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,2300,3300,3200,31-Oct-19
45,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,2800,3250,3100,17-Oct-19
46,Jalana,Ghansawangi,Soyabean,Yellow,FAQ,2700,3300,3200,16-Oct-19
