"Min,Max,Modal Price from Maharashtra,Buldhana[Soyabean],Jalgaon Jamod(Aasalgaon) from 01-Jan-2010To24-Oct-2020 (Total-619) (Total-619)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Buldhana,Jalgaon Jamod(Aasalgaon),Soyabean,Yellow,FAQ,3200,3600,3400,6-Oct-20
2,Buldhana,Jalgaon Jamod(Aasalgaon),Soyabean,Yellow,FAQ,3200,3600,3400,2-Oct-20
3,Buldhana,Jalgaon Jamod(Aasalgaon),Soyabean,Yellow,FAQ,3400,3700,3600,25-Sep-20
4,Buldhana,Jalgaon Jamod(Aasalgaon),Soyabean,Yellow,FAQ,3300,3700,3500,15-Sep-20
5,Buldhana,Jalgaon Jamod(Aasalgaon),Soyabean,Yellow,FAQ,3000,3800,3400,8-Sep-20
6,Buldhana,Jalgaon Jamod(Aasalgaon),Soyabean,Yellow,FAQ,3300,3800,3600,4-Sep-20
7,Buldhana,Jalgaon Jamod(Aasalgaon),Soyabean,Yellow,FAQ,3000,3600,3400,25-Aug-20
8,Buldhana,Jalgaon Jamod(Aasalgaon),Soyabean,Yellow,FAQ,3400,3700,3500,11-Feb-20
9,Buldhana,Jalgaon Jamod(Aasalgaon),Soyabean,Yellow,FAQ,2800,3700,3300,3-Dec-19
10,Buldhana,Jalgaon Jamod(Aasalgaon),Soyabean,Yellow,FAQ,3000,3700,3400,29-Nov-19
11,Buldhana,Jalgaon Jamod(Aasalgaon),Soyabean,Yellow,FAQ,3000,3600,3300,26-Nov-19
12,Buldhana,Jalgaon Jamod(Aasalgaon),Soyabean,Yellow,FAQ,2800,3600,3300,15-Nov-19
13,Buldhana,Jalgaon Jamod(Aasalgaon),Soyabean,Yellow,FAQ,3000,3600,3300,12-Nov-19
14,Buldhana,Jalgaon Jamod(Aasalgaon),Soyabean,Yellow,FAQ,3000,3700,3400,5-Nov-19
15,Buldhana,Jalgaon Jamod(Aasalgaon),Soyabean,Yellow,FAQ,3000,3600,3400,15-Oct-19
16,Buldhana,Jalgaon Jamod(Aasalgaon),Soyabean,Yellow,FAQ,3500,3800,3650,11-Oct-19
17,Buldhana,Jalgaon Jamod(Aasalgaon),Soyabean,Yellow,FAQ,3500,3800,3650,4-Oct-19
18,Buldhana,Jalgaon Jamod(Aasalgaon),Soyabean,Yellow,FAQ,3500,3800,3600,24-Sep-19
19,Buldhana,Jalgaon Jamod(Aasalgaon),Soyabean,Yellow,FAQ,3500,3800,3600,17-Sep-19
20,Buldhana,Jalgaon Jamod(Aasalgaon),Soyabean,Yellow,FAQ,3350,3550,3450,13-Sep-19
21,Buldhana,Jalgaon Jamod(Aasalgaon),Soyabean,Yellow,FAQ,3350,3550,3450,27-Aug-19
