"Min,Max,Modal Price from Maharashtra,Osmanabad[Soyabean],Kalamb(Osmanabad) from 01-Jan-2010To24-Oct-2020 (Total-2210) (Total-2210)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3200,3851,3611,14-Oct-20
2,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3200,3851,3600,13-Oct-20
3,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3351,3900,3700,12-Oct-20
4,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3321,3880,3625,10-Oct-20
5,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3241,3799,3625,9-Oct-20
6,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3125,3764,3500,8-Oct-20
7,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3051,3651,3451,7-Oct-20
8,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,2901,3601,3301,5-Oct-20
9,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,2960,3551,3300,3-Oct-20
10,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,2890,3675,3326,1-Oct-20
11,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,2900,3600,3300,30-Sep-20
12,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,2711,3535,3200,29-Sep-20
13,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,2541,3700,3272,28-Sep-20
14,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,2700,3651,3411,24-Sep-20
15,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,2000,3661,2800,23-Sep-20
16,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,2612,3700,3576,22-Sep-20
17,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3100,3776,3650,19-Sep-20
18,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3096,3750,3600,16-Sep-20
19,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3100,3800,3636,14-Sep-20
20,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3300,3700,3650,12-Sep-20
21,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3351,3670,3551,11-Sep-20
22,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3000,3661,3550,10-Sep-20
23,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3000,3670,3550,9-Sep-20
24,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,2900,3671,3500,8-Sep-20
25,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3100,3675,3500,7-Sep-20
26,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3000,3751,3651,5-Sep-20
27,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3300,3900,3600,4-Sep-20
28,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3300,3750,3560,3-Sep-20
29,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3100,3750,3600,2-Sep-20
30,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,2500,3800,3500,28-Aug-20
31,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3400,3715,3500,27-Aug-20
32,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,2800,3600,3551,24-Aug-20
33,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3000,3600,3550,20-Aug-20
34,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,2700,3641,3551,19-Aug-20
35,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,2800,3625,3565,14-Aug-20
36,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,2751,3611,3580,13-Aug-20
37,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3000,3615,3511,11-Aug-20
38,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,2563,3600,2800,10-Aug-20
39,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3000,3655,3595,31-Jul-20
40,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3000,3671,3561,30-Jul-20
41,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3400,3687,3570,29-Jul-20
42,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3000,3670,3551,28-Jul-20
43,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3000,3667,3521,27-Jul-20
44,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3200,3651,3500,24-Jul-20
45,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3000,3722,3650,23-Jul-20
46,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,2300,3651,3451,22-Jul-20
47,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,2800,3670,3560,21-Jul-20
48,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3100,3663,3550,17-Jul-20
49,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3000,3670,3600,16-Jul-20
50,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3000,3675,3651,15-Jul-20
51,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3100,3650,3500,14-Jul-20
52,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3100,3661,3600,13-Jul-20
53,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3200,3690,3600,10-Jul-20
54,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,3150,3690,3500,8-Jul-20
55,Osmanabad,Kalamb(Osmanabad),Soyabean,Yellow,FAQ,2700,3700,3631,7-Jul-20
