"Min,Max,Modal Price from Maharashtra,Ahmednagar[Soyabean],Kopargaon from 01-Jan-2010To24-Oct-2020 (Total-2147) (Total-2147)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3400,3908,3876,14-Oct-20
2,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3400,3899,3815,13-Oct-20
3,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3500,4023,3880,12-Oct-20
4,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3600,3776,3700,11-Oct-20
5,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3400,3866,3800,10-Oct-20
6,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3200,3775,3660,9-Oct-20
7,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,2850,3702,3650,8-Oct-20
8,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3650,3550,7-Oct-20
9,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3300,3600,3550,6-Oct-20
10,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3625,3550,5-Oct-20
11,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3300,3675,3610,3-Oct-20
12,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3712,3660,2-Oct-20
13,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3500,3709,3650,1-Oct-20
14,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3300,3720,3650,30-Sep-20
15,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3300,3805,3775,29-Sep-20
16,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3875,3760,28-Sep-20
17,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,2800,3782,3685,26-Sep-20
18,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3400,3866,3791,25-Sep-20
19,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3300,3899,3775,24-Sep-20
20,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3300,3901,3830,23-Sep-20
21,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3300,3850,3790,22-Sep-20
22,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3886,3750,21-Sep-20
23,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3300,3825,3750,19-Sep-20
24,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3300,3833,3770,18-Sep-20
25,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3400,3838,3700,17-Sep-20
26,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3775,3400,16-Sep-20
27,Ahmednagar,Kopargaon,Soyabean,Yellow,FAQ,3000,3700,3599,15-Sep-20
28,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3776,3725,14-Sep-20
29,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,2741,3650,3600,12-Sep-20
30,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3300,3585,3540,11-Sep-20
31,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3591,3500,10-Sep-20
32,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3300,3650,3550,9-Sep-20
33,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3690,3560,8-Sep-20
34,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3700,3650,7-Sep-20
35,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3300,3737,3601,5-Sep-20
36,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3762,3650,4-Sep-20
37,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3500,3800,3740,3-Sep-20
38,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,2500,3799,3690,2-Sep-20
39,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3899,3601,1-Sep-20
40,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3500,3825,3769,27-Aug-20
41,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,2900,3681,3500,24-Aug-20
42,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3301,3301,3301,20-Aug-20
43,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,2900,3675,3586,19-Aug-20
44,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3599,3550,17-Aug-20
45,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3597,3500,14-Aug-20
46,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3200,3600,3537,12-Aug-20
47,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3301,3684,3570,10-Aug-20
48,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,2900,3684,3590,7-Aug-20
49,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3300,3626,3580,5-Aug-20
50,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3200,3615,3585,3-Aug-20
51,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3566,3525,31-Jul-20
52,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,2200,3550,3450,29-Jul-20
53,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3001,3555,3515,27-Jul-20
54,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3200,3550,3500,24-Jul-20
55,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3541,3475,22-Jul-20
56,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3568,3500,20-Jul-20
57,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3101,3541,3481,17-Jul-20
58,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,2728,3549,3490,15-Jul-20
59,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3576,3535,13-Jul-20
60,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3296,3608,3566,10-Jul-20
61,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3620,3575,8-Jul-20
62,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3100,3575,3480,7-Jul-20
63,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3652,3000,6-Jul-20
64,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3111,3658,3581,3-Jul-20
65,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3568,3525,1-Jul-20
66,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,2900,3568,3450,29-Jun-20
67,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,2801,3606,3529,26-Jun-20
68,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3400,3648,3531,24-Jun-20
69,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3660,3541,22-Jun-20
70,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,2600,3669,3550,19-Jun-20
71,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,2900,3672,3533,17-Jun-20
72,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3201,3681,3540,15-Jun-20
73,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3300,3668,3596,12-Jun-20
74,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,2871,3644,3539,10-Jun-20
75,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,2880,3678,3575,8-Jun-20
76,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,2801,3651,3550,5-Jun-20
77,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,2601,3653,3591,3-Jun-20
78,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,2991,3598,3351,1-Jun-20
79,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3699,3575,29-May-20
80,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3525,3525,3525,28-May-20
81,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,2500,3589,3401,27-May-20
82,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3300,3566,3497,25-May-20
83,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3648,3575,22-May-20
84,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3720,3685,20-May-20
85,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3501,3733,3705,18-May-20
86,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3546,3546,3546,15-May-20
87,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3001,3720,3675,6-May-20
88,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3300,3500,3440,2-Apr-20
89,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3100,3442,3370,20-Mar-20
90,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,2751,3442,3401,19-Mar-20
91,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3421,3333,18-Mar-20
92,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,2870,3346,3199,17-Mar-20
93,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,2100,3371,3320,14-Mar-20
94,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3482,3415,13-Mar-20
95,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,2301,3500,3441,12-Mar-20
96,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3100,3625,3610,11-Mar-20
97,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3150,3785,3601,7-Mar-20
98,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3400,3750,3601,6-Mar-20
99,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3050,3790,3629,5-Mar-20
100,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3031,3700,3650,3-Mar-20
101,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3400,3670,3601,29-Feb-20
102,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3001,3675,3550,28-Feb-20
103,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3100,3799,3675,27-Feb-20
104,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3865,3760,26-Feb-20
105,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,2975,3885,3791,25-Feb-20
106,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3194,3885,3829,22-Feb-20
107,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3333,3884,3838,20-Feb-20
108,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3301,3881,3770,19-Feb-20
109,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3201,3939,3850,18-Feb-20
110,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3300,3930,3875,15-Feb-20
111,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3600,3909,3800,14-Feb-20
112,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3300,3901,3875,13-Feb-20
113,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3200,3884,3790,12-Feb-20
114,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3200,3900,3850,11-Feb-20
115,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3300,4040,3995,8-Feb-20
116,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,4040,3975,6-Feb-20
117,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3401,4040,4021,5-Feb-20
118,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3240,4000,3910,4-Feb-20
119,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3200,4021,3970,1-Feb-20
120,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3450,4011,3900,31-Jan-20
121,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3475,4000,3980,30-Jan-20
122,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3181,4000,3941,29-Jan-20
123,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,3895,3750,28-Jan-20
124,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,4054,4000,25-Jan-20
125,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,4074,4000,24-Jan-20
126,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,4112,4100,23-Jan-20
127,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3900,4168,4000,22-Jan-20
128,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3300,4175,4000,21-Jan-20
129,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3000,4155,4000,18-Jan-20
130,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3300,4215,4155,17-Jan-20
131,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3300,4228,4101,16-Jan-20
132,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3201,4200,4178,14-Jan-20
133,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3300,4250,4210,11-Jan-20
134,Ahmednagar,Kopargaon,Soyabean,Other,FAQ,3450,4288,4200,10-Jan-20
