"Min,Max,Modal Price from Maharashtra,Nanded[Soyabean],Kundalwadi from 01-Jan-2010To24-Oct-2020 (Total-20) (Total-20)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nanded,Kundalwadi,Soyabean,Other,FAQ,2850,3200,3150,14-Oct-19
2,Nanded,Kundalwadi,Soyabean,Other,FAQ,4800,5271,5035,12-Nov-18
3,Nanded,Kundalwadi,Soyabean,Other,FAQ,3626,3649,3630,11-Jan-16
4,Nanded,Kundalwadi,Soyabean,Other,FAQ,3630,3665,3650,6-Jan-16
5,Nanded,Kundalwadi,Soyabean,Other,FAQ,3640,3640,3640,2-Jan-16
6,Nanded,Kundalwadi,Soyabean,Other,FAQ,3648,3648,3648,27-Dec-15
7,Nanded,Kundalwadi,Soyabean,Other,FAQ,3586,3600,3590,16-Dec-15
8,Nanded,Kundalwadi,Soyabean,Other,FAQ,3500,3637,3550,14-Dec-15
9,Nanded,Kundalwadi,Soyabean,Other,FAQ,3500,3610,3550,13-Dec-15
10,Nanded,Kundalwadi,Soyabean,Other,FAQ,3500,3630,3550,12-Dec-15
11,Nanded,Kundalwadi,Soyabean,Other,FAQ,3550,3650,3600,11-Dec-15
12,Nanded,Kundalwadi,Soyabean,Other,FAQ,3550,3650,3650,10-Dec-15
13,Nanded,Kundalwadi,Soyabean,Other,FAQ,3525,3630,3540,9-Dec-15
14,Nanded,Kundalwadi,Soyabean,Other,FAQ,3500,3625,3525,8-Dec-15
15,Nanded,Kundalwadi,Soyabean,Other,FAQ,3530,3680,3540,7-Dec-15
16,Nanded,Kundalwadi,Soyabean,Other,FAQ,3500,3680,3625,6-Dec-15
17,Nanded,Kundalwadi,Soyabean,Other,FAQ,3540,3680,3625,5-Dec-15
18,Nanded,Kundalwadi,Soyabean,Other,FAQ,3600,3680,3625,4-Dec-15
19,Nanded,Kundalwadi,Soyabean,Other,FAQ,3500,3650,3625,3-Dec-15
20,Nanded,Kundalwadi,Soyabean,Other,FAQ,3500,3650,3625,2-Dec-15
