"Min,Max,Modal Price from Maharashtra,Nashik[Soyabean],Lasalgaon(Vinchur) from 01-Jan-2010To24-Oct-2020 (Total-122) (Total-122)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,3000,3900,3750,14-Oct-20
2,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,2500,3826,3701,13-Oct-20
3,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,3000,4000,3850,12-Oct-20
4,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,3000,3917,3800,10-Oct-20
5,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,3000,3831,3700,9-Oct-20
6,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,3000,3760,3600,8-Oct-20
7,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,3000,3736,3600,7-Oct-20
8,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,2500,3575,3400,6-Oct-20
9,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,2500,3552,3400,5-Oct-20
10,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,2500,3676,3500,3-Oct-20
11,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,2500,3835,3700,2-Oct-20
12,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,2500,3871,3800,1-Oct-20
13,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,2500,3860,3700,30-Sep-20
14,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,2500,3880,3728,29-Sep-20
15,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,2000,3900,3850,28-Sep-20
16,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,3000,3900,3800,26-Sep-20
17,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,3200,3890,3800,25-Sep-20
18,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,2451,3935,3832,24-Sep-20
19,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,2500,3952,3800,23-Sep-20
20,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,2500,3870,3700,22-Sep-20
21,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,2500,3959,3800,21-Sep-20
22,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,3000,3945,3800,19-Sep-20
23,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,2500,3930,3800,18-Sep-20
24,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,3000,3841,3700,17-Sep-20
25,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,2500,3861,3745,16-Sep-20
26,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,2401,3926,3800,15-Sep-20
27,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,2500,3838,3751,14-Sep-20
28,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,2480,3699,3500,12-Sep-20
