"Min,Max,Modal Price from Maharashtra,Yavatmal[Soyabean],Mahagaon from 01-Jan-2010To24-Oct-2020 (Total-30) (Total-30)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Yavatmal,Mahagaon,Soyabean,Other,FAQ,3500,4000,3800,13-May-20
2,Yavatmal,Mahagaon,Soyabean,Other,FAQ,3500,4000,3800,11-May-20
3,Yavatmal,Mahagaon,Soyabean,Other,FAQ,3500,4000,3800,9-May-20
4,Yavatmal,Mahagaon,Soyabean,Other,FAQ,3500,4000,3800,6-May-20
5,Yavatmal,Mahagaon,Soyabean,Other,FAQ,3710,3800,3720,22-Oct-19
6,Yavatmal,Mahagaon,Soyabean,Other,FAQ,3710,3800,3710,9-Oct-19
7,Yavatmal,Mahagaon,Soyabean,Other,FAQ,2600,3000,2700,26-Oct-17
8,Yavatmal,Mahagaon,Soyabean,Other,FAQ,2600,2850,2800,25-Oct-17
9,Yavatmal,Mahagaon,Soyabean,Other,FAQ,2700,2900,2900,24-Oct-17
10,Yavatmal,Mahagaon,Soyabean,Other,FAQ,2775,2900,2800,11-Apr-17
11,Yavatmal,Mahagaon,Soyabean,Other,FAQ,2800,2800,2800,8-Feb-17
12,Yavatmal,Mahagaon,Soyabean,Other,FAQ,2775,2800,2800,20-Dec-16
13,Yavatmal,Mahagaon,Soyabean,Other,FAQ,2775,2850,2800,7-Dec-16
14,Yavatmal,Mahagaon,Soyabean,Other,FAQ,2600,2850,2790,28-Nov-16
15,Yavatmal,Mahagaon,Soyabean,Other,FAQ,2775,2850,2780,23-Nov-16
16,Yavatmal,Mahagaon,Soyabean,Other,FAQ,2500,2800,2700,10-Nov-16
17,Yavatmal,Mahagaon,Soyabean,Other,FAQ,2775,2900,2800,8-Nov-16
18,Yavatmal,Mahagaon,Soyabean,Other,FAQ,2775,2900,2800,7-Nov-16
19,Yavatmal,Mahagaon,Soyabean,Other,FAQ,2775,2900,2800,5-Nov-16
20,Yavatmal,Mahagaon,Soyabean,Other,FAQ,2775,2900,2800,3-Nov-16
21,Yavatmal,Mahagaon,Soyabean,Other,FAQ,2500,2800,2700,2-Nov-16
22,Yavatmal,Mahagaon,Soyabean,Other,FAQ,2775,2900,2800,26-Oct-16
23,Yavatmal,Mahagaon,Soyabean,Other,FAQ,2775,2900,2800,24-Oct-16
24,Yavatmal,Mahagaon,Soyabean,Other,FAQ,2775,2900,2800,23-Oct-16
25,Yavatmal,Mahagaon,Soyabean,Other,FAQ,2775,2900,2800,22-Oct-16
26,Yavatmal,Mahagaon,Soyabean,Other,FAQ,2775,2900,2800,21-Oct-16
27,Yavatmal,Mahagaon,Soyabean,Other,FAQ,2775,2900,2800,20-Oct-16
28,Yavatmal,Mahagaon,Soyabean,Other,FAQ,2775,2900,2800,19-Oct-16
29,Yavatmal,Mahagaon,Soyabean,Other,FAQ,2800,2960,2800,18-Oct-16
30,Yavatmal,Mahagaon,Soyabean,Other,FAQ,3400,3600,3500,10-Dec-15
