"Min,Max,Modal Price from Maharashtra,Nanded[Soyabean],Mahur from 01-Jan-2010To24-Oct-2020 (Total-145) (Total-145)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nanded,Mahur,Soyabean,Yellow,FAQ,3100,3600,3350,13-Nov-19
2,Nanded,Mahur,Soyabean,Yellow,FAQ,3100,3600,3350,11-Nov-19
3,Nanded,Mahur,Soyabean,Yellow,FAQ,3000,3300,3150,31-Oct-19
4,Nanded,Mahur,Soyabean,Yellow,FAQ,3000,3300,3150,30-Oct-19
5,Nanded,Mahur,Soyabean,Yellow,FAQ,3000,3300,3150,29-Oct-19
6,Nanded,Mahur,Soyabean,Yellow,FAQ,3400,3600,3500,17-Oct-19
7,Nanded,Mahur,Soyabean,Yellow,FAQ,3400,3600,3500,16-Oct-19
8,Nanded,Mahur,Soyabean,Yellow,FAQ,3400,3600,3500,15-Oct-19
9,Nanded,Mahur,Soyabean,Yellow,FAQ,3300,3600,3450,14-Oct-19
10,Nanded,Mahur,Soyabean,Yellow,FAQ,3300,3600,3450,12-Oct-19
11,Nanded,Mahur,Soyabean,Yellow,FAQ,3300,3600,3450,11-Oct-19
12,Nanded,Mahur,Soyabean,Yellow,FAQ,3300,3500,3400,10-Oct-19
13,Nanded,Mahur,Soyabean,Yellow,FAQ,3300,3500,3400,9-Oct-19
14,Nanded,Mahur,Soyabean,Yellow,FAQ,3300,3600,3450,7-Oct-19
15,Nanded,Mahur,Soyabean,Yellow,FAQ,2900,3100,3000,20-Oct-18
16,Nanded,Mahur,Soyabean,Yellow,FAQ,2900,3100,3000,19-Oct-18
17,Nanded,Mahur,Soyabean,Yellow,FAQ,2800,3000,2900,8-Oct-18
18,Nanded,Mahur,Soyabean,Yellow,FAQ,2800,3000,2900,6-Oct-18
19,Nanded,Mahur,Soyabean,Yellow,FAQ,2400,2600,2500,18-Jan-17
20,Nanded,Mahur,Soyabean,Yellow,FAQ,2400,2600,2500,5-Jan-17
21,Nanded,Mahur,Soyabean,Yellow,FAQ,2400,2600,2500,4-Jan-17
22,Nanded,Mahur,Soyabean,Yellow,FAQ,2400,2600,2500,3-Jan-17
23,Nanded,Mahur,Soyabean,Yellow,FAQ,2400,2600,2500,2-Jan-17
