"Min,Max,Modal Price from Maharashtra,Parbhani[Soyabean],Pathari from 01-Jan-2010To24-Oct-2020 (Total-743) (Total-743)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Parbhani,Pathari,Soyabean,Yellow,FAQ,3000,3700,3400,13-Oct-20
2,Parbhani,Pathari,Soyabean,Yellow,FAQ,2800,3750,3400,12-Oct-20
3,Parbhani,Pathari,Soyabean,Yellow,FAQ,2400,3501,2951,30-Sep-20
4,Parbhani,Pathari,Soyabean,Yellow,FAQ,2400,3700,3000,29-Sep-20
5,Parbhani,Pathari,Soyabean,Yellow,FAQ,2600,3451,3175,28-Sep-20
6,Parbhani,Pathari,Soyabean,Yellow,FAQ,3650,3650,3650,19-Sep-20
7,Parbhani,Pathari,Soyabean,Yellow,FAQ,3675,3675,3675,18-Sep-20
8,Parbhani,Pathari,Soyabean,Yellow,FAQ,3401,3501,3401,15-Sep-20
9,Parbhani,Pathari,Soyabean,Yellow,FAQ,2501,3451,3400,14-Sep-20
10,Parbhani,Pathari,Soyabean,Other,FAQ,3500,3500,3500,12-Sep-20
11,Parbhani,Pathari,Soyabean,Other,FAQ,3100,3400,3250,11-Sep-20
12,Parbhani,Pathari,Soyabean,Yellow,FAQ,3000,3400,3302,24-Aug-20
13,Parbhani,Pathari,Soyabean,Yellow,FAQ,3000,3411,3400,23-Jun-20
14,Parbhani,Pathari,Soyabean,Other,FAQ,3385,3486,3400,20-Jun-20
15,Parbhani,Pathari,Soyabean,Other,FAQ,3150,3150,3150,11-Jun-20
16,Parbhani,Pathari,Soyabean,Yellow,FAQ,3200,3200,3200,5-Jun-20
17,Parbhani,Pathari,Soyabean,Other,FAQ,3413,3451,3413,3-Jun-20
18,Parbhani,Pathari,Soyabean,Yellow,FAQ,3300,3401,3351,2-Jun-20
19,Parbhani,Pathari,Soyabean,Yellow,FAQ,3000,3000,3000,1-Jun-20
20,Parbhani,Pathari,Soyabean,Yellow,FAQ,3201,3300,3250,30-May-20
21,Parbhani,Pathari,Soyabean,Yellow,FAQ,3296,3391,3300,29-May-20
22,Parbhani,Pathari,Soyabean,Yellow,FAQ,3200,3551,3500,15-May-20
23,Parbhani,Pathari,Soyabean,Other,FAQ,3251,3500,3251,14-May-20
24,Parbhani,Pathari,Soyabean,Other,FAQ,3000,3426,3300,26-Feb-20
25,Parbhani,Pathari,Soyabean,Other,FAQ,3201,3631,3450,25-Feb-20
26,Parbhani,Pathari,Soyabean,Other,FAQ,3000,3601,3000,18-Feb-20
27,Parbhani,Pathari,Soyabean,Other,FAQ,3500,3691,3600,17-Feb-20
28,Parbhani,Pathari,Soyabean,Other,FAQ,3200,3701,3600,13-Feb-20
29,Parbhani,Pathari,Soyabean,Other,FAQ,3300,3551,3500,12-Feb-20
30,Parbhani,Pathari,Soyabean,Other,FAQ,3350,3651,3350,6-Feb-20
31,Parbhani,Pathari,Soyabean,Other,FAQ,3650,3931,3750,20-Jan-20
32,Parbhani,Pathari,Soyabean,Other,FAQ,3002,4000,3600,14-Jan-20
33,Parbhani,Pathari,Soyabean,Other,FAQ,3800,3942,3871,11-Jan-20
34,Parbhani,Pathari,Soyabean,Other,FAQ,3600,4081,4051,10-Jan-20
35,Parbhani,Pathari,Soyabean,Other,FAQ,3500,4151,4001,9-Jan-20
36,Parbhani,Pathari,Soyabean,Other,FAQ,3300,4000,3601,8-Jan-20
37,Parbhani,Pathari,Soyabean,Other,FAQ,3600,4121,4000,6-Jan-20
38,Parbhani,Pathari,Soyabean,Other,FAQ,3500,4251,4000,2-Jan-20
39,Parbhani,Pathari,Soyabean,Other,FAQ,3000,4200,4101,1-Jan-20
40,Parbhani,Pathari,Soyabean,Other,FAQ,3500,4301,4000,31-Dec-19
41,Parbhani,Pathari,Soyabean,Other,FAQ,3100,4001,3971,30-Dec-19
42,Parbhani,Pathari,Soyabean,Other,FAQ,3475,4081,3751,28-Dec-19
43,Parbhani,Pathari,Soyabean,Other,FAQ,3475,4081,3751,24-Dec-19
44,Parbhani,Pathari,Soyabean,Other,FAQ,3000,4000,3700,19-Dec-19
45,Parbhani,Pathari,Soyabean,Other,FAQ,3300,4100,3691,18-Dec-19
46,Parbhani,Pathari,Soyabean,Other,FAQ,2800,4051,3750,17-Dec-19
47,Parbhani,Pathari,Soyabean,Other,FAQ,3251,4101,3800,14-Dec-19
48,Parbhani,Pathari,Soyabean,Other,FAQ,3200,4016,3631,12-Dec-19
49,Parbhani,Pathari,Soyabean,Other,FAQ,2950,4001,3500,11-Dec-19
50,Parbhani,Pathari,Soyabean,Other,FAQ,2800,4100,3552,10-Dec-19
51,Parbhani,Pathari,Soyabean,Other,FAQ,2450,3851,3476,7-Dec-19
52,Parbhani,Pathari,Soyabean,Other,FAQ,2400,3775,3400,6-Dec-19
53,Parbhani,Pathari,Soyabean,Other,FAQ,2351,3800,3200,30-Nov-19
54,Parbhani,Pathari,Soyabean,Other,FAQ,2300,3634,3200,28-Nov-19
55,Parbhani,Pathari,Soyabean,Other,FAQ,2000,3650,3100,27-Nov-19
56,Parbhani,Pathari,Soyabean,Other,FAQ,2000,3651,3101,25-Nov-19
57,Parbhani,Pathari,Soyabean,Other,FAQ,2240,3655,3255,21-Nov-19
58,Parbhani,Pathari,Soyabean,Other,FAQ,2252,3661,3100,18-Nov-19
59,Parbhani,Pathari,Soyabean,Other,FAQ,2200,3611,3000,16-Nov-19
60,Parbhani,Pathari,Soyabean,Other,FAQ,1900,3604,3000,14-Nov-19
61,Parbhani,Pathari,Soyabean,Other,FAQ,1600,3700,3001,13-Nov-19
62,Parbhani,Pathari,Soyabean,Other,FAQ,2401,3800,3201,11-Nov-19
63,Parbhani,Pathari,Soyabean,Other,FAQ,2401,3750,3300,9-Nov-19
64,Parbhani,Pathari,Soyabean,Other,FAQ,2200,3900,3550,5-Nov-19
65,Parbhani,Pathari,Soyabean,Other,FAQ,3000,3375,3325,29-Oct-19
66,Parbhani,Pathari,Soyabean,Other,FAQ,2700,3611,3351,28-Oct-19
67,Parbhani,Pathari,Soyabean,Other,FAQ,2800,3451,3200,23-Oct-19
68,Parbhani,Pathari,Soyabean,Other,FAQ,2601,6651,3200,22-Oct-19
69,Parbhani,Pathari,Soyabean,Other,FAQ,2425,3300,2900,16-Oct-19
70,Parbhani,Pathari,Soyabean,Other,FAQ,2151,3300,2800,15-Oct-19
71,Parbhani,Pathari,Soyabean,Other,FAQ,2400,3400,2800,12-Oct-19
72,Parbhani,Pathari,Soyabean,Other,FAQ,2200,3226,2600,10-Oct-19
73,Parbhani,Pathari,Soyabean,Other,FAQ,2200,3500,2951,9-Oct-19
74,Parbhani,Pathari,Soyabean,Other,FAQ,2731,3700,3201,7-Oct-19
75,Parbhani,Pathari,Soyabean,Other,FAQ,2700,3800,3170,5-Oct-19
76,Parbhani,Pathari,Soyabean,Other,FAQ,2500,3690,3350,3-Oct-19
77,Parbhani,Pathari,Soyabean,Other,FAQ,3400,3451,3400,1-Oct-19
78,Parbhani,Pathari,Soyabean,Other,FAQ,3750,3800,3750,27-Sep-19
79,Parbhani,Pathari,Soyabean,Other,FAQ,3400,3490,3450,16-Sep-19
80,Parbhani,Pathari,Soyabean,Other,FAQ,3200,3500,3400,19-Aug-19
81,Parbhani,Pathari,Soyabean,Other,FAQ,3401,3450,3432,3-Aug-19
82,Parbhani,Pathari,Soyabean,Other,FAQ,3400,3421,3400,13-Jul-19
83,Parbhani,Pathari,Soyabean,Other,FAQ,3300,3450,3435,6-Jul-19
84,Parbhani,Pathari,Soyabean,Other,FAQ,3300,3500,3450,4-Jul-19
85,Parbhani,Pathari,Soyabean,Other,FAQ,3300,3460,3400,29-Jun-19
86,Parbhani,Pathari,Soyabean,Other,FAQ,3202,3401,3375,24-Jun-19
87,Parbhani,Pathari,Soyabean,Other,FAQ,3350,3450,3350,22-Jun-19
88,Parbhani,Pathari,Soyabean,Other,FAQ,3351,3525,3376,20-Jun-19
89,Parbhani,Pathari,Soyabean,Other,FAQ,3000,3475,3400,17-Jun-19
90,Parbhani,Pathari,Soyabean,Other,FAQ,3400,3500,3450,25-May-19
91,Parbhani,Pathari,Soyabean,Other,FAQ,3300,3400,3300,25-Apr-19
92,Parbhani,Pathari,Soyabean,Other,FAQ,3411,3500,3451,20-Apr-19
93,Parbhani,Pathari,Soyabean,Other,FAQ,3500,3600,3537,15-Apr-19
94,Parbhani,Pathari,Soyabean,Yellow,FAQ,3500,3560,3551,11-Apr-19
95,Parbhani,Pathari,Soyabean,Other,FAQ,3450,3600,3501,6-Apr-19
96,Parbhani,Pathari,Soyabean,Other,FAQ,3201,3401,3201,9-Mar-19
97,Parbhani,Pathari,Soyabean,Other,FAQ,3500,3600,3550,21-Feb-19
98,Parbhani,Pathari,Soyabean,Other,FAQ,3400,3552,3400,18-Feb-19
99,Parbhani,Pathari,Soyabean,Other,FAQ,3500,3550,3541,11-Feb-19
100,Parbhani,Pathari,Soyabean,Other,FAQ,3411,3500,3450,7-Feb-19
101,Parbhani,Pathari,Soyabean,Other,FAQ,3500,3600,3550,24-Jan-19
102,Parbhani,Pathari,Soyabean,Other,FAQ,3551,3651,3551,21-Jan-19
103,Parbhani,Pathari,Soyabean,Other,FAQ,3300,3451,3400,17-Jan-19
104,Parbhani,Pathari,Soyabean,Other,FAQ,3300,3476,3400,14-Jan-19
105,Parbhani,Pathari,Soyabean,Other,FAQ,3100,3380,3300,10-Jan-19
106,Parbhani,Pathari,Soyabean,Other,FAQ,3200,3275,3250,7-Jan-19
107,Parbhani,Pathari,Soyabean,Other,FAQ,2800,3300,3250,3-Jan-19
108,Parbhani,Pathari,Soyabean,Other,FAQ,3100,3211,3151,31-Dec-18
109,Parbhani,Pathari,Soyabean,Other,FAQ,3050,3175,3150,27-Dec-18
110,Parbhani,Pathari,Soyabean,Other,FAQ,3100,3200,3150,22-Dec-18
111,Parbhani,Pathari,Soyabean,Other,FAQ,2501,3241,3181,20-Dec-18
112,Parbhani,Pathari,Soyabean,Other,FAQ,3000,3200,3100,17-Dec-18
113,Parbhani,Pathari,Soyabean,Other,FAQ,2900,3250,3200,10-Dec-18
114,Parbhani,Pathari,Soyabean,Other,FAQ,3000,3211,3200,8-Dec-18
115,Parbhani,Pathari,Soyabean,Other,FAQ,2700,3245,3200,6-Dec-18
116,Parbhani,Pathari,Soyabean,Other,FAQ,3200,3300,3261,3-Dec-18
117,Parbhani,Pathari,Soyabean,Other,FAQ,2551,32391,3200,1-Dec-18
118,Parbhani,Pathari,Soyabean,Other,FAQ,2951,3300,3200,26-Nov-18
119,Parbhani,Pathari,Soyabean,Other,FAQ,2600,3300,3250,24-Nov-18
120,Parbhani,Pathari,Soyabean,Other,FAQ,2600,3335,3201,22-Nov-18
121,Parbhani,Pathari,Soyabean,Other,FAQ,2951,3276,3200,17-Nov-18
122,Parbhani,Pathari,Soyabean,Other,FAQ,2800,3290,3251,15-Nov-18
123,Parbhani,Pathari,Soyabean,Other,FAQ,3100,3651,3151,12-Nov-18
124,Parbhani,Pathari,Soyabean,Other,FAQ,2600,3200,3151,2-Nov-18
125,Parbhani,Pathari,Soyabean,Other,FAQ,2850,3161,3101,1-Nov-18
126,Parbhani,Pathari,Soyabean,Other,FAQ,2700,3201,3100,31-Oct-18
127,Parbhani,Pathari,Soyabean,Other,FAQ,2600,3110,3000,27-Oct-18
128,Parbhani,Pathari,Soyabean,Other,FAQ,2611,3125,3000,26-Oct-18
129,Parbhani,Pathari,Soyabean,Other,FAQ,2431,3011,2951,25-Oct-18
130,Parbhani,Pathari,Soyabean,Other,FAQ,2501,3012,2951,24-Oct-18
131,Parbhani,Pathari,Soyabean,Other,FAQ,2400,3051,2900,22-Oct-18
132,Parbhani,Pathari,Soyabean,Other,FAQ,2500,3051,2951,20-Oct-18
133,Parbhani,Pathari,Soyabean,Other,FAQ,2501,3151,3051,19-Oct-18
134,Parbhani,Pathari,Soyabean,Other,FAQ,2500,3151,3051,17-Oct-18
135,Parbhani,Pathari,Soyabean,Other,FAQ,2600,3200,3000,16-Oct-18
136,Parbhani,Pathari,Soyabean,Other,FAQ,2711,3150,2951,15-Oct-18
137,Parbhani,Pathari,Soyabean,Other,FAQ,2350,3050,2851,11-Oct-18
138,Parbhani,Pathari,Soyabean,Other,FAQ,2200,3151,2800,10-Oct-18
139,Parbhani,Pathari,Soyabean,Other,FAQ,2400,3000,2800,6-Oct-18
140,Parbhani,Pathari,Soyabean,Other,FAQ,2400,2900,2800,4-Oct-18
141,Parbhani,Pathari,Soyabean,Other,FAQ,2200,2925,2600,3-Oct-18
142,Parbhani,Pathari,Soyabean,Other,FAQ,2100,2900,2700,1-Oct-18
143,Parbhani,Pathari,Soyabean,Other,FAQ,2300,3050,2700,29-Sep-18
144,Parbhani,Pathari,Soyabean,Other,FAQ,2900,3100,3001,27-Sep-18
145,Parbhani,Pathari,Soyabean,Other,FAQ,2800,3100,3000,26-Sep-18
146,Parbhani,Pathari,Soyabean,Other,FAQ,2750,3111,2950,25-Sep-18
147,Parbhani,Pathari,Soyabean,Other,FAQ,2800,3101,2800,18-Aug-18
148,Parbhani,Pathari,Soyabean,Other,FAQ,3100,3700,3300,13-Aug-18
149,Parbhani,Pathari,Soyabean,Other,FAQ,3101,3400,3200,19-Jul-18
150,Parbhani,Pathari,Soyabean,Other,FAQ,2650,3300,3000,12-Jul-18
151,Parbhani,Pathari,Soyabean,Other,FAQ,2800,3000,2800,7-Jul-18
152,Parbhani,Pathari,Soyabean,Other,FAQ,2800,3500,3126,3-Jul-18
153,Parbhani,Pathari,Soyabean,Other,FAQ,2900,3000,2900,26-Jun-18
154,Parbhani,Pathari,Soyabean,Yellow,FAQ,2700,3271,2800,23-Jun-18
155,Parbhani,Pathari,Soyabean,Other,FAQ,3200,3500,3451,9-Apr-18
156,Parbhani,Pathari,Soyabean,Other,FAQ,3100,3425,3225,21-Mar-18
157,Parbhani,Pathari,Soyabean,Other,FAQ,3052,3462,3251,19-Mar-18
158,Parbhani,Pathari,Soyabean,Other,FAQ,3500,3600,3500,5-Mar-18
159,Parbhani,Pathari,Soyabean,Other,FAQ,3100,3250,3100,24-Feb-18
160,Parbhani,Pathari,Soyabean,Other,FAQ,3250,3300,3250,23-Feb-18
161,Parbhani,Pathari,Soyabean,Other,FAQ,3300,3550,3311,22-Feb-18
162,Parbhani,Pathari,Soyabean,Other,FAQ,3050,3550,3050,14-Feb-18
163,Parbhani,Pathari,Soyabean,Other,FAQ,3300,3400,3300,12-Feb-18
164,Parbhani,Pathari,Soyabean,Other,FAQ,3350,3401,3350,10-Feb-18
165,Parbhani,Pathari,Soyabean,Other,FAQ,3000,3661,3500,30-Jan-18
166,Parbhani,Pathari,Soyabean,Other,FAQ,3550,3600,3550,29-Jan-18
167,Parbhani,Pathari,Soyabean,Other,FAQ,3000,3601,3450,27-Jan-18
168,Parbhani,Pathari,Soyabean,Other,FAQ,3000,3300,3200,24-Jan-18
169,Parbhani,Pathari,Soyabean,Other,FAQ,2600,3101,2800,22-Jan-18
170,Parbhani,Pathari,Soyabean,Other,FAQ,2600,3000,2700,20-Jan-18
171,Parbhani,Pathari,Soyabean,Other,FAQ,3000,3101,3051,19-Jan-18
172,Parbhani,Pathari,Soyabean,Other,FAQ,2501,3000,2800,18-Jan-18
173,Parbhani,Pathari,Soyabean,Other,FAQ,2901,3050,2901,17-Jan-18
174,Parbhani,Pathari,Soyabean,Yellow,FAQ,2500,2850,2600,11-Jan-18
175,Parbhani,Pathari,Soyabean,Other,FAQ,2550,2951,2701,10-Jan-18
176,Parbhani,Pathari,Soyabean,Other,FAQ,2400,2852,2600,8-Jan-18
177,Parbhani,Pathari,Soyabean,Other,FAQ,2300,2951,2700,5-Jan-18
178,Parbhani,Pathari,Soyabean,Other,FAQ,2500,2751,2600,4-Jan-18
