"Min,Max,Modal Price from Maharashtra,Aurangabad[Soyabean],Sillod from 01-Jan-2010To24-Oct-2020 (Total-599) (Total-599)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Aurangabad,Sillod,Soyabean,Other,FAQ,3600,4000,3800,14-Oct-20
2,Aurangabad,Sillod,Soyabean,Other,FAQ,3600,4000,3800,13-Oct-20
3,Aurangabad,Sillod,Soyabean,Other,FAQ,3600,4000,3800,12-Oct-20
4,Aurangabad,Sillod,Soyabean,Other,FAQ,3500,3700,3600,11-Oct-20
5,Aurangabad,Sillod,Soyabean,Other,FAQ,3500,3700,3600,10-Oct-20
6,Aurangabad,Sillod,Soyabean,Other,FAQ,3500,3600,3600,7-Oct-20
7,Aurangabad,Sillod,Soyabean,Other,FAQ,3500,3600,3600,6-Oct-20
8,Aurangabad,Sillod,Soyabean,Other,FAQ,3300,3500,3400,8-Sep-20
9,Aurangabad,Sillod,Soyabean,Other,FAQ,3200,3200,3200,4-Sep-20
10,Aurangabad,Sillod,Soyabean,Other,FAQ,3400,3500,3500,30-Jul-20
11,Aurangabad,Sillod,Soyabean,Other,FAQ,4000,4100,4000,23-Feb-20
12,Aurangabad,Sillod,Soyabean,Other,FAQ,4000,4100,4000,19-Feb-20
13,Aurangabad,Sillod,Soyabean,Other,FAQ,4000,4100,4000,12-Feb-20
14,Aurangabad,Sillod,Soyabean,Other,FAQ,4000,4100,4000,10-Feb-20
15,Aurangabad,Sillod,Soyabean,Other,FAQ,4000,4100,4100,8-Feb-20
16,Aurangabad,Sillod,Soyabean,Other,FAQ,4000,4100,4100,2-Feb-20
17,Aurangabad,Sillod,Soyabean,Other,FAQ,4000,4000,4000,28-Jan-20
18,Aurangabad,Sillod,Soyabean,Other,FAQ,4000,4100,4000,25-Jan-20
19,Aurangabad,Sillod,Soyabean,Other,FAQ,4000,4000,4000,12-Jan-20
20,Aurangabad,Sillod,Soyabean,Other,FAQ,4000,4000,4000,30-Dec-19
21,Aurangabad,Sillod,Soyabean,Other,FAQ,4000,4000,4000,29-Dec-19
22,Aurangabad,Sillod,Soyabean,Other,FAQ,3800,4000,4000,28-Dec-19
23,Aurangabad,Sillod,Soyabean,Other,FAQ,3800,4000,4000,27-Dec-19
24,Aurangabad,Sillod,Soyabean,Other,FAQ,3800,4000,3900,26-Dec-19
25,Aurangabad,Sillod,Soyabean,Other,FAQ,4000,4000,4000,22-Dec-19
