"Min,Max,Modal Price from Maharashtra,Wardha[Soyabean],Sindi from 01-Jan-2010To24-Oct-2020 (Total-1055) (Total-1055)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Wardha,Sindi,Soyabean,Yellow,FAQ,3300,4020,3860,13-Oct-20
2,Wardha,Sindi,Soyabean,Yellow,FAQ,3350,4150,3850,12-Oct-20
3,Wardha,Sindi,Soyabean,Yellow,FAQ,3280,3565,3560,10-Oct-20
4,Wardha,Sindi,Soyabean,Yellow,FAQ,3350,3750,3555,9-Oct-20
5,Wardha,Sindi,Soyabean,Yellow,FAQ,3360,3550,3490,6-Oct-20
6,Wardha,Sindi,Soyabean,Yellow,FAQ,3350,3585,3450,5-Oct-20
7,Wardha,Sindi,Soyabean,Yellow,FAQ,3000,3650,3350,23-Sep-20
8,Wardha,Sindi,Soyabean,Yellow,FAQ,3050,3605,3460,14-Aug-20
9,Wardha,Sindi,Soyabean,Yellow,FAQ,3265,3585,3405,10-Aug-20
10,Wardha,Sindi,Soyabean,Yellow,FAQ,3285,3500,3425,31-Jul-20
11,Wardha,Sindi,Soyabean,Yellow,FAQ,3305,3600,3520,27-Jul-20
12,Wardha,Sindi,Soyabean,Yellow,FAQ,3305,3500,3425,17-Jul-20
13,Wardha,Sindi,Soyabean,Yellow,FAQ,3280,3545,3450,15-Jul-20
14,Wardha,Sindi,Soyabean,Yellow,FAQ,3350,3560,3485,11-Jul-20
15,Wardha,Sindi,Soyabean,Yellow,FAQ,3325,3565,3420,8-Jul-20
16,Wardha,Sindi,Soyabean,Yellow,FAQ,3300,3560,3425,7-Jul-20
17,Wardha,Sindi,Soyabean,Yellow,FAQ,3335,3560,3460,4-Jul-20
18,Wardha,Sindi,Soyabean,Yellow,FAQ,3350,3595,3465,3-Jul-20
19,Wardha,Sindi,Soyabean,Yellow,FAQ,3400,3595,3470,30-Jun-20
20,Wardha,Sindi,Soyabean,Yellow,FAQ,3250,3700,3655,29-Jun-20
21,Wardha,Sindi,Soyabean,Yellow,FAQ,3350,3630,3505,26-Jun-20
22,Wardha,Sindi,Soyabean,Yellow,FAQ,3425,3700,3628,24-Jun-20
23,Wardha,Sindi,Soyabean,Yellow,FAQ,3350,3675,3500,23-Jun-20
24,Wardha,Sindi,Soyabean,Yellow,FAQ,3345,3660,3540,20-Jun-20
25,Wardha,Sindi,Soyabean,Yellow,FAQ,3385,3700,3550,17-Jun-20
26,Wardha,Sindi,Soyabean,Yellow,FAQ,3180,3560,3450,13-Jun-20
27,Wardha,Sindi,Soyabean,Yellow,FAQ,3080,3680,3370,12-Jun-20
28,Wardha,Sindi,Soyabean,Yellow,FAQ,3275,3600,3350,10-Jun-20
29,Wardha,Sindi,Soyabean,Yellow,FAQ,3358,3540,3465,6-Jun-20
30,Wardha,Sindi,Soyabean,Yellow,FAQ,3185,3570,3350,1-Jun-20
31,Wardha,Sindi,Soyabean,Yellow,FAQ,3180,3505,3350,27-May-20
32,Wardha,Sindi,Soyabean,Yellow,FAQ,3280,3555,3455,26-May-20
33,Wardha,Sindi,Soyabean,Yellow,FAQ,3252,3700,3520,23-May-20
34,Wardha,Sindi,Soyabean,Yellow,FAQ,3230,3580,3350,22-May-20
35,Wardha,Sindi,Soyabean,Yellow,FAQ,3250,3685,3450,20-May-20
36,Wardha,Sindi,Soyabean,Yellow,FAQ,3150,3650,3520,19-May-20
37,Wardha,Sindi,Soyabean,Yellow,FAQ,3240,3648,3300,18-May-20
38,Wardha,Sindi,Soyabean,Yellow,FAQ,3350,3650,3530,16-May-20
39,Wardha,Sindi,Soyabean,Yellow,FAQ,3175,3725,3555,9-May-20
40,Wardha,Sindi,Soyabean,Yellow,FAQ,3150,3700,3465,6-May-20
41,Wardha,Sindi,Soyabean,Yellow,FAQ,3325,3780,3635,5-May-20
42,Wardha,Sindi,Soyabean,Yellow,FAQ,3280,3595,3450,4-May-20
43,Wardha,Sindi,Soyabean,Yellow,FAQ,3180,3480,3320,6-Mar-20
44,Wardha,Sindi,Soyabean,Yellow,FAQ,3250,3645,3330,2-Mar-20
45,Wardha,Sindi,Soyabean,Yellow,FAQ,3350,3650,3520,29-Feb-20
46,Wardha,Sindi,Soyabean,Yellow,FAQ,3250,3650,3460,28-Feb-20
47,Wardha,Sindi,Soyabean,Yellow,FAQ,3420,3645,3550,26-Feb-20
48,Wardha,Sindi,Soyabean,Yellow,FAQ,3520,3630,3555,24-Feb-20
49,Wardha,Sindi,Soyabean,Yellow,FAQ,3500,3620,3525,18-Feb-20
