"Min,Max,Modal Price from Maharashtra,Nandurbar[Soyabean],Taloda from 01-Jan-2010To24-Oct-2020 (Total-194) (Total-194)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nandurbar,Taloda,Soyabean,Yellow,FAQ,2600,2726,2700,16-Mar-20
2,Nandurbar,Taloda,Soyabean,Yellow,FAQ,3800,3975,3900,30-Jan-20
3,Nandurbar,Taloda,Soyabean,Yellow,FAQ,3700,3926,3850,27-Jan-20
4,Nandurbar,Taloda,Soyabean,Yellow,FAQ,4000,4252,4150,21-Jan-20
5,Nandurbar,Taloda,Soyabean,Yellow,FAQ,4000,4252,4100,20-Jan-20
6,Nandurbar,Taloda,Soyabean,Yellow,FAQ,4375,4425,4400,3-Jan-20
7,Nandurbar,Taloda,Soyabean,Yellow,FAQ,4200,4400,4300,2-Jan-20
8,Nandurbar,Taloda,Soyabean,Yellow,FAQ,4200,4400,4300,31-Dec-19
9,Nandurbar,Taloda,Soyabean,Yellow,FAQ,4100,4310,4200,30-Dec-19
10,Nandurbar,Taloda,Soyabean,Yellow,FAQ,4000,4175,4100,27-Dec-19
11,Nandurbar,Taloda,Soyabean,Yellow,FAQ,4161,4250,4200,24-Dec-19
12,Nandurbar,Taloda,Soyabean,Yellow,FAQ,4100,4370,4200,23-Dec-19
13,Nandurbar,Taloda,Soyabean,Yellow,FAQ,4000,4300,4200,20-Dec-19
14,Nandurbar,Taloda,Soyabean,Yellow,FAQ,4000,4231,4200,18-Dec-19
15,Nandurbar,Taloda,Soyabean,Yellow,FAQ,4000,4171,4130,17-Dec-19
16,Nandurbar,Taloda,Soyabean,Yellow,FAQ,3900,4150,4000,16-Dec-19
17,Nandurbar,Taloda,Soyabean,Yellow,FAQ,4000,4130,4100,14-Dec-19
18,Nandurbar,Taloda,Soyabean,Yellow,FAQ,3900,4100,4030,10-Dec-19
19,Nandurbar,Taloda,Soyabean,Yellow,FAQ,3900,4125,4000,9-Dec-19
20,Nandurbar,Taloda,Soyabean,Yellow,FAQ,3900,4026,4000,6-Dec-19
21,Nandurbar,Taloda,Soyabean,Yellow,FAQ,3700,3800,3750,5-Dec-19
22,Nandurbar,Taloda,Soyabean,Yellow,FAQ,3700,3882,3800,3-Dec-19
23,Nandurbar,Taloda,Soyabean,Yellow,FAQ,3700,3875,3800,2-Dec-19
24,Nandurbar,Taloda,Soyabean,Yellow,FAQ,3600,3881,3750,28-Nov-19
25,Nandurbar,Taloda,Soyabean,Yellow,FAQ,3752,3856,3835,27-Nov-19
26,Nandurbar,Taloda,Soyabean,Yellow,FAQ,3740,3841,3800,26-Nov-19
27,Nandurbar,Taloda,Soyabean,Yellow,FAQ,3700,3843,3800,25-Nov-19
28,Nandurbar,Taloda,Soyabean,Yellow,FAQ,3600,3716,3700,22-Nov-19
29,Nandurbar,Taloda,Soyabean,Yellow,FAQ,3600,3796,3700,21-Nov-19
30,Nandurbar,Taloda,Soyabean,Yellow,FAQ,3600,3825,3702,20-Nov-19
31,Nandurbar,Taloda,Soyabean,Yellow,FAQ,3380,3502,3401,19-Nov-19
32,Nandurbar,Taloda,Soyabean,Yellow,FAQ,3600,3795,3778,15-Nov-19
33,Nandurbar,Taloda,Soyabean,Yellow,FAQ,3503,3672,3626,14-Nov-19
34,Nandurbar,Taloda,Soyabean,Yellow,FAQ,3353,3775,3652,12-Nov-19
35,Nandurbar,Taloda,Soyabean,Yellow,FAQ,3367,3831,3761,11-Nov-19
