"Min,Max,Modal Price from Maharashtra,Latur[Soyabean],Udgir(Devanibud) from 01-Jan-2010To24-Oct-2020 (Total-655) (Total-655)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Latur,Udgir(Devanibud),Soyabean,Yellow,FAQ,3511,3708,3609,13-May-20
2,Latur,Udgir(Devanibud),Soyabean,Yellow,FAQ,3615,3715,3665,11-May-20
3,Latur,Udgir(Devanibud),Soyabean,Yellow,FAQ,3730,3745,3737,9-May-20
4,Latur,Udgir(Devanibud),Soyabean,Yellow,FAQ,3490,3700,3595,8-May-20
5,Latur,Udgir(Devanibud),Soyabean,Yellow,FAQ,3581,3700,3640,6-May-20
6,Latur,Udgir(Devanibud),Soyabean,Yellow,FAQ,3426,3426,3426,20-Mar-20
7,Latur,Udgir(Devanibud),Soyabean,Yellow,FAQ,3440,3440,3440,19-Mar-20
8,Latur,Udgir(Devanibud),Soyabean,Yellow,FAQ,3311,3450,3380,18-Mar-20
9,Latur,Udgir(Devanibud),Soyabean,Yellow,FAQ,3425,3460,3442,17-Mar-20
10,Latur,Udgir(Devanibud),Soyabean,Yellow,FAQ,3755,3755,3755,8-Mar-20
11,Latur,Udgir(Devanibud),Soyabean,Yellow,FAQ,3488,3775,3631,7-Mar-20
12,Latur,Udgir(Devanibud),Soyabean,Yellow,FAQ,3211,3750,3480,4-Mar-20
13,Latur,Udgir(Devanibud),Soyabean,Yellow,FAQ,3500,3701,3600,3-Mar-20
14,Latur,Udgir(Devanibud),Soyabean,Yellow,FAQ,3320,3690,3505,29-Feb-20
15,Latur,Udgir(Devanibud),Soyabean,Yellow,FAQ,3598,3711,3655,28-Feb-20
16,Latur,Udgir(Devanibud),Soyabean,Yellow,FAQ,3653,3745,3699,27-Feb-20
17,Latur,Udgir(Devanibud),Soyabean,Yellow,FAQ,3740,3790,3765,26-Feb-20
18,Latur,Udgir(Devanibud),Soyabean,Yellow,FAQ,3716,3811,3764,25-Feb-20
19,Latur,Udgir(Devanibud),Soyabean,Yellow,FAQ,3782,3782,3782,22-Feb-20
20,Latur,Udgir(Devanibud),Soyabean,Yellow,FAQ,3500,3857,3678,20-Feb-20
21,Latur,Udgir(Devanibud),Soyabean,Yellow,FAQ,3600,3846,3778,18-Feb-20
