"Min,Max,Modal Price from Maharashtra,Osmanabad[Soyabean],Umarga from 01-Jan-2010To24-Oct-2020 (Total-1088) (Total-1088)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2901,3526,3400,6-Oct-20
2,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2500,3520,3450,5-Oct-20
3,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3000,3540,3450,3-Oct-20
4,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3180,3586,3400,1-Oct-20
5,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2871,3500,3200,30-Sep-20
6,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3210,3565,3400,28-Sep-20
7,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3400,3650,3550,22-Sep-20
8,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3650,3700,3700,19-Sep-20
9,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3181,3701,3600,18-Sep-20
10,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3670,3700,3700,16-Sep-20
11,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3351,3700,3600,15-Sep-20
12,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3561,3700,3650,14-Sep-20
13,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3555,3620,3600,12-Sep-20
14,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3500,3500,3500,10-Sep-20
15,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3201,3546,3500,9-Sep-20
16,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3400,3540,3500,8-Sep-20
17,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3450,3571,3500,7-Sep-20
18,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3400,3585,3500,5-Sep-20
19,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2800,3600,3450,4-Sep-20
20,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3600,3600,3600,3-Sep-20
21,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3551,3720,3610,29-Aug-20
22,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3000,3680,3625,28-Aug-20
23,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3386,3626,3600,27-Aug-20
24,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3451,3525,3500,25-Aug-20
25,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3200,3526,3450,24-Aug-20
26,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3250,3501,3400,19-Aug-20
27,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3505,3505,3505,17-Aug-20
28,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3400,3400,3400,14-Aug-20
29,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3450,3450,3450,13-Aug-20
30,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3551,3551,3551,12-Aug-20
31,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3500,3500,3500,23-Jul-20
32,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3351,3561,3550,17-Jul-20
33,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3540,3540,3540,14-Jul-20
34,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3376,3500,3400,13-Jul-20
35,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3400,3550,3500,11-Jul-20
36,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3611,3611,3611,8-Jul-20
37,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3200,3621,3500,6-Jul-20
38,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3400,3400,3400,2-Jul-20
39,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3400,3575,3500,30-Jun-20
40,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3051,3600,3500,29-Jun-20
41,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3550,3655,3600,27-Jun-20
42,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3650,3650,3650,26-Jun-20
43,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3600,3671,3671,25-Jun-20
44,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3510,3551,3550,24-Jun-20
45,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3201,3650,3500,23-Jun-20
46,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3101,3600,3500,22-Jun-20
47,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3550,3550,3550,20-Jun-20
48,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2800,3600,3500,19-Jun-20
49,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3500,3500,3500,18-Jun-20
50,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3251,3490,3400,17-Jun-20
51,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3325,3550,3450,16-Jun-20
52,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3450,3450,3450,15-Jun-20
53,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3250,3536,3500,13-Jun-20
54,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3050,3640,3550,12-Jun-20
55,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3100,3550,3450,11-Jun-20
56,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3301,3550,3450,10-Jun-20
57,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3450,3560,3500,9-Jun-20
58,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3200,3575,3450,8-Jun-20
59,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3200,4000,3600,6-Jun-20
60,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3200,3600,3500,4-Jun-20
61,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2800,3551,3400,3-Jun-20
62,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2970,3600,3500,2-Jun-20
63,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3545,3545,3545,1-Jun-20
64,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3201,3500,3400,29-May-20
65,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3550,3550,3550,28-May-20
66,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3325,3500,3450,27-May-20
67,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3350,3500,3450,26-May-20
68,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3500,3500,3500,23-May-20
69,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3291,3550,3500,21-May-20
70,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3110,3571,3500,19-May-20
71,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3410,3550,3500,18-May-20
72,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3401,3501,3450,16-May-20
73,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3101,3591,3560,15-May-20
74,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3300,3571,3550,14-May-20
75,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3392,3601,3550,11-May-20
76,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3500,3525,3520,9-May-20
77,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3200,3654,3500,6-May-20
78,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3720,4251,3976,13-Dec-19
79,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3391,3910,3710,12-Dec-19
80,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3351,4100,3724,11-Dec-19
81,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3000,4000,3695,9-Dec-19
82,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3201,3971,3686,7-Dec-19
83,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3300,3800,3610,5-Dec-19
84,Osmanabad,Umarga,Soyabean,Yellow,FAQ,3301,3775,3584,4-Dec-19
85,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2000,3590,3343,2-Dec-19
86,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2800,3600,3386,29-Nov-19
87,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2701,3580,3280,28-Nov-19
88,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2531,3570,3285,19-Nov-19
89,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2700,3545,3249,18-Nov-19
90,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2600,3531,3267,16-Nov-19
91,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2550,3525,3257,15-Nov-19
92,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2371,3480,3187,14-Nov-19
93,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2301,3540,3485,13-Nov-19
94,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2800,3530,3521,9-Nov-19
95,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2600,3526,3460,7-Nov-19
96,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2550,3500,3223,6-Nov-19
97,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2600,3576,3269,5-Nov-19
98,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2701,3800,3404,4-Nov-19
99,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2761,3411,3250,28-Oct-19
100,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2850,3400,3153,18-Oct-19
101,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2300,3341,3009,17-Oct-19
102,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2500,3321,3047,16-Oct-19
103,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2000,3300,2904,15-Oct-19
104,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2650,3395,3043,14-Oct-19
105,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2900,3351,3158,12-Oct-19
106,Osmanabad,Umarga,Soyabean,Yellow,FAQ,2750,3431,3163,11-Oct-19
