"Min,Max,Modal Price from Maharashtra,Yavatmal[Soyabean],ZariZamini from 01-Jan-2010To24-Oct-2020 (Total-315) (Total-315)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3700,3700,3700,27-Jul-20
2,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3800,3800,3800,26-Feb-20
3,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,4100,4100,4100,18-Jan-20
4,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,4200,4200,4200,30-Dec-19
5,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3600,3600,3600,24-Dec-19
6,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3700,3700,3700,19-Dec-19
7,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3800,3800,3800,14-Dec-19
8,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3700,3700,3700,11-Dec-19
9,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3500,3600,3548,7-Dec-19
10,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3400,3400,3400,4-Dec-19
11,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3400,3600,3496,3-Dec-19
12,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3100,3300,3192,30-Nov-19
13,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3000,3500,3361,28-Nov-19
14,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,1700,3500,3386,27-Nov-19
15,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,2800,3500,3320,26-Nov-19
16,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3200,3300,3230,25-Nov-19
17,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3000,3400,3164,21-Nov-19
18,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,2050,3500,3039,20-Nov-19
19,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,2050,3300,3019,19-Nov-19
20,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,2600,3200,3092,18-Nov-19
21,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3000,3400,3208,13-Nov-19
22,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3000,3450,3263,12-Nov-19
23,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3000,3500,3286,11-Nov-19
24,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,2100,3400,3165,10-Nov-19
25,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,1700,3200,3035,7-Nov-19
26,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3250,3300,3272,4-Nov-19
27,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3200,3350,3283,3-Nov-19
28,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3200,3200,3200,2-Nov-19
29,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3300,3400,3304,1-Nov-19
30,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3100,3350,3296,23-Oct-19
31,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3100,3300,3281,22-Oct-19
32,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3600,3600,3600,21-May-19
33,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3600,3600,3600,22-Apr-19
34,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3500,3520,3520,13-Mar-19
35,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3540,3550,3548,1-Mar-19
36,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3560,3560,3560,25-Feb-19
37,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3550,3550,3550,16-Feb-19
38,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3530,3530,3530,9-Feb-19
39,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3600,3600,3600,7-Feb-19
40,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3550,3550,3550,4-Feb-19
41,Yavatmal,ZariZamini,Soyabean,Yellow,FAQ,3600,3600,3600,2-Feb-19
