"Min,Max,Modal Price from Maharashtra,Chandrapur[Tomato],Chandrapur(Ganjwad) from 01-Jan-2010To23-Oct-2020 (Total-1670) (Total-1670)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Chandrapur,Chandrapur(Ganjwad),Tomato,Other,FAQ,1600,2500,2000,14-Oct-20
2,Chandrapur,Chandrapur(Ganjwad),Tomato,Other,FAQ,1500,2600,2000,13-Oct-20
3,Chandrapur,Chandrapur(Ganjwad),Tomato,Other,FAQ,800,1600,1200,10-Oct-20
4,Chandrapur,Chandrapur(Ganjwad),Tomato,Other,FAQ,800,1600,1200,9-Oct-20
5,Chandrapur,Chandrapur(Ganjwad),Tomato,Other,FAQ,800,1600,1200,6-Oct-20
6,Chandrapur,Chandrapur(Ganjwad),Tomato,Other,FAQ,800,1600,1000,5-Oct-20
7,Chandrapur,Chandrapur(Ganjwad),Tomato,Other,FAQ,800,2000,1500,1-Oct-20
8,Chandrapur,Chandrapur(Ganjwad),Tomato,Other,FAQ,1200,2000,1600,30-Sep-20
9,Chandrapur,Chandrapur(Ganjwad),Tomato,Other,FAQ,1200,2400,1800,29-Sep-20
10,Chandrapur,Chandrapur(Ganjwad),Tomato,Other,FAQ,2000,2800,2400,24-Sep-20
11,Chandrapur,Chandrapur(Ganjwad),Tomato,Other,FAQ,1800,2400,2200,23-Sep-20
12,Chandrapur,Chandrapur(Ganjwad),Tomato,Other,FAQ,2000,2800,2400,22-Sep-20
13,Chandrapur,Chandrapur(Ganjwad),Tomato,Other,FAQ,1800,2500,2200,21-Sep-20
14,Chandrapur,Chandrapur(Ganjwad),Tomato,Other,FAQ,1600,2400,2000,19-Sep-20
15,Chandrapur,Chandrapur(Ganjwad),Tomato,Other,FAQ,1600,2400,2000,18-Sep-20
16,Chandrapur,Chandrapur(Ganjwad),Tomato,Other,FAQ,1600,2400,2000,17-Sep-20
