"Min,Max,Modal Price from Maharashtra,Nashik[Tomato],Ghoti from 01-Jan-2010To24-Oct-2020 (Total-1207) (Total-1207)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nashik,Ghoti,Tomato,Other,FAQ,1400,1800,1600,26-Mar-20
2,Nashik,Ghoti,Tomato,Other,FAQ,1000,1800,1400,24-Mar-20
3,Nashik,Ghoti,Tomato,Other,FAQ,1000,1600,1300,23-Mar-20
4,Nashik,Ghoti,Tomato,Other,FAQ,1000,1600,1300,20-Mar-20
5,Nashik,Ghoti,Tomato,Other,FAQ,1600,1800,1700,19-Mar-20
6,Nashik,Ghoti,Tomato,Other,FAQ,1400,1600,1500,17-Mar-20
7,Nashik,Ghoti,Tomato,Other,FAQ,1400,1600,1500,16-Mar-20
8,Nashik,Ghoti,Tomato,Other,FAQ,1400,1600,1500,14-Mar-20
9,Nashik,Ghoti,Tomato,Other,FAQ,1600,1800,1700,13-Mar-20
10,Nashik,Ghoti,Tomato,Other,FAQ,1200,1800,1500,12-Mar-20
11,Nashik,Ghoti,Tomato,Other,FAQ,1400,1800,1600,10-Mar-20
12,Nashik,Ghoti,Tomato,Other,FAQ,1400,1600,1500,9-Mar-20
13,Nashik,Ghoti,Tomato,Other,FAQ,1800,1900,1850,7-Mar-20
14,Nashik,Ghoti,Tomato,Other,FAQ,1000,1600,1300,6-Mar-20
15,Nashik,Ghoti,Tomato,Other,FAQ,1000,1400,1200,5-Mar-20
16,Nashik,Ghoti,Tomato,Other,FAQ,1000,1600,1300,4-Mar-20
17,Nashik,Ghoti,Tomato,Other,FAQ,1000,1600,1300,3-Mar-20
18,Nashik,Ghoti,Tomato,Other,FAQ,1600,2000,1800,28-Feb-20
19,Nashik,Ghoti,Tomato,Other,FAQ,1400,1600,1500,27-Feb-20
20,Nashik,Ghoti,Tomato,Other,FAQ,1400,1800,1600,26-Feb-20
21,Nashik,Ghoti,Tomato,Other,FAQ,1400,1800,1600,25-Feb-20
22,Nashik,Ghoti,Tomato,Other,FAQ,1800,2000,1900,24-Feb-20
23,Nashik,Ghoti,Tomato,Other,FAQ,1800,2000,1900,22-Feb-20
24,Nashik,Ghoti,Tomato,Other,FAQ,1800,2000,1900,20-Feb-20
25,Nashik,Ghoti,Tomato,Other,FAQ,1800,2000,1900,14-Feb-20
26,Nashik,Ghoti,Tomato,Other,FAQ,1800,2000,1900,11-Feb-20
27,Nashik,Ghoti,Tomato,Other,FAQ,1600,2000,1800,10-Feb-20
28,Nashik,Ghoti,Tomato,Other,FAQ,1800,2000,1900,8-Feb-20
29,Nashik,Ghoti,Tomato,Other,FAQ,1800,2000,1900,6-Feb-20
30,Nashik,Ghoti,Tomato,Other,FAQ,2000,2200,2100,5-Feb-20
31,Nashik,Ghoti,Tomato,Other,FAQ,1800,2400,2100,3-Feb-20
32,Nashik,Ghoti,Tomato,Other,FAQ,2000,3000,2500,1-Feb-20
33,Nashik,Ghoti,Tomato,Other,FAQ,2000,2200,2100,27-Jan-20
34,Nashik,Ghoti,Tomato,Other,FAQ,2000,2200,2100,24-Jan-20
35,Nashik,Ghoti,Tomato,Other,FAQ,2000,2400,2200,23-Jan-20
36,Nashik,Ghoti,Tomato,Other,FAQ,2000,2200,2100,22-Jan-20
37,Nashik,Ghoti,Tomato,Other,FAQ,2000,2600,2300,21-Jan-20
38,Nashik,Ghoti,Tomato,Other,FAQ,2000,2600,2300,20-Jan-20
39,Nashik,Ghoti,Tomato,Other,FAQ,1800,2400,2100,18-Jan-20
40,Nashik,Ghoti,Tomato,Other,FAQ,2000,2600,2300,17-Jan-20
41,Nashik,Ghoti,Tomato,Other,FAQ,2000,2600,2300,16-Jan-20
42,Nashik,Ghoti,Tomato,Other,FAQ,2000,3000,2500,15-Jan-20
43,Nashik,Ghoti,Tomato,Other,FAQ,2000,2600,2300,13-Jan-20
44,Nashik,Ghoti,Tomato,Other,FAQ,2000,2600,2300,11-Jan-20
45,Nashik,Ghoti,Tomato,Other,FAQ,2000,2400,2200,10-Jan-20
46,Nashik,Ghoti,Tomato,Other,FAQ,2200,2400,2300,9-Jan-20
47,Nashik,Ghoti,Tomato,Other,FAQ,2000,2000,2000,8-Jan-20
48,Nashik,Ghoti,Tomato,Other,FAQ,2000,2000,2000,7-Jan-20
49,Nashik,Ghoti,Tomato,Other,FAQ,1800,2000,1900,6-Jan-20
50,Nashik,Ghoti,Tomato,Other,FAQ,1000,1800,1400,4-Jan-20
51,Nashik,Ghoti,Tomato,Other,FAQ,1000,1600,1300,3-Jan-20
52,Nashik,Ghoti,Tomato,Other,FAQ,1000,1400,1200,2-Jan-20
53,Nashik,Ghoti,Tomato,Other,FAQ,1000,1800,1400,1-Jan-20
54,Nashik,Ghoti,Tomato,Other,FAQ,1800,2000,1900,31-Dec-19
55,Nashik,Ghoti,Tomato,Other,FAQ,1800,2000,1900,30-Dec-19
56,Nashik,Ghoti,Tomato,Other,FAQ,1800,2000,1900,28-Dec-19
