"Min,Max,Modal Price from Maharashtra,Satara[Tomato],Patan from 01-Jan-2010To24-Oct-2020 (Total-1762) (Total-1762)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Satara,Patan,Tomato,Other,FAQ,1800,3000,2400,14-Oct-20
2,Satara,Patan,Tomato,Other,FAQ,1800,2500,2150,13-Oct-20
3,Satara,Patan,Tomato,Other,FAQ,1800,2500,2150,12-Oct-20
4,Satara,Patan,Tomato,Other,FAQ,2200,2600,2400,10-Oct-20
5,Satara,Patan,Tomato,Other,FAQ,1500,2500,2000,9-Oct-20
6,Satara,Patan,Tomato,Other,FAQ,1500,2500,2000,7-Oct-20
7,Satara,Patan,Tomato,Other,FAQ,1800,2200,2000,6-Oct-20
8,Satara,Patan,Tomato,Other,FAQ,1500,2500,2000,5-Oct-20
9,Satara,Patan,Tomato,Other,FAQ,2000,3000,2500,2-Oct-20
10,Satara,Patan,Tomato,Other,FAQ,1500,2500,2000,30-Sep-20
11,Satara,Patan,Tomato,Other,FAQ,1850,2150,2000,29-Sep-20
12,Satara,Patan,Tomato,Other,FAQ,2000,2500,2250,28-Sep-20
13,Satara,Patan,Tomato,Other,FAQ,2250,2450,2350,26-Sep-20
14,Satara,Patan,Tomato,Other,FAQ,2250,2450,2350,25-Sep-20
15,Satara,Patan,Tomato,Other,FAQ,3000,3500,3250,23-Sep-20
16,Satara,Patan,Tomato,Other,FAQ,3000,3500,3250,22-Sep-20
17,Satara,Patan,Tomato,Other,FAQ,2500,3500,3000,21-Sep-20
18,Satara,Patan,Tomato,Other,FAQ,2600,3600,3100,18-Sep-20
19,Satara,Patan,Tomato,Other,FAQ,1800,3000,2400,16-Sep-20
20,Satara,Patan,Tomato,Other,FAQ,2000,3000,2500,14-Sep-20
21,Satara,Patan,Tomato,Other,FAQ,2800,3600,3200,12-Sep-20
22,Satara,Patan,Tomato,Other,FAQ,1800,2200,2000,11-Sep-20
23,Satara,Patan,Tomato,Other,FAQ,2200,3000,2600,9-Sep-20
24,Satara,Patan,Tomato,Other,FAQ,2500,2700,2600,8-Sep-20
25,Satara,Patan,Tomato,Other,FAQ,2500,2700,2600,7-Sep-20
26,Satara,Patan,Tomato,Other,FAQ,1600,1800,1700,5-Sep-20
27,Satara,Patan,Tomato,Other,FAQ,2000,2500,2250,4-Sep-20
28,Satara,Patan,Tomato,Other,FAQ,1800,2000,1900,2-Sep-20
29,Satara,Patan,Tomato,Other,FAQ,15,20,17,31-Aug-20
30,Satara,Patan,Tomato,Other,FAQ,1500,1800,1650,29-Aug-20
31,Satara,Patan,Tomato,Other,FAQ,1400,1600,1500,28-Aug-20
32,Satara,Patan,Tomato,Other,FAQ,1450,1650,1550,25-Aug-20
33,Satara,Patan,Tomato,Other,FAQ,1700,1900,1800,24-Aug-20
34,Satara,Patan,Tomato,Other,FAQ,1850,2050,1950,22-Aug-20
35,Satara,Patan,Tomato,Other,FAQ,1200,1400,1300,18-Aug-20
36,Satara,Patan,Tomato,Other,FAQ,1000,1200,1100,15-Aug-20
37,Satara,Patan,Tomato,Other,FAQ,900,1100,1000,11-Aug-20
38,Satara,Patan,Tomato,Other,FAQ,1600,1800,1700,10-Aug-20
39,Satara,Patan,Tomato,Other,FAQ,1250,1450,1350,8-Aug-20
40,Satara,Patan,Tomato,Other,FAQ,1250,1450,1350,7-Aug-20
41,Satara,Patan,Tomato,Other,FAQ,1500,2000,1750,5-Aug-20
42,Satara,Patan,Tomato,Other,FAQ,2000,2500,2250,4-Aug-20
43,Satara,Patan,Tomato,Other,FAQ,1250,1450,1350,3-Aug-20
44,Satara,Patan,Tomato,Other,FAQ,1250,1450,1350,1-Aug-20
45,Satara,Patan,Tomato,Other,FAQ,1500,2500,2000,31-Jul-20
46,Satara,Patan,Tomato,Other,FAQ,1500,2500,2000,29-Jul-20
47,Satara,Patan,Tomato,Other,FAQ,1000,2000,1500,28-Jul-20
48,Satara,Patan,Tomato,Other,FAQ,1500,2500,2000,27-Jul-20
49,Satara,Patan,Tomato,Other,FAQ,1500,2500,2000,25-Jul-20
50,Satara,Patan,Tomato,Other,FAQ,1500,2500,2000,24-Jul-20
51,Satara,Patan,Tomato,Other,FAQ,1500,2500,2000,22-Jul-20
52,Satara,Patan,Tomato,Other,FAQ,2000,3000,2500,15-Jul-20
53,Satara,Patan,Tomato,Other,FAQ,2000,2500,2250,14-Jul-20
54,Satara,Patan,Tomato,Other,FAQ,2500,3500,3000,13-Jul-20
55,Satara,Patan,Tomato,Other,FAQ,800,1600,1200,10-Jul-20
56,Satara,Patan,Tomato,Other,FAQ,1000,2000,1500,8-Jul-20
57,Satara,Patan,Tomato,Other,FAQ,1200,1600,1400,7-Jul-20
58,Satara,Patan,Tomato,Other,FAQ,1400,2000,1700,6-Jul-20
59,Satara,Patan,Tomato,Other,FAQ,1200,1800,1500,3-Jul-20
60,Satara,Patan,Tomato,Other,FAQ,1500,2000,1750,1-Jul-20
61,Satara,Patan,Tomato,Other,FAQ,1000,1800,1400,30-Jun-20
62,Satara,Patan,Tomato,Other,FAQ,1000,1800,1400,29-Jun-20
63,Satara,Patan,Tomato,Other,FAQ,1100,1500,1300,27-Jun-20
64,Satara,Patan,Tomato,Other,FAQ,1000,1600,1300,26-Jun-20
65,Satara,Patan,Tomato,Other,FAQ,1200,1600,1400,24-Jun-20
66,Satara,Patan,Tomato,Other,FAQ,1600,2000,1800,23-Jun-20
67,Satara,Patan,Tomato,Other,FAQ,1800,2200,2000,22-Jun-20
68,Satara,Patan,Tomato,Other,FAQ,1400,1800,1600,20-Jun-20
69,Satara,Patan,Tomato,Other,FAQ,1400,2000,1700,19-Jun-20
70,Satara,Patan,Tomato,Other,FAQ,1000,1800,1400,17-Jun-20
71,Satara,Patan,Tomato,Other,FAQ,1500,2000,1750,16-Jun-20
72,Satara,Patan,Tomato,Other,FAQ,1500,2000,1750,15-Jun-20
73,Satara,Patan,Tomato,Other,FAQ,800,1200,1000,12-Jun-20
74,Satara,Patan,Tomato,Other,FAQ,800,1200,1000,10-Jun-20
75,Satara,Patan,Tomato,Other,FAQ,600,1000,800,9-Jun-20
76,Satara,Patan,Tomato,Other,FAQ,600,1000,800,8-Jun-20
77,Satara,Patan,Tomato,Other,FAQ,600,1000,800,5-Jun-20
78,Satara,Patan,Tomato,Other,FAQ,700,900,800,3-Jun-20
79,Satara,Patan,Tomato,Other,FAQ,600,800,700,2-Jun-20
80,Satara,Patan,Tomato,Other,FAQ,600,1200,900,1-Jun-20
81,Satara,Patan,Tomato,Other,FAQ,800,1200,1000,29-May-20
82,Satara,Patan,Tomato,Other,FAQ,600,800,700,27-May-20
83,Satara,Patan,Tomato,Other,FAQ,600,700,650,26-May-20
84,Satara,Patan,Tomato,Other,FAQ,650,750,700,25-May-20
85,Satara,Patan,Tomato,Other,FAQ,400,600,500,20-May-20
86,Satara,Patan,Tomato,Other,FAQ,300,500,400,18-May-20
87,Satara,Patan,Tomato,Other,FAQ,400,500,450,15-May-20
88,Satara,Patan,Tomato,Other,FAQ,500,600,550,11-May-20
89,Satara,Patan,Tomato,Other,FAQ,500,700,600,17-Apr-20
90,Satara,Patan,Tomato,Other,FAQ,800,1000,900,6-Apr-20
91,Satara,Patan,Tomato,Other,FAQ,80,100,90,28-Mar-20
92,Satara,Patan,Tomato,Other,FAQ,800,1000,900,27-Mar-20
