"Min,Max,Modal Price from Maharashtra,Pune[Tomato],Pune from 01-Jan-2010To24-Oct-2020 (Total-2737) (Total-2737)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Pune,Pune,Tomato,Local,FAQ,1000,3000,2000,15-Oct-20
2,Pune,Pune,Tomato,Local,FAQ,1000,2000,1500,14-Oct-20
3,Pune,Pune,Tomato,Local,FAQ,1000,2200,1600,13-Oct-20
4,Pune,Pune,Tomato,Local,FAQ,1000,2000,1500,12-Oct-20
5,Pune,Pune,Tomato,Local,FAQ,1000,1500,1300,11-Oct-20
6,Pune,Pune,Tomato,Local,FAQ,1000,2000,1500,9-Oct-20
7,Pune,Pune,Tomato,Local,FAQ,1000,2000,1500,8-Oct-20
8,Pune,Pune,Tomato,Local,FAQ,1000,2000,1500,7-Oct-20
9,Pune,Pune,Tomato,Local,FAQ,1000,2000,1500,6-Oct-20
10,Pune,Pune,Tomato,Local,FAQ,800,2000,1500,5-Oct-20
11,Pune,Pune,Tomato,Local,FAQ,1200,2000,1600,4-Oct-20
12,Pune,Pune,Tomato,Local,FAQ,1000,2000,1500,2-Oct-20
13,Pune,Pune,Tomato,Local,FAQ,1000,2000,1500,1-Oct-20
14,Pune,Pune,Tomato,Local,FAQ,1000,2000,1500,30-Sep-20
15,Pune,Pune,Tomato,Local,FAQ,1000,2000,1500,29-Sep-20
16,Pune,Pune,Tomato,Local,FAQ,1000,2200,1600,28-Sep-20
17,Pune,Pune,Tomato,Local,FAQ,1200,2500,1900,27-Sep-20
18,Pune,Pune,Tomato,Local,FAQ,1000,2500,1700,25-Sep-20
19,Pune,Pune,Tomato,Local,FAQ,1600,3000,2300,24-Sep-20
20,Pune,Pune,Tomato,Local,FAQ,1600,3500,2500,23-Sep-20
21,Pune,Pune,Tomato,Local,FAQ,1400,3000,2200,22-Sep-20
22,Pune,Pune,Tomato,Local,FAQ,2000,3500,2750,21-Sep-20
23,Pune,Pune,Tomato,Local,FAQ,2000,3200,2600,20-Sep-20
24,Pune,Pune,Tomato,Local,FAQ,1200,2500,1850,18-Sep-20
25,Pune,Pune,Tomato,Local,FAQ,1400,2500,1950,17-Sep-20
26,Pune,Pune,Tomato,Local,FAQ,1200,3200,2200,16-Sep-20
27,Pune,Pune,Tomato,Local,FAQ,2000,3500,2750,15-Sep-20
28,Pune,Pune,Tomato,Local,FAQ,2000,3500,2700,14-Sep-20
29,Pune,Pune,Tomato,Local,FAQ,2000,3500,2750,13-Sep-20
30,Pune,Pune,Tomato,Local,FAQ,2000,4000,3000,11-Sep-20
31,Pune,Pune,Tomato,Local,FAQ,1600,3000,2300,10-Sep-20
32,Pune,Pune,Tomato,Local,FAQ,1800,3500,2600,9-Sep-20
33,Pune,Pune,Tomato,Local,FAQ,2000,3500,2700,8-Sep-20
34,Pune,Pune,Tomato,Local,FAQ,1600,3500,2500,7-Sep-20
35,Pune,Pune,Tomato,Local,FAQ,1300,3000,2200,6-Sep-20
36,Pune,Pune,Tomato,Local,FAQ,1000,3000,2000,4-Sep-20
37,Pune,Pune,Tomato,Local,FAQ,2000,3500,2700,3-Sep-20
38,Pune,Pune,Tomato,Local,FAQ,1600,3500,2500,1-Sep-20
39,Pune,Pune,Tomato,Local,FAQ,1000,2200,1600,31-Aug-20
40,Pune,Pune,Tomato,Local,FAQ,1000,1800,1400,30-Aug-20
41,Pune,Pune,Tomato,Local,FAQ,700,2000,1400,28-Aug-20
42,Pune,Pune,Tomato,Local,FAQ,800,1600,1200,27-Aug-20
43,Pune,Pune,Tomato,Local,FAQ,600,1600,1000,25-Aug-20
44,Pune,Pune,Tomato,Local,FAQ,700,1200,1000,24-Aug-20
45,Pune,Pune,Tomato,Local,FAQ,800,1500,1200,23-Aug-20
46,Pune,Pune,Tomato,Local,FAQ,1000,1800,1400,21-Aug-20
47,Pune,Pune,Tomato,Local,FAQ,1000,2000,1500,20-Aug-20
48,Pune,Pune,Tomato,Local,FAQ,1000,2500,1700,19-Aug-20
49,Pune,Pune,Tomato,Local,FAQ,800,3000,1900,18-Aug-20
50,Pune,Pune,Tomato,Local,FAQ,1000,2500,1750,17-Aug-20
51,Pune,Pune,Tomato,Local,FAQ,1000,3000,2000,16-Aug-20
52,Pune,Pune,Tomato,Local,FAQ,500,1400,1000,14-Aug-20
53,Pune,Pune,Tomato,Local,FAQ,500,1500,1000,13-Aug-20
54,Pune,Pune,Tomato,Local,FAQ,600,1800,1200,12-Aug-20
55,Pune,Pune,Tomato,Local,FAQ,500,1500,1000,11-Aug-20
56,Pune,Pune,Tomato,Local,FAQ,1000,1600,1300,10-Aug-20
57,Pune,Pune,Tomato,Local,FAQ,500,1400,1000,9-Aug-20
58,Pune,Pune,Tomato,Local,FAQ,500,1200,800,7-Aug-20
59,Pune,Pune,Tomato,Local,FAQ,500,1200,1000,6-Aug-20
60,Pune,Pune,Tomato,Local,FAQ,500,1500,1000,5-Aug-20
61,Pune,Pune,Tomato,Local,FAQ,600,1200,900,4-Aug-20
62,Pune,Pune,Tomato,Local,FAQ,500,1200,850,3-Aug-20
63,Pune,Pune,Tomato,Local,FAQ,500,1200,700,2-Aug-20
64,Pune,Pune,Tomato,Local,FAQ,700,1200,1000,31-Jul-20
65,Pune,Pune,Tomato,Local,FAQ,500,1600,1000,30-Jul-20
66,Pune,Pune,Tomato,Local,FAQ,1000,1500,1250,29-Jul-20
67,Pune,Pune,Tomato,Local,FAQ,600,1500,1000,28-Jul-20
68,Pune,Pune,Tomato,Local,FAQ,600,2000,1300,27-Jul-20
69,Pune,Pune,Tomato,Local,FAQ,1000,2500,1750,26-Jul-20
70,Pune,Pune,Tomato,Local,FAQ,500,2000,1250,24-Jul-20
71,Pune,Pune,Tomato,Local,FAQ,1000,2500,1750,23-Jul-20
72,Pune,Pune,Tomato,Local,FAQ,500,2200,1350,22-Jul-20
73,Pune,Pune,Tomato,Local,FAQ,800,3000,1900,21-Jul-20
74,Pune,Pune,Tomato,Local,FAQ,1000,4000,3000,13-Jul-20
75,Pune,Pune,Tomato,Local,FAQ,2000,4000,3000,12-Jul-20
76,Pune,Pune,Tomato,Local,FAQ,1500,3000,2250,10-Jul-20
77,Pune,Pune,Tomato,Local,FAQ,500,1600,1050,9-Jul-20
78,Pune,Pune,Tomato,Local,FAQ,500,1500,1000,8-Jul-20
79,Pune,Pune,Tomato,Local,FAQ,400,1000,700,7-Jul-20
