"Min,Max,Modal Price from Maharashtra,Satara[Tomato],Vai from 01-Jan-2010To24-Oct-2020 (Total-2494) (Total-2494)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Satara,Vai,Tomato,Local,FAQ,2000,3000,2500,15-Oct-20
2,Satara,Vai,Tomato,Local,FAQ,2000,3500,2750,14-Oct-20
3,Satara,Vai,Tomato,Local,FAQ,2000,3500,2750,13-Oct-20
4,Satara,Vai,Tomato,Local,FAQ,2000,3000,2500,12-Oct-20
5,Satara,Vai,Tomato,Local,FAQ,1000,2000,1500,11-Oct-20
6,Satara,Vai,Tomato,Local,FAQ,1000,2500,1750,10-Oct-20
7,Satara,Vai,Tomato,Local,FAQ,1500,2500,2000,9-Oct-20
8,Satara,Vai,Tomato,Local,FAQ,1500,2500,2000,8-Oct-20
9,Satara,Vai,Tomato,Local,FAQ,1500,2500,2000,7-Oct-20
10,Satara,Vai,Tomato,Local,FAQ,1500,2500,2000,6-Oct-20
11,Satara,Vai,Tomato,Local,FAQ,1500,2500,2000,5-Oct-20
12,Satara,Vai,Tomato,Local,FAQ,1000,2500,1750,3-Oct-20
13,Satara,Vai,Tomato,Local,FAQ,1000,2500,1750,2-Oct-20
14,Satara,Vai,Tomato,Local,FAQ,1000,2500,1750,1-Oct-20
15,Satara,Vai,Tomato,Local,FAQ,1000,2500,1750,30-Sep-20
16,Satara,Vai,Tomato,Local,FAQ,1000,2500,1750,28-Sep-20
17,Satara,Vai,Tomato,Local,FAQ,1000,2000,1500,27-Sep-20
18,Satara,Vai,Tomato,Local,FAQ,1500,2500,2000,26-Sep-20
19,Satara,Vai,Tomato,Local,FAQ,2000,4000,3000,25-Sep-20
20,Satara,Vai,Tomato,Local,FAQ,2000,3500,2750,24-Sep-20
21,Satara,Vai,Tomato,Local,FAQ,2000,4000,3000,23-Sep-20
22,Satara,Vai,Tomato,Local,FAQ,2000,4000,3000,22-Sep-20
23,Satara,Vai,Tomato,Local,FAQ,1500,3500,2500,21-Sep-20
24,Satara,Vai,Tomato,Local,FAQ,2000,4000,3000,19-Sep-20
25,Satara,Vai,Tomato,Local,FAQ,2000,4000,3000,18-Sep-20
26,Satara,Vai,Tomato,Local,FAQ,2000,3500,2750,17-Sep-20
27,Satara,Vai,Tomato,Local,FAQ,2500,4500,3500,16-Sep-20
28,Satara,Vai,Tomato,Local,FAQ,2000,3500,2750,15-Sep-20
29,Satara,Vai,Tomato,Local,FAQ,3000,4500,3750,10-Sep-20
30,Satara,Vai,Tomato,Local,FAQ,3000,4000,3500,9-Sep-20
31,Satara,Vai,Tomato,Local,FAQ,3000,4000,3500,8-Sep-20
32,Satara,Vai,Tomato,Local,FAQ,3000,4500,3750,7-Sep-20
33,Satara,Vai,Tomato,Local,FAQ,2500,4000,3350,6-Sep-20
34,Satara,Vai,Tomato,Local,FAQ,2500,4000,3350,5-Sep-20
35,Satara,Vai,Tomato,Local,FAQ,2500,4000,3350,4-Sep-20
36,Satara,Vai,Tomato,Local,FAQ,2500,4000,3250,3-Sep-20
37,Satara,Vai,Tomato,Local,FAQ,2500,4500,3500,2-Sep-20
38,Satara,Vai,Tomato,Local,FAQ,2000,3500,2700,1-Sep-20
39,Satara,Vai,Tomato,Local,FAQ,2000,3500,2750,31-Aug-20
40,Satara,Vai,Tomato,Local,FAQ,2000,3500,2750,30-Aug-20
41,Satara,Vai,Tomato,Local,FAQ,2000,4000,3000,29-Aug-20
42,Satara,Vai,Tomato,Local,FAQ,1000,2500,1650,28-Aug-20
43,Satara,Vai,Tomato,Local,FAQ,1000,2200,1600,27-Aug-20
44,Satara,Vai,Tomato,Local,FAQ,1000,2500,1800,25-Aug-20
45,Satara,Vai,Tomato,Local,FAQ,1000,2200,1600,24-Aug-20
46,Satara,Vai,Tomato,Local,FAQ,1200,2500,1850,23-Aug-20
47,Satara,Vai,Tomato,Local,FAQ,1000,2000,1500,22-Aug-20
48,Satara,Vai,Tomato,Local,FAQ,1500,3000,2250,20-Aug-20
49,Satara,Vai,Tomato,Local,FAQ,2000,3500,2750,19-Aug-20
50,Satara,Vai,Tomato,Local,FAQ,2000,3300,2650,18-Aug-20
51,Satara,Vai,Tomato,Local,FAQ,2000,2700,2350,17-Aug-20
52,Satara,Vai,Tomato,Local,FAQ,2000,3000,2500,16-Aug-20
53,Satara,Vai,Tomato,Local,FAQ,1000,2000,1500,15-Aug-20
54,Satara,Vai,Tomato,Local,FAQ,1000,1700,1350,14-Aug-20
55,Satara,Vai,Tomato,Local,FAQ,1000,2300,1650,13-Aug-20
56,Satara,Vai,Tomato,Local,FAQ,900,1700,1350,12-Aug-20
57,Satara,Vai,Tomato,Local,FAQ,1500,2500,2000,11-Aug-20
58,Satara,Vai,Tomato,Local,FAQ,1500,2200,1850,10-Aug-20
59,Satara,Vai,Tomato,Local,FAQ,1500,2500,2000,9-Aug-20
60,Satara,Vai,Tomato,Local,FAQ,1500,2500,2000,8-Aug-20
61,Satara,Vai,Tomato,Local,FAQ,800,1800,1300,7-Aug-20
62,Satara,Vai,Tomato,Local,FAQ,500,1400,950,6-Aug-20
63,Satara,Vai,Tomato,Local,FAQ,500,1300,900,5-Aug-20
64,Satara,Vai,Tomato,Local,FAQ,700,1700,1200,4-Aug-20
65,Satara,Vai,Tomato,Local,FAQ,700,1500,1100,3-Aug-20
66,Satara,Vai,Tomato,Local,FAQ,700,1500,1100,2-Aug-20
67,Satara,Vai,Tomato,Local,FAQ,700,1500,1100,1-Aug-20
68,Satara,Vai,Tomato,Local,FAQ,1000,1500,1250,31-Jul-20
69,Satara,Vai,Tomato,Local,FAQ,1000,2000,1500,30-Jul-20
70,Satara,Vai,Tomato,Local,FAQ,1000,2300,1650,29-Jul-20
71,Satara,Vai,Tomato,Local,FAQ,1000,2500,1250,28-Jul-20
72,Satara,Vai,Tomato,Local,FAQ,1000,2300,1650,27-Jul-20
73,Satara,Vai,Tomato,Local,FAQ,1000,2200,1600,26-Jul-20
74,Satara,Vai,Tomato,Local,FAQ,1000,2000,1500,25-Jul-20
75,Satara,Vai,Tomato,Local,FAQ,1000,2200,1600,24-Jul-20
76,Satara,Vai,Tomato,Local,FAQ,2000,3000,2500,23-Jul-20
77,Satara,Vai,Tomato,Local,FAQ,1000,1700,1350,16-Jul-20
78,Satara,Vai,Tomato,Local,FAQ,1000,3000,2000,15-Jul-20
79,Satara,Vai,Tomato,Local,FAQ,1000,2500,1750,14-Jul-20
80,Satara,Vai,Tomato,Local,FAQ,1500,2700,2100,13-Jul-20
81,Satara,Vai,Tomato,Local,FAQ,2500,3500,3000,12-Jul-20
82,Satara,Vai,Tomato,Local,FAQ,2000,3000,2500,11-Jul-20
83,Satara,Vai,Tomato,Local,FAQ,1500,2300,1900,10-Jul-20
84,Satara,Vai,Tomato,Local,FAQ,800,1300,1050,9-Jul-20
85,Satara,Vai,Tomato,Local,FAQ,800,1500,1150,8-Jul-20
86,Satara,Vai,Tomato,Local,FAQ,700,1500,1100,7-Jul-20
87,Satara,Vai,Tomato,Local,FAQ,1000,2200,1600,2-Jul-20
88,Satara,Vai,Tomato,Local,FAQ,1000,2300,1650,1-Jul-20
89,Satara,Vai,Tomato,Local,FAQ,2000,3000,2500,30-Jun-20
90,Satara,Vai,Tomato,Local,FAQ,1500,2500,2000,29-Jun-20
91,Satara,Vai,Tomato,Local,FAQ,1500,2500,2000,28-Jun-20
92,Satara,Vai,Tomato,Local,FAQ,1500,2200,1850,26-Jun-20
93,Satara,Vai,Tomato,Local,FAQ,1000,1700,1350,25-Jun-20
94,Satara,Vai,Tomato,Local,FAQ,1000,1500,1250,24-Jun-20
95,Satara,Vai,Tomato,Local,FAQ,1000,1500,1250,23-Jun-20
96,Satara,Vai,Tomato,Local,FAQ,800,1500,1150,22-Jun-20
97,Satara,Vai,Tomato,Local,FAQ,800,1300,1050,21-Jun-20
98,Satara,Vai,Tomato,Local,FAQ,500,1500,1000,19-Jun-20
99,Satara,Vai,Tomato,Local,FAQ,1000,2000,1500,18-Jun-20
100,Satara,Vai,Tomato,Local,FAQ,1200,2000,1600,17-Jun-20
101,Satara,Vai,Tomato,Local,FAQ,1500,2200,1850,16-Jun-20
102,Satara,Vai,Tomato,Local,FAQ,1000,1800,1400,15-Jun-20
103,Satara,Vai,Tomato,Local,FAQ,1200,2000,1600,14-Jun-20
104,Satara,Vai,Tomato,Local,FAQ,1000,2000,1500,12-Jun-20
105,Satara,Vai,Tomato,Local,FAQ,1000,1500,1250,11-Jun-20
106,Satara,Vai,Tomato,Local,FAQ,800,1500,1100,10-Jun-20
107,Satara,Vai,Tomato,Local,FAQ,800,1300,1050,9-Jun-20
108,Satara,Vai,Tomato,Local,FAQ,1000,1600,1300,8-Jun-20
109,Satara,Vai,Tomato,Local,FAQ,800,1300,1050,7-Jun-20
110,Satara,Vai,Tomato,Local,FAQ,800,1200,1000,5-Jun-20
111,Satara,Vai,Tomato,Local,FAQ,1200,1700,1450,4-Jun-20
112,Satara,Vai,Tomato,Local,FAQ,500,800,650,3-Jun-20
113,Satara,Vai,Tomato,Local,FAQ,1000,1200,1100,2-Jun-20
114,Satara,Vai,Tomato,Local,FAQ,1000,1500,1250,1-Jun-20
115,Satara,Vai,Tomato,Local,FAQ,500,800,650,27-May-20
116,Satara,Vai,Tomato,Local,FAQ,300,500,400,26-May-20
117,Satara,Vai,Tomato,Local,FAQ,400,600,500,25-May-20
118,Satara,Vai,Tomato,Local,FAQ,300,500,400,24-May-20
119,Satara,Vai,Tomato,Local,FAQ,300,600,450,22-May-20
120,Satara,Vai,Tomato,Local,FAQ,300,500,400,21-May-20
121,Satara,Vai,Tomato,Local,FAQ,300,500,400,20-May-20
122,Satara,Vai,Tomato,Local,FAQ,300,700,500,19-May-20
123,Satara,Vai,Tomato,Local,FAQ,200,500,350,18-May-20
124,Satara,Vai,Tomato,Local,FAQ,300,500,400,17-May-20
125,Satara,Vai,Tomato,Local,FAQ,200,500,350,15-May-20
126,Satara,Vai,Tomato,Local,FAQ,300,500,400,14-May-20
127,Satara,Vai,Tomato,Local,FAQ,300,700,500,13-May-20
128,Satara,Vai,Tomato,Local,FAQ,300,700,500,12-May-20
129,Satara,Vai,Tomato,Local,FAQ,200,500,350,11-May-20
130,Satara,Vai,Tomato,Local,FAQ,300,700,500,10-May-20
131,Satara,Vai,Tomato,Local,FAQ,300,600,450,8-May-20
132,Satara,Vai,Tomato,Local,FAQ,300,600,450,7-May-20
133,Satara,Vai,Tomato,Local,FAQ,300,650,500,6-May-20
134,Satara,Vai,Tomato,Local,FAQ,300,600,450,5-May-20
135,Satara,Vai,Tomato,Local,FAQ,300,600,450,4-May-20
136,Satara,Vai,Tomato,Local,FAQ,300,600,450,3-May-20
137,Satara,Vai,Tomato,Local,FAQ,300,800,650,1-May-20
138,Satara,Vai,Tomato,Local,FAQ,300,500,400,30-Apr-20
139,Satara,Vai,Tomato,Local,FAQ,300,600,450,29-Apr-20
140,Satara,Vai,Tomato,Local,FAQ,300,600,450,28-Apr-20
141,Satara,Vai,Tomato,Local,FAQ,300,800,550,27-Apr-20
142,Satara,Vai,Tomato,Local,FAQ,300,700,500,26-Apr-20
143,Satara,Vai,Tomato,Local,FAQ,300,700,500,24-Apr-20
144,Satara,Vai,Tomato,Local,FAQ,300,700,500,21-Apr-20
145,Satara,Vai,Tomato,Local,FAQ,300,800,550,19-Apr-20
146,Satara,Vai,Tomato,Local,FAQ,300,800,500,17-Apr-20
147,Satara,Vai,Tomato,Local,FAQ,500,1300,900,16-Apr-20
148,Satara,Vai,Tomato,Local,FAQ,500,1000,750,7-Apr-20
149,Satara,Vai,Tomato,Local,FAQ,500,1100,800,6-Apr-20
150,Satara,Vai,Tomato,Local,FAQ,500,1000,750,5-Apr-20
151,Satara,Vai,Tomato,Local,FAQ,300,800,550,4-Apr-20
152,Satara,Vai,Tomato,Local,FAQ,500,1000,750,3-Apr-20
153,Satara,Vai,Tomato,Local,FAQ,500,1000,750,2-Apr-20
154,Satara,Vai,Tomato,Local,FAQ,800,1600,1200,1-Apr-20
155,Satara,Vai,Tomato,Local,FAQ,300,800,550,31-Mar-20
156,Satara,Vai,Tomato,Local,FAQ,500,1000,750,30-Mar-20
157,Satara,Vai,Tomato,Local,FAQ,500,1100,800,29-Mar-20
158,Satara,Vai,Tomato,Local,FAQ,500,1200,850,28-Mar-20
159,Satara,Vai,Tomato,Local,FAQ,1000,1700,1350,27-Mar-20
160,Satara,Vai,Tomato,Local,FAQ,1000,1500,1250,26-Mar-20
161,Satara,Vai,Tomato,Local,FAQ,400,1000,700,25-Mar-20
162,Satara,Vai,Tomato,Local,FAQ,500,1200,850,24-Mar-20
163,Satara,Vai,Tomato,Local,FAQ,500,1000,750,23-Mar-20
164,Satara,Vai,Tomato,Local,FAQ,400,800,600,21-Mar-20
165,Satara,Vai,Tomato,Local,FAQ,400,1000,700,20-Mar-20
166,Satara,Vai,Tomato,Local,FAQ,400,1000,700,19-Mar-20
167,Satara,Vai,Tomato,Local,FAQ,500,1200,850,18-Mar-20
168,Satara,Vai,Tomato,Local,FAQ,300,750,500,17-Mar-20
169,Satara,Vai,Tomato,Local,FAQ,400,800,600,16-Mar-20
170,Satara,Vai,Tomato,Local,FAQ,400,700,550,15-Mar-20
171,Satara,Vai,Tomato,Local,FAQ,400,900,450,14-Mar-20
172,Satara,Vai,Tomato,Local,FAQ,300,700,500,13-Mar-20
173,Satara,Vai,Tomato,Local,FAQ,300,800,550,12-Mar-20
174,Satara,Vai,Tomato,Local,FAQ,300,900,650,11-Mar-20
175,Satara,Vai,Tomato,Local,FAQ,700,1200,950,10-Mar-20
176,Satara,Vai,Tomato,Local,FAQ,700,1500,1050,9-Mar-20
177,Satara,Vai,Tomato,Local,FAQ,400,900,650,8-Mar-20
178,Satara,Vai,Tomato,Local,FAQ,300,800,550,7-Mar-20
179,Satara,Vai,Tomato,Local,FAQ,300,700,500,6-Mar-20
180,Satara,Vai,Tomato,Local,FAQ,300,800,550,5-Mar-20
181,Satara,Vai,Tomato,Local,FAQ,500,1000,750,3-Mar-20
182,Satara,Vai,Tomato,Local,FAQ,300,700,500,2-Mar-20
183,Satara,Vai,Tomato,Local,FAQ,500,1000,750,1-Mar-20
184,Satara,Vai,Tomato,Local,FAQ,300,600,450,29-Feb-20
185,Satara,Vai,Tomato,Local,FAQ,300,600,450,27-Feb-20
186,Satara,Vai,Tomato,Local,FAQ,300,1000,700,26-Feb-20
187,Satara,Vai,Tomato,Local,FAQ,300,700,500,25-Feb-20
188,Satara,Vai,Tomato,Local,FAQ,300,600,450,24-Feb-20
189,Satara,Vai,Tomato,Local,FAQ,300,700,500,23-Feb-20
190,Satara,Vai,Tomato,Local,FAQ,300,700,500,22-Feb-20
191,Satara,Vai,Tomato,Local,FAQ,400,800,600,21-Feb-20
192,Satara,Vai,Tomato,Local,FAQ,400,800,600,20-Feb-20
193,Satara,Vai,Tomato,Local,FAQ,500,1300,900,19-Feb-20
194,Satara,Vai,Tomato,Local,FAQ,500,1200,800,18-Feb-20
195,Satara,Vai,Tomato,Local,FAQ,300,800,550,17-Feb-20
196,Satara,Vai,Tomato,Local,FAQ,300,600,450,16-Feb-20
197,Satara,Vai,Tomato,Local,FAQ,300,700,500,15-Feb-20
198,Satara,Vai,Tomato,Local,FAQ,300,700,500,14-Feb-20
199,Satara,Vai,Tomato,Local,FAQ,300,600,450,13-Feb-20
200,Satara,Vai,Tomato,Local,FAQ,400,800,600,12-Feb-20
201,Satara,Vai,Tomato,Local,FAQ,400,800,600,11-Feb-20
202,Satara,Vai,Tomato,Local,FAQ,400,800,600,10-Feb-20
203,Satara,Vai,Tomato,Local,FAQ,500,1000,750,9-Feb-20
204,Satara,Vai,Tomato,Local,FAQ,300,600,450,8-Feb-20
205,Satara,Vai,Tomato,Local,FAQ,300,600,450,7-Feb-20
206,Satara,Vai,Tomato,Local,FAQ,400,800,600,6-Feb-20
207,Satara,Vai,Tomato,Local,FAQ,500,1300,850,5-Feb-20
208,Satara,Vai,Tomato,Local,FAQ,500,1200,900,4-Feb-20
209,Satara,Vai,Tomato,Local,FAQ,500,1200,850,3-Feb-20
210,Satara,Vai,Tomato,Local,FAQ,500,1300,900,2-Feb-20
211,Satara,Vai,Tomato,Local,FAQ,500,1100,800,1-Feb-20
212,Satara,Vai,Tomato,Local,FAQ,500,1100,850,31-Jan-20
213,Satara,Vai,Tomato,Local,FAQ,500,1200,850,30-Jan-20
214,Satara,Vai,Tomato,Local,FAQ,500,1300,900,29-Jan-20
215,Satara,Vai,Tomato,Local,FAQ,500,1300,950,28-Jan-20
216,Satara,Vai,Tomato,Local,FAQ,500,1400,800,27-Jan-20
217,Satara,Vai,Tomato,Local,FAQ,500,1300,850,26-Jan-20
218,Satara,Vai,Tomato,Local,FAQ,500,1200,850,25-Jan-20
219,Satara,Vai,Tomato,Local,FAQ,500,1300,800,24-Jan-20
220,Satara,Vai,Tomato,Local,FAQ,500,1400,900,23-Jan-20
221,Satara,Vai,Tomato,Local,FAQ,500,1500,1000,22-Jan-20
222,Satara,Vai,Tomato,Local,FAQ,500,1500,1000,21-Jan-20
223,Satara,Vai,Tomato,Local,FAQ,500,1700,1050,20-Jan-20
224,Satara,Vai,Tomato,Local,FAQ,500,1600,950,19-Jan-20
225,Satara,Vai,Tomato,Local,FAQ,500,1300,900,18-Jan-20
226,Satara,Vai,Tomato,Local,FAQ,500,1500,1000,17-Jan-20
227,Satara,Vai,Tomato,Local,FAQ,800,1700,1250,16-Jan-20
228,Satara,Vai,Tomato,Local,FAQ,800,2000,1400,15-Jan-20
229,Satara,Vai,Tomato,Local,FAQ,500,1500,1000,14-Jan-20
230,Satara,Vai,Tomato,Local,FAQ,500,1200,800,13-Jan-20
231,Satara,Vai,Tomato,Local,FAQ,500,1300,850,12-Jan-20
232,Satara,Vai,Tomato,Local,FAQ,500,1400,900,11-Jan-20
233,Satara,Vai,Tomato,Local,FAQ,600,800,740,10-Jan-20
234,Satara,Vai,Tomato,Local,FAQ,800,2000,1500,9-Jan-20
235,Satara,Vai,Tomato,Local,FAQ,800,2000,1500,8-Jan-20
236,Satara,Vai,Tomato,Local,FAQ,800,1800,1500,7-Jan-20
237,Satara,Vai,Tomato,Local,FAQ,800,2000,920,6-Jan-20
238,Satara,Vai,Tomato,Local,FAQ,500,1600,1400,5-Jan-20
239,Satara,Vai,Tomato,Local,FAQ,500,1600,1450,4-Jan-20
240,Satara,Vai,Tomato,Local,FAQ,500,1700,1500,3-Jan-20
241,Satara,Vai,Tomato,Local,FAQ,500,1600,1450,2-Jan-20
242,Satara,Vai,Tomato,Local,FAQ,500,1600,1500,1-Jan-20
243,Satara,Vai,Tomato,Local,FAQ,500,1600,1400,31-Dec-19
244,Satara,Vai,Tomato,Local,FAQ,500,1600,1250,30-Dec-19
245,Satara,Vai,Tomato,Local,FAQ,500,1300,1250,28-Dec-19
246,Satara,Vai,Tomato,Local,FAQ,500,1300,1150,27-Dec-19
247,Satara,Vai,Tomato,Local,FAQ,500,1200,1000,26-Dec-19
248,Satara,Vai,Tomato,Local,FAQ,500,1600,1200,25-Dec-19
249,Satara,Vai,Tomato,Local,FAQ,500,1500,1350,24-Dec-19
250,Satara,Vai,Tomato,Local,FAQ,500,1500,1250,23-Dec-19
251,Satara,Vai,Tomato,Local,FAQ,400,1200,1000,20-Dec-19
252,Satara,Vai,Tomato,Local,FAQ,400,1300,1250,19-Dec-19
253,Satara,Vai,Tomato,Local,FAQ,500,1500,1250,18-Dec-19
254,Satara,Vai,Tomato,Local,FAQ,500,1300,1150,17-Dec-19
255,Satara,Vai,Tomato,Local,FAQ,500,1500,1250,16-Dec-19
256,Satara,Vai,Tomato,Local,FAQ,500,1500,1250,15-Dec-19
257,Satara,Vai,Tomato,Local,FAQ,500,1500,1350,14-Dec-19
258,Satara,Vai,Tomato,Local,FAQ,500,1500,1250,13-Dec-19
259,Satara,Vai,Tomato,Local,FAQ,500,1200,1000,12-Dec-19
260,Satara,Vai,Tomato,Local,FAQ,500,1500,1300,11-Dec-19
261,Satara,Vai,Tomato,Local,FAQ,400,1300,1000,10-Dec-19
262,Satara,Vai,Tomato,Local,FAQ,400,1200,1000,9-Dec-19
263,Satara,Vai,Tomato,Local,FAQ,500,1000,850,8-Dec-19
264,Satara,Vai,Tomato,Local,FAQ,500,1200,1000,7-Dec-19
265,Satara,Vai,Tomato,Local,FAQ,500,1300,1200,6-Dec-19
266,Satara,Vai,Tomato,Local,FAQ,500,1500,1350,5-Dec-19
267,Satara,Vai,Tomato,Local,FAQ,500,1400,1200,4-Dec-19
268,Satara,Vai,Tomato,Local,FAQ,500,1500,1400,3-Dec-19
269,Satara,Vai,Tomato,Local,FAQ,400,1100,1000,2-Dec-19
270,Satara,Vai,Tomato,Local,FAQ,500,1300,1000,29-Nov-19
271,Satara,Vai,Tomato,Local,FAQ,500,1400,1250,28-Nov-19
272,Satara,Vai,Tomato,Local,FAQ,500,1500,1450,27-Nov-19
273,Satara,Vai,Tomato,Local,FAQ,500,1500,1350,26-Nov-19
274,Satara,Vai,Tomato,Local,FAQ,500,1500,1350,25-Nov-19
275,Satara,Vai,Tomato,Local,FAQ,500,1500,1250,24-Nov-19
276,Satara,Vai,Tomato,Local,FAQ,500,1300,900,22-Nov-19
277,Satara,Vai,Tomato,Local,FAQ,500,800,650,21-Nov-19
278,Satara,Vai,Tomato,Local,FAQ,500,1700,1500,20-Nov-19
279,Satara,Vai,Tomato,Local,FAQ,500,1800,1500,19-Nov-19
280,Satara,Vai,Tomato,Local,FAQ,500,2000,1500,18-Nov-19
281,Satara,Vai,Tomato,Local,FAQ,500,2200,2000,17-Nov-19
282,Satara,Vai,Tomato,Local,FAQ,1000,2500,2350,16-Nov-19
283,Satara,Vai,Tomato,Local,FAQ,1000,2500,2000,15-Nov-19
284,Satara,Vai,Tomato,Local,FAQ,1000,2500,2350,14-Nov-19
285,Satara,Vai,Tomato,Local,FAQ,1000,2500,2000,13-Nov-19
286,Satara,Vai,Tomato,Local,FAQ,1000,2300,2150,12-Nov-19
287,Satara,Vai,Tomato,Local,FAQ,1000,2000,1650,11-Nov-19
288,Satara,Vai,Tomato,Local,FAQ,1000,2500,2000,10-Nov-19
289,Satara,Vai,Tomato,Local,FAQ,1000,2200,2000,9-Nov-19
290,Satara,Vai,Tomato,Local,FAQ,2000,3000,2850,8-Nov-19
291,Satara,Vai,Tomato,Local,FAQ,2000,3000,2750,7-Nov-19
292,Satara,Vai,Tomato,Local,FAQ,2000,3000,2750,6-Nov-19
293,Satara,Vai,Tomato,Local,FAQ,2000,3200,3000,5-Nov-19
294,Satara,Vai,Tomato,Local,FAQ,2000,3500,3200,4-Nov-19
295,Satara,Vai,Tomato,Local,FAQ,2000,3500,3250,3-Nov-19
296,Satara,Vai,Tomato,Local,FAQ,2000,3500,3250,2-Nov-19
297,Satara,Vai,Tomato,Local,FAQ,2000,3000,2650,1-Nov-19
298,Satara,Vai,Tomato,Local,FAQ,2000,3500,3350,31-Oct-19
299,Satara,Vai,Tomato,Local,FAQ,2000,3500,3350,30-Oct-19
300,Satara,Vai,Tomato,Local,FAQ,2000,3000,2800,29-Oct-19
301,Satara,Vai,Tomato,Local,FAQ,2000,3200,3000,28-Oct-19
302,Satara,Vai,Tomato,Local,FAQ,1500,3000,2800,27-Oct-19
303,Satara,Vai,Tomato,Local,FAQ,1500,2500,2350,26-Oct-19
304,Satara,Vai,Tomato,Local,FAQ,1500,2200,2000,25-Oct-19
305,Satara,Vai,Tomato,Local,FAQ,2000,3500,3350,24-Oct-19
306,Satara,Vai,Tomato,Local,FAQ,2000,4200,4000,23-Oct-19
307,Satara,Vai,Tomato,Local,FAQ,2000,3000,2850,22-Oct-19
308,Satara,Vai,Tomato,Local,FAQ,2000,3500,3350,20-Oct-19
309,Satara,Vai,Tomato,Local,FAQ,1500,3000,2800,19-Oct-19
310,Satara,Vai,Tomato,Local,FAQ,1500,3000,2550,18-Oct-19
311,Satara,Vai,Tomato,Local,FAQ,2000,3700,3500,17-Oct-19
312,Satara,Vai,Tomato,Local,FAQ,2000,3800,3500,16-Oct-19
313,Satara,Vai,Tomato,Local,FAQ,700,4000,3700,15-Oct-19
314,Satara,Vai,Tomato,Local,FAQ,2000,4000,3500,14-Oct-19
315,Satara,Vai,Tomato,Local,FAQ,2000,3500,3350,12-Oct-19
316,Satara,Vai,Tomato,Local,FAQ,2000,3300,3150,11-Oct-19
317,Satara,Vai,Tomato,Local,FAQ,2500,3700,3600,10-Oct-19
318,Satara,Vai,Tomato,Local,FAQ,2500,4000,3750,9-Oct-19
319,Satara,Vai,Tomato,Local,FAQ,2000,3500,3300,8-Oct-19
320,Satara,Vai,Tomato,Local,FAQ,1500,3000,2750,7-Oct-19
321,Satara,Vai,Tomato,Local,FAQ,1500,2700,2550,6-Oct-19
322,Satara,Vai,Tomato,Local,FAQ,1500,2500,2250,5-Oct-19
323,Satara,Vai,Tomato,Local,FAQ,1500,2500,2250,4-Oct-19
324,Satara,Vai,Tomato,Local,FAQ,1500,2800,2500,3-Oct-19
325,Satara,Vai,Tomato,Local,FAQ,1000,2700,2000,2-Oct-19
326,Satara,Vai,Tomato,Local,FAQ,1000,2800,2500,1-Oct-19
327,Satara,Vai,Tomato,Local,FAQ,1000,2300,1800,30-Sep-19
328,Satara,Vai,Tomato,Local,FAQ,1000,2700,2500,29-Sep-19
329,Satara,Vai,Tomato,Local,FAQ,1000,2500,2350,28-Sep-19
330,Satara,Vai,Tomato,Local,FAQ,1000,2500,2350,27-Sep-19
331,Satara,Vai,Tomato,Local,FAQ,1000,2500,2350,26-Sep-19
332,Satara,Vai,Tomato,Local,FAQ,1000,2300,2150,25-Sep-19
333,Satara,Vai,Tomato,Local,FAQ,1000,2300,2000,24-Sep-19
334,Satara,Vai,Tomato,Local,FAQ,1000,2300,2150,23-Sep-19
335,Satara,Vai,Tomato,Local,FAQ,1000,2000,1750,22-Sep-19
336,Satara,Vai,Tomato,Local,FAQ,1000,2200,2000,21-Sep-19
337,Satara,Vai,Tomato,Local,FAQ,500,1600,1450,20-Sep-19
338,Satara,Vai,Tomato,Local,FAQ,500,1300,1150,19-Sep-19
339,Satara,Vai,Tomato,Local,FAQ,1000,1600,1550,18-Sep-19
340,Satara,Vai,Tomato,Local,FAQ,1000,1700,1560,17-Sep-19
341,Satara,Vai,Tomato,Local,FAQ,1000,1800,1550,16-Sep-19
342,Satara,Vai,Tomato,Local,FAQ,1000,1800,1650,15-Sep-19
343,Satara,Vai,Tomato,Local,FAQ,1000,1800,1650,14-Sep-19
