"Min,Max,Modal Price from Maharashtra,Yavatmal[Wheat],Aarni from 01-Jan-2010To25-Oct-2020 (Total-95) (Total-95)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Yavatmal,Aarni,Wheat,Maharashtra 2189,FAQ,1500,1700,1500,20-Jul-20
2,Yavatmal,Aarni,Wheat,Maharashtra 2189,FAQ,1600,2200,2000,6-Jul-20
3,Yavatmal,Aarni,Wheat,Maharashtra 2189,FAQ,1500,1900,1750,4-Jun-20
4,Yavatmal,Aarni,Wheat,Maharashtra 2189,FAQ,1700,2150,1900,18-May-20
5,Yavatmal,Aarni,Wheat,Maharashtra 2189,FAQ,1500,2150,1950,11-May-20
6,Yavatmal,Aarni,Wheat,Maharashtra 2189,FAQ,1690,1834,1700,2-Apr-19
7,Yavatmal,Aarni,Wheat,Maharashtra 2189,FAQ,1600,1700,1650,6-Sep-17
8,Yavatmal,Aarni,Wheat,Maharashtra 2189,FAQ,1400,1700,1600,2-May-16
9,Yavatmal,Aarni,Wheat,Maharashtra 2189,FAQ,1440,1521,1500,23-Sep-15
10,Yavatmal,Aarni,Wheat,Maharashtra 2189,FAQ,1420,1500,1475,21-Sep-15
11,Yavatmal,Aarni,Wheat,Maharashtra 2189,FAQ,1400,1500,1450,15-Sep-15
12,Yavatmal,Aarni,Wheat,Maharashtra 2189,FAQ,1400,1511,1500,14-Sep-15
13,Yavatmal,Aarni,Wheat,Maharashtra 2189,FAQ,1450,1500,1475,10-Sep-15
14,Yavatmal,Aarni,Wheat,Maharashtra 2189,FAQ,1460,1500,1460,25-Aug-15
15,Yavatmal,Aarni,Wheat,Maharashtra 2189,FAQ,1400,1550,1475,3-Aug-15
16,Yavatmal,Aarni,Wheat,Maharashtra 2189,FAQ,1250,1450,1350,20-Oct-14
17,Yavatmal,Aarni,Wheat,Maharashtra 2189,FAQ,1450,1500,1475,17-Oct-14
18,Yavatmal,Aarni,Wheat,Maharashtra 2189,FAQ,1150,1450,1300,10-Oct-14
19,Yavatmal,Aarni,Wheat,Maharashtra 2189,FAQ,1240,1540,1390,8-Oct-14
20,Yavatmal,Aarni,Wheat,Maharashtra 2189,FAQ,1350,1570,1450,7-Oct-14
21,Yavatmal,Aarni,Wheat,Maharashtra 2189,FAQ,1200,1500,1350,4-Oct-14
22,Yavatmal,Aarni,Wheat,Maharashtra 2189,FAQ,1250,1550,1400,26-Sep-14
23,Yavatmal,Aarni,Wheat,Maharashtra 2189,FAQ,1030,1530,1280,19-Sep-14
24,Yavatmal,Aarni,Wheat,Maharashtra 2189,FAQ,1400,1530,1450,13-Sep-14
25,Yavatmal,Aarni,Wheat,Maharashtra 2189,FAQ,1270,1570,1420,12-Sep-14
26,Yavatmal,Aarni,Wheat,Maharashtra 2189,FAQ,1300,1500,1400,30-Aug-14
