"Min,Max,Modal Price from Maharashtra,Aurangabad[Wheat],Aurangabad from 01-Jan-2010To25-Oct-2020 (Total-1907) (Total-1907)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Aurangabad,Aurangabad,Wheat,Other,FAQ,1400,1600,1500,14-Oct-20
2,Aurangabad,Aurangabad,Wheat,Other,FAQ,1425,1625,1525,13-Oct-20
3,Aurangabad,Aurangabad,Wheat,Other,FAQ,1400,1600,1500,12-Oct-20
4,Aurangabad,Aurangabad,Wheat,Other,FAQ,1430,1600,1515,10-Oct-20
5,Aurangabad,Aurangabad,Wheat,Other,FAQ,1450,1650,1550,9-Oct-20
6,Aurangabad,Aurangabad,Wheat,Other,FAQ,1400,1450,1425,8-Oct-20
7,Aurangabad,Aurangabad,Wheat,Other,FAQ,1400,1500,1450,7-Oct-20
8,Aurangabad,Aurangabad,Wheat,Other,FAQ,1200,1450,1325,6-Oct-20
9,Aurangabad,Aurangabad,Wheat,Other,FAQ,1410,1600,1505,5-Oct-20
10,Aurangabad,Aurangabad,Wheat,Other,FAQ,1450,1550,1500,3-Oct-20
11,Aurangabad,Aurangabad,Wheat,Other,FAQ,1450,1475,1462,2-Oct-20
12,Aurangabad,Aurangabad,Wheat,Other,FAQ,1300,1600,1450,1-Oct-20
13,Aurangabad,Aurangabad,Wheat,Other,FAQ,1435,1625,1530,30-Sep-20
14,Aurangabad,Aurangabad,Wheat,Other,FAQ,1450,1600,1525,29-Sep-20
15,Aurangabad,Aurangabad,Wheat,Other,FAQ,1400,1575,1487,28-Sep-20
16,Aurangabad,Aurangabad,Wheat,Other,FAQ,1475,1600,1537,26-Sep-20
17,Aurangabad,Aurangabad,Wheat,Other,FAQ,1350,1700,1525,25-Sep-20
18,Aurangabad,Aurangabad,Wheat,Other,FAQ,1420,1500,1460,24-Sep-20
19,Aurangabad,Aurangabad,Wheat,Other,FAQ,1400,1620,1510,23-Sep-20
20,Aurangabad,Aurangabad,Wheat,Other,FAQ,1425,1600,1512,22-Sep-20
21,Aurangabad,Aurangabad,Wheat,Other,FAQ,1450,1725,1587,21-Sep-20
22,Aurangabad,Aurangabad,Wheat,Other,FAQ,1400,1675,1537,19-Sep-20
23,Aurangabad,Aurangabad,Wheat,Other,FAQ,1475,1800,1638,18-Sep-20
24,Aurangabad,Aurangabad,Wheat,Other,FAQ,1400,1600,1500,17-Sep-20
25,Aurangabad,Aurangabad,Wheat,Other,FAQ,1525,1800,1662,16-Sep-20
26,Aurangabad,Aurangabad,Wheat,Other,FAQ,1400,1600,1500,15-Sep-20
27,Aurangabad,Aurangabad,Wheat,Other,FAQ,1400,1800,1600,14-Sep-20
28,Aurangabad,Aurangabad,Wheat,Other,FAQ,1500,1750,1625,12-Sep-20
29,Aurangabad,Aurangabad,Wheat,Other,FAQ,1500,1600,1550,11-Sep-20
30,Aurangabad,Aurangabad,Wheat,Other,FAQ,1500,1550,1525,10-Sep-20
31,Aurangabad,Aurangabad,Wheat,Other,FAQ,1400,1650,1525,9-Sep-20
32,Aurangabad,Aurangabad,Wheat,Other,FAQ,1500,1700,1600,8-Sep-20
33,Aurangabad,Aurangabad,Wheat,Other,FAQ,1500,1800,1650,7-Sep-20
34,Aurangabad,Aurangabad,Wheat,Other,FAQ,1400,1800,1600,5-Sep-20
35,Aurangabad,Aurangabad,Wheat,Other,FAQ,1525,1800,1662,4-Sep-20
36,Aurangabad,Aurangabad,Wheat,Other,FAQ,1500,1800,1650,3-Sep-20
37,Aurangabad,Aurangabad,Wheat,Other,FAQ,1500,1675,1587,2-Sep-20
38,Aurangabad,Aurangabad,Wheat,Other,FAQ,1525,1700,1612,31-Aug-20
39,Aurangabad,Aurangabad,Wheat,Other,FAQ,1500,1700,1600,29-Aug-20
40,Aurangabad,Aurangabad,Wheat,Other,FAQ,1500,1800,1650,28-Aug-20
41,Aurangabad,Aurangabad,Wheat,Other,FAQ,1550,1700,1625,27-Aug-20
42,Aurangabad,Aurangabad,Wheat,Other,FAQ,1525,1550,1537,24-Aug-20
43,Aurangabad,Aurangabad,Wheat,Other,FAQ,1550,1875,1712,21-Aug-20
44,Aurangabad,Aurangabad,Wheat,Other,FAQ,1600,1650,1625,20-Aug-20
45,Aurangabad,Aurangabad,Wheat,Other,FAQ,1600,1750,1675,17-Aug-20
46,Aurangabad,Aurangabad,Wheat,Other,FAQ,1600,1760,1680,14-Aug-20
47,Aurangabad,Aurangabad,Wheat,Other,FAQ,1600,1900,1750,13-Aug-20
48,Aurangabad,Aurangabad,Wheat,Other,FAQ,1625,1650,1637,12-Aug-20
49,Aurangabad,Aurangabad,Wheat,Other,FAQ,1625,1850,1737,11-Aug-20
50,Aurangabad,Aurangabad,Wheat,Other,FAQ,1600,1850,1725,10-Aug-20
51,Aurangabad,Aurangabad,Wheat,Other,FAQ,1600,1800,1700,7-Aug-20
52,Aurangabad,Aurangabad,Wheat,Other,FAQ,1625,1921,1773,6-Aug-20
53,Aurangabad,Aurangabad,Wheat,Other,FAQ,1650,1975,1812,5-Aug-20
54,Aurangabad,Aurangabad,Wheat,Other,FAQ,1650,1750,1700,4-Aug-20
55,Aurangabad,Aurangabad,Wheat,Other,FAQ,1650,1750,1700,3-Aug-20
56,Aurangabad,Aurangabad,Wheat,Other,FAQ,1650,1770,1710,31-Jul-20
57,Aurangabad,Aurangabad,Wheat,Other,FAQ,1650,1750,1700,30-Jul-20
58,Aurangabad,Aurangabad,Wheat,Other,FAQ,1600,1650,1625,29-Jul-20
59,Aurangabad,Aurangabad,Wheat,Other,FAQ,1400,1900,1650,28-Jul-20
60,Aurangabad,Aurangabad,Wheat,Other,FAQ,1607,1671,1639,27-Jul-20
61,Aurangabad,Aurangabad,Wheat,Other,FAQ,1650,1900,1775,25-Jul-20
62,Aurangabad,Aurangabad,Wheat,Other,FAQ,1671,2000,1835,24-Jul-20
63,Aurangabad,Aurangabad,Wheat,Other,FAQ,1650,1671,1660,23-Jul-20
64,Aurangabad,Aurangabad,Wheat,Other,FAQ,1650,1950,1800,22-Jul-20
65,Aurangabad,Aurangabad,Wheat,Other,FAQ,1600,1740,1670,21-Jul-20
66,Aurangabad,Aurangabad,Wheat,Other,FAQ,1700,1971,1835,20-Jul-20
67,Aurangabad,Aurangabad,Wheat,Other,FAQ,1700,1971,1835,9-Jul-20
68,Aurangabad,Aurangabad,Wheat,Other,FAQ,1700,1850,1775,8-Jul-20
69,Aurangabad,Aurangabad,Wheat,Other,FAQ,1700,1900,1800,7-Jul-20
70,Aurangabad,Aurangabad,Wheat,Other,FAQ,1700,1800,1750,6-Jul-20
71,Aurangabad,Aurangabad,Wheat,Other,FAQ,1600,2000,1800,4-Jul-20
72,Aurangabad,Aurangabad,Wheat,Other,FAQ,1700,1750,1725,3-Jul-20
73,Aurangabad,Aurangabad,Wheat,Other,FAQ,1700,2000,1850,2-Jul-20
74,Aurangabad,Aurangabad,Wheat,Other,FAQ,1600,2000,1800,1-Jul-20
75,Aurangabad,Aurangabad,Wheat,Other,FAQ,1650,2100,1875,30-Jun-20
76,Aurangabad,Aurangabad,Wheat,Other,FAQ,1600,1700,1650,29-Jun-20
77,Aurangabad,Aurangabad,Wheat,Other,FAQ,1600,1700,1650,27-Jun-20
