"Min,Max,Modal Price from Maharashtra,Latur[Wheat],Ausa from 01-Jan-2010To25-Oct-2020 (Total-907) (Total-907)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Latur,Ausa,Wheat,Maharashtra 2189,FAQ,1811,3100,2455,16-Jun-20
2,Latur,Ausa,Wheat,Maharashtra 2189,FAQ,2200,2750,2500,14-Jun-20
3,Latur,Ausa,Wheat,Maharashtra 2189,FAQ,1700,3301,2413,1-Jun-20
4,Latur,Ausa,Wheat,Maharashtra 2189,FAQ,1751,2311,2128,18-May-20
5,Latur,Ausa,Wheat,Maharashtra 2189,FAQ,1700,2902,2276,17-May-20
6,Latur,Ausa,Wheat,Maharashtra 2189,FAQ,1700,3200,2547,14-May-20
7,Latur,Ausa,Wheat,Maharashtra 2189,FAQ,1700,2712,2222,13-May-20
8,Latur,Ausa,Wheat,Bansi,FAQ,4321,4321,4321,10-May-20
9,Latur,Ausa,Wheat,Maharashtra 2189,FAQ,1700,2600,2037,10-May-20
10,Latur,Ausa,Wheat,Maharashtra 2189,FAQ,1700,2712,2304,7-May-20
11,Latur,Ausa,Wheat,Maharashtra 2189,FAQ,1551,3221,2340,3-May-20
12,Latur,Ausa,Wheat,Maharashtra 2189,FAQ,2651,2661,2656,19-Mar-20
13,Latur,Ausa,Wheat,Maharashtra 2189,FAQ,1751,2451,2067,17-Mar-20
14,Latur,Ausa,Wheat,Maharashtra 2189,FAQ,1451,2900,1905,5-Mar-20
15,Latur,Ausa,Wheat,Maharashtra 2189,FAQ,2000,2851,2425,2-Mar-20
16,Latur,Ausa,Wheat,Maharashtra 2189,FAQ,1975,2000,1987,1-Mar-20
17,Latur,Ausa,Wheat,Maharashtra 2189,FAQ,1500,3201,2367,25-Feb-20
18,Latur,Ausa,Wheat,Maharashtra 2189,FAQ,2000,2000,2000,11-Feb-20
19,Latur,Ausa,Wheat,Maharashtra 2189,FAQ,1500,2751,2280,30-Jan-20
20,Latur,Ausa,Wheat,Maharashtra 2189,FAQ,3701,3701,3701,29-Jan-20
21,Latur,Ausa,Wheat,Maharashtra 2189,FAQ,2001,2801,2267,19-Jan-20
22,Latur,Ausa,Wheat,Maharashtra 2189,FAQ,2000,2000,2000,23-Dec-19
23,Latur,Ausa,Wheat,Maharashtra 2189,FAQ,2000,2601,2250,3-Nov-19
24,Latur,Ausa,Wheat,Maharashtra 2189,FAQ,2251,2601,2450,17-Oct-19
25,Latur,Ausa,Wheat,Maharashtra 2189,FAQ,1500,3601,2386,15-Sep-19
26,Latur,Ausa,Wheat,Maharashtra 2189,FAQ,2000,2000,2000,27-Aug-19
