"Min,Max,Modal Price from Maharashtra,Hingoli[Wheat],Basmat from 01-Jan-2010To25-Oct-2020 (Total-134) (Total-134)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,2020,2020,2020,18-Feb-19
2,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1675,1675,1675,24-Dec-18
3,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1650,1650,1650,20-Dec-18
4,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1570,1700,1650,28-Mar-17
5,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1550,1650,1600,27-Mar-17
6,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1595,1640,1600,24-Mar-17
7,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1500,1650,1550,22-Mar-17
8,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1630,1720,1650,14-Mar-17
9,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1600,1600,1600,2-Nov-15
10,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1785,1785,1785,16-Oct-15
11,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1655,1655,1655,9-Oct-15
12,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1550,1550,1550,25-Aug-15
13,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1400,1485,1400,3-Mar-15
14,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1600,1600,1600,25-Feb-15
15,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1570,1570,1570,3-Feb-15
16,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1550,1550,1550,28-Jan-15
17,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1500,1500,1500,17-Dec-14
18,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1470,1470,1470,16-Apr-14
19,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1430,1725,1600,10-Apr-14
20,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1450,1715,1650,9-Apr-14
21,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1415,1575,1490,5-Apr-14
22,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1450,1525,1500,4-Apr-14
23,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1500,1605,1550,3-Apr-14
24,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1450,1550,1500,2-Apr-14
25,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1200,1825,1700,28-Mar-14
26,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1420,1420,1420,24-Mar-14
27,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1450,1550,1500,22-Mar-14
28,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1380,1450,1380,20-Mar-14
29,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1600,1640,1620,13-Mar-14
30,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1560,1640,1620,12-Mar-14
31,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1595,1850,1725,3-Mar-14
32,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1700,1875,1800,24-Feb-14
33,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1735,1735,1735,18-Feb-14
34,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1705,1705,1705,30-Nov-13
35,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,2150,2150,2150,29-Nov-13
36,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1675,1675,1675,14-Nov-13
37,Hingoli,Basmat,Wheat,Maharashtra 2189,FAQ,1540,1755,1645,10-Sep-13
38,Hingoli,Basmat,Wheat,Other,FAQ,1550,1625,1585,11-Jul-13
39,Hingoli,Basmat,Wheat,Other,FAQ,1650,1650,1650,19-Jun-13
40,Hingoli,Basmat,Wheat,Other,FAQ,1400,1605,1502,22-Mar-13
41,Hingoli,Basmat,Wheat,Other,FAQ,1465,1630,1547,19-Mar-13
42,Hingoli,Basmat,Wheat,Other,FAQ,1480,1705,1592,18-Mar-13
43,Hingoli,Basmat,Wheat,Other,FAQ,1450,1500,1475,9-Mar-13
44,Hingoli,Basmat,Wheat,Other,FAQ,1415,1520,1467,8-Mar-13
45,Hingoli,Basmat,Wheat,Other,FAQ,1475,1475,1475,2-Mar-13
46,Hingoli,Basmat,Wheat,Other,FAQ,1500,1625,1562,26-Feb-13
47,Hingoli,Basmat,Wheat,Other,FAQ,1500,1600,1550,25-Feb-13
48,Hingoli,Basmat,Wheat,Other,FAQ,1500,1500,1500,23-Feb-13
49,Hingoli,Basmat,Wheat,Other,FAQ,1520,1600,1560,22-Feb-13
50,Hingoli,Basmat,Wheat,Other,FAQ,1595,1595,1595,21-Feb-13
51,Hingoli,Basmat,Wheat,Other,FAQ,1605,1605,1605,19-Feb-13
52,Hingoli,Basmat,Wheat,Other,FAQ,1500,1600,1550,16-Feb-13
53,Hingoli,Basmat,Wheat,Other,FAQ,1500,1500,1500,15-Feb-13
54,Hingoli,Basmat,Wheat,Other,FAQ,1700,1785,1750,12-Feb-13
55,Hingoli,Basmat,Wheat,Other,FAQ,1825,1825,1825,6-Feb-13
56,Hingoli,Basmat,Wheat,Other,FAQ,1610,1610,1610,2-Feb-13
57,Hingoli,Basmat,Wheat,Other,FAQ,1550,1790,1670,1-Feb-13
58,Hingoli,Basmat,Wheat,Other,FAQ,1550,1700,1625,28-Jan-13
59,Hingoli,Basmat,Wheat,Other,FAQ,1520,1520,1520,26-Jan-13
60,Hingoli,Basmat,Wheat,Other,FAQ,1740,1740,1740,25-Jan-13
61,Hingoli,Basmat,Wheat,Other,FAQ,1480,1555,1518,23-Jan-13
62,Hingoli,Basmat,Wheat,Other,FAQ,1595,1595,1595,22-Jan-13
63,Hingoli,Basmat,Wheat,Other,FAQ,1505,1505,1505,18-Jan-13
64,Hingoli,Basmat,Wheat,Other,FAQ,1500,1700,1590,16-Jan-13
65,Hingoli,Basmat,Wheat,Other,FAQ,1520,1595,1558,12-Jan-13
66,Hingoli,Basmat,Wheat,Other,FAQ,1650,1650,1650,10-Jan-13
67,Hingoli,Basmat,Wheat,Other,FAQ,1515,1805,1660,7-Jan-13
68,Hingoli,Basmat,Wheat,Other,FAQ,1650,1650,1650,30-Nov-12
69,Hingoli,Basmat,Wheat,Other,FAQ,1550,1550,1550,26-Nov-12
70,Hingoli,Basmat,Wheat,Other,FAQ,1690,1690,1690,24-Nov-12
71,Hingoli,Basmat,Wheat,Other,FAQ,1550,1550,1550,18-Oct-12
72,Hingoli,Basmat,Wheat,Other,FAQ,1150,1240,1200,24-Mar-12
73,Hingoli,Basmat,Wheat,Other,FAQ,1150,1200,1175,23-Mar-12
74,Hingoli,Basmat,Wheat,Other,FAQ,1100,1230,1150,14-Mar-12
75,Hingoli,Basmat,Wheat,Other,FAQ,1110,1166,1150,28-Feb-12
76,Hingoli,Basmat,Wheat,Other,FAQ,1100,1200,1150,18-Feb-12
77,Hingoli,Basmat,Wheat,Other,FAQ,1100,1186,1150,8-Feb-12
78,Hingoli,Basmat,Wheat,Other,FAQ,1100,1240,1150,14-Jan-12
79,Hingoli,Basmat,Wheat,Other,FAQ,1100,1155,1120,7-Apr-11
80,Hingoli,Basmat,Wheat,Other,FAQ,1100,1150,1125,6-Apr-11
81,Hingoli,Basmat,Wheat,Other,FAQ,1100,1150,1150,1-Apr-11
82,Hingoli,Basmat,Wheat,Other,FAQ,1100,1146,1115,31-Mar-11
83,Hingoli,Basmat,Wheat,Other,FAQ,1300,1330,1325,30-Mar-11
84,Hingoli,Basmat,Wheat,Other,FAQ,1100,1130,1120,29-Mar-11
85,Hingoli,Basmat,Wheat,Other,FAQ,1100,1145,1115,28-Mar-11
86,Hingoli,Basmat,Wheat,Other,FAQ,1167,1268,1200,25-Mar-11
87,Hingoli,Basmat,Wheat,Other,FAQ,1125,1218,1170,23-Mar-11
88,Hingoli,Basmat,Wheat,Other,FAQ,1164,1251,1200,22-Mar-11
89,Hingoli,Basmat,Wheat,Other,FAQ,1176,1225,1200,21-Mar-11
90,Hingoli,Basmat,Wheat,Other,FAQ,1128,1280,1200,16-Mar-11
91,Hingoli,Basmat,Wheat,Other,FAQ,1185,1212,1190,15-Mar-11
92,Hingoli,Basmat,Wheat,Other,FAQ,1170,1225,1200,14-Mar-11
93,Hingoli,Basmat,Wheat,Other,FAQ,1100,1241,1200,12-Mar-11
94,Hingoli,Basmat,Wheat,Other,FAQ,1152,1280,1180,10-Mar-11
95,Hingoli,Basmat,Wheat,Other,FAQ,1400,1620,1550,14-Feb-11
96,Hingoli,Basmat,Wheat,Other,FAQ,1450,1570,1510,21-Jan-11
97,Hingoli,Basmat,Wheat,Other,FAQ,1175,1219,1197,24-Sep-10
98,Hingoli,Basmat,Wheat,Other,FAQ,1400,1455,1425,15-Sep-10
99,Hingoli,Basmat,Wheat,Other,FAQ,1118,1175,1144,3-Apr-10
100,Hingoli,Basmat,Wheat,Other,FAQ,1250,1360,1305,27-Mar-10
101,Hingoli,Basmat,Wheat,Other,FAQ,1225,1350,1285,25-Mar-10
102,Hingoli,Basmat,Wheat,Other,FAQ,1250,1450,1350,20-Mar-10
103,Hingoli,Basmat,Wheat,Other,FAQ,1240,1491,1365,19-Mar-10
104,Hingoli,Basmat,Wheat,Other,FAQ,1205,1450,1327,18-Mar-10
105,Hingoli,Basmat,Wheat,Other,FAQ,1200,1299,1249,12-Mar-10
106,Hingoli,Basmat,Wheat,Other,FAQ,1251,1371,1311,11-Mar-10
107,Hingoli,Basmat,Wheat,Other,FAQ,1200,1350,1275,10-Mar-10
108,Hingoli,Basmat,Wheat,Other,FAQ,1300,1475,1387,9-Mar-10
109,Hingoli,Basmat,Wheat,Other,FAQ,1200,1281,1240,8-Mar-10
110,Hingoli,Basmat,Wheat,Other,FAQ,1225,1271,1250,5-Mar-10
111,Hingoli,Basmat,Wheat,Other,FAQ,1151,1426,1275,4-Mar-10
112,Hingoli,Basmat,Wheat,Other,FAQ,1276,1300,1288,3-Mar-10
113,Hingoli,Basmat,Wheat,Other,FAQ,1260,1351,1305,2-Mar-10
114,Hingoli,Basmat,Wheat,Other,FAQ,1100,1377,1238,25-Feb-10
115,Hingoli,Basmat,Wheat,Other,FAQ,1275,1380,1327,23-Feb-10
116,Hingoli,Basmat,Wheat,Other,FAQ,1300,1458,1379,20-Feb-10
117,Hingoli,Basmat,Wheat,Other,FAQ,1350,1590,1470,18-Feb-10
118,Hingoli,Basmat,Wheat,Other,FAQ,1250,1500,1375,17-Feb-10
119,Hingoli,Basmat,Wheat,Other,FAQ,1300,1500,1400,16-Feb-10
120,Hingoli,Basmat,Wheat,Other,FAQ,1350,1441,1395,12-Feb-10
121,Hingoli,Basmat,Wheat,Other,FAQ,1246,1500,1300,10-Feb-10
122,Hingoli,Basmat,Wheat,Other,FAQ,1375,1400,1387,6-Feb-10
123,Hingoli,Basmat,Wheat,Other,FAQ,1300,1375,1338,4-Feb-10
124,Hingoli,Basmat,Wheat,Other,FAQ,1460,1576,1518,1-Feb-10
125,Hingoli,Basmat,Wheat,Other,FAQ,1500,1500,1500,27-Jan-10
126,Hingoli,Basmat,Wheat,Other,FAQ,1510,1510,1510,21-Jan-10
127,Hingoli,Basmat,Wheat,Other,FAQ,1450,1557,1503,20-Jan-10
128,Hingoli,Basmat,Wheat,Other,FAQ,1400,1575,1487,19-Jan-10
129,Hingoli,Basmat,Wheat,Other,FAQ,1400,1511,1455,18-Jan-10
