"Min,Max,Modal Price from Maharashtra,Parbhani[Wheat],Bori from 01-Jan-2010To25-Oct-2020 (Total-11) (Total-11)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Parbhani,Bori,Wheat,Other,FAQ,2050,2205,2195,12-Oct-20
2,Parbhani,Bori,Wheat,Other,FAQ,2000,2210,2115,5-Oct-20
3,Parbhani,Bori,Wheat,Other,FAQ,1950,2400,2300,29-Sep-20
4,Parbhani,Bori,Wheat,Other,FAQ,1445,1445,1445,18-Sep-20
5,Parbhani,Bori,Wheat,Other,FAQ,1900,2000,2000,16-Sep-20
6,Parbhani,Bori,Wheat,Other,FAQ,1905,2310,2250,29-Jul-20
7,Parbhani,Bori,Wheat,Other,FAQ,2100,2210,2125,9-Jul-20
8,Parbhani,Bori,Wheat,Other,FAQ,2000,2225,2150,8-Jul-20
9,Parbhani,Bori,Wheat,Other,FAQ,1850,2300,2250,4-Jul-20
10,Parbhani,Bori,Wheat,Other,FAQ,2000,2400,2350,20-Jun-20
11,Parbhani,Bori,Wheat,Other,FAQ,2110,2400,2200,10-Jun-20
