"Min,Max,Modal Price from Maharashtra,Yavatmal[Wheat],Digras from 01-Jan-2010To25-Oct-2020 (Total-923) (Total-923)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Yavatmal,Digras,Wheat,Other,FAQ,1200,1400,1200,13-Oct-20
2,Yavatmal,Digras,Wheat,Other,FAQ,1556,1795,1765,15-Sep-20
3,Yavatmal,Digras,Wheat,Other,FAQ,1550,1775,1685,9-Sep-20
4,Yavatmal,Digras,Wheat,Other,FAQ,1550,1550,1550,8-Sep-20
5,Yavatmal,Digras,Wheat,Other,FAQ,1540,1540,1540,1-Sep-20
6,Yavatmal,Digras,Wheat,Other,FAQ,1950,2150,2065,13-Aug-20
7,Yavatmal,Digras,Wheat,Other,FAQ,1350,1500,1350,11-Aug-20
8,Yavatmal,Digras,Wheat,Other,FAQ,1840,2215,2135,7-Aug-20
9,Yavatmal,Digras,Wheat,Other,FAQ,1985,2165,2095,6-Aug-20
10,Yavatmal,Digras,Wheat,Other,FAQ,1895,2200,1995,5-Aug-20
11,Yavatmal,Digras,Wheat,Other,FAQ,1850,2370,1995,23-Jun-20
12,Yavatmal,Digras,Wheat,Other,FAQ,2150,2255,2201,9-Jun-20
13,Yavatmal,Digras,Wheat,Other,FAQ,1885,2250,1995,26-May-20
14,Yavatmal,Digras,Wheat,Other,FAQ,1850,2060,1985,19-May-20
15,Yavatmal,Digras,Wheat,Other,FAQ,1755,1850,1755,27-Feb-20
16,Yavatmal,Digras,Wheat,Other,FAQ,1850,2250,1850,26-Feb-20
17,Yavatmal,Digras,Wheat,Other,FAQ,1950,1950,1950,18-Feb-20
18,Yavatmal,Digras,Wheat,Other,FAQ,1980,2375,1980,13-Feb-20
19,Yavatmal,Digras,Wheat,Other,FAQ,1990,1990,1990,7-Feb-20
20,Yavatmal,Digras,Wheat,Other,FAQ,1975,1975,1975,5-Feb-20
21,Yavatmal,Digras,Wheat,Other,FAQ,2050,2475,2050,31-Jan-20
22,Yavatmal,Digras,Wheat,Other,FAQ,2095,2450,2095,30-Jan-20
23,Yavatmal,Digras,Wheat,Other,FAQ,1925,2500,2350,27-Jan-20
24,Yavatmal,Digras,Wheat,Other,FAQ,1900,2490,1900,24-Jan-20
25,Yavatmal,Digras,Wheat,Other,FAQ,2165,2550,2165,23-Jan-20
26,Yavatmal,Digras,Wheat,Other,FAQ,1995,1995,1995,22-Jan-20
27,Yavatmal,Digras,Wheat,Other,FAQ,1840,1845,1840,20-Jan-20
28,Yavatmal,Digras,Wheat,Other,FAQ,1995,2330,2275,16-Jan-20
29,Yavatmal,Digras,Wheat,Other,FAQ,1890,2275,2165,14-Jan-20
30,Yavatmal,Digras,Wheat,Other,FAQ,2315,2315,2315,13-Jan-20
31,Yavatmal,Digras,Wheat,Other,FAQ,1885,2520,2285,10-Jan-20
32,Yavatmal,Digras,Wheat,Other,FAQ,2090,2145,2090,9-Jan-20
33,Yavatmal,Digras,Wheat,Other,FAQ,1950,2575,2365,6-Jan-20
34,Yavatmal,Digras,Wheat,Other,FAQ,2195,2195,2195,3-Jan-20
35,Yavatmal,Digras,Wheat,Other,FAQ,2060,2075,2060,31-Dec-19
36,Yavatmal,Digras,Wheat,Other,FAQ,1965,2020,1965,30-Dec-19
37,Yavatmal,Digras,Wheat,Other,FAQ,2430,2430,2430,27-Dec-19
38,Yavatmal,Digras,Wheat,Other,FAQ,1905,2125,2095,26-Dec-19
39,Yavatmal,Digras,Wheat,Other,FAQ,1950,2250,2165,24-Dec-19
40,Yavatmal,Digras,Wheat,Other,FAQ,2160,2160,2160,23-Dec-19
41,Yavatmal,Digras,Wheat,Other,FAQ,1950,1950,1950,20-Dec-19
42,Yavatmal,Digras,Wheat,Other,FAQ,1995,1995,1995,19-Dec-19
43,Yavatmal,Digras,Wheat,Other,FAQ,1855,2125,1985,16-Dec-19
44,Yavatmal,Digras,Wheat,Other,FAQ,1945,2365,2195,13-Dec-19
45,Yavatmal,Digras,Wheat,Other,FAQ,1885,1885,1885,10-Dec-19
46,Yavatmal,Digras,Wheat,Other,FAQ,1995,2260,1995,9-Dec-19
47,Yavatmal,Digras,Wheat,Other,FAQ,1940,2205,2145,6-Dec-19
48,Yavatmal,Digras,Wheat,Other,FAQ,2085,2285,2195,5-Dec-19
49,Yavatmal,Digras,Wheat,Other,FAQ,1930,2305,1930,4-Dec-19
50,Yavatmal,Digras,Wheat,Other,FAQ,2495,2495,2495,3-Dec-19
51,Yavatmal,Digras,Wheat,Other,FAQ,2220,2220,2220,2-Dec-19
52,Yavatmal,Digras,Wheat,Other,FAQ,1900,2120,2060,28-Nov-19
53,Yavatmal,Digras,Wheat,Other,FAQ,1880,1880,1880,27-Nov-19
54,Yavatmal,Digras,Wheat,Other,FAQ,2335,2335,2335,26-Nov-19
55,Yavatmal,Digras,Wheat,Other,FAQ,2090,2090,2090,25-Nov-19
56,Yavatmal,Digras,Wheat,Other,FAQ,1875,2140,1985,22-Nov-19
57,Yavatmal,Digras,Wheat,Other,FAQ,2025,2125,2025,21-Nov-19
58,Yavatmal,Digras,Wheat,Other,FAQ,1960,1960,1960,20-Nov-19
59,Yavatmal,Digras,Wheat,Other,FAQ,2130,2130,2130,19-Nov-19
60,Yavatmal,Digras,Wheat,Other,FAQ,1970,2075,1970,18-Nov-19
61,Yavatmal,Digras,Wheat,Other,FAQ,1895,2030,1895,15-Nov-19
62,Yavatmal,Digras,Wheat,Other,FAQ,1830,2235,1985,14-Nov-19
63,Yavatmal,Digras,Wheat,Other,FAQ,2100,2135,2100,13-Nov-19
64,Yavatmal,Digras,Wheat,Other,FAQ,1950,2130,2095,8-Nov-19
65,Yavatmal,Digras,Wheat,Other,FAQ,2050,2050,2050,5-Nov-19
66,Yavatmal,Digras,Wheat,Other,FAQ,1900,2065,1995,4-Nov-19
67,Yavatmal,Digras,Wheat,Other,FAQ,1990,2185,2085,1-Nov-19
68,Yavatmal,Digras,Wheat,Other,FAQ,1960,1975,1960,31-Oct-19
69,Yavatmal,Digras,Wheat,Other,FAQ,1875,2145,1875,23-Oct-19
70,Yavatmal,Digras,Wheat,Other,FAQ,2045,2045,2045,17-Oct-19
71,Yavatmal,Digras,Wheat,Other,FAQ,1985,2025,2010,16-Oct-19
72,Yavatmal,Digras,Wheat,Other,FAQ,1860,1995,1860,15-Oct-19
73,Yavatmal,Digras,Wheat,Other,FAQ,1900,1960,1900,14-Oct-19
74,Yavatmal,Digras,Wheat,Other,FAQ,1800,1950,1895,11-Oct-19
75,Yavatmal,Digras,Wheat,Other,FAQ,1855,1960,1925,10-Oct-19
76,Yavatmal,Digras,Wheat,Other,FAQ,1950,2100,1950,9-Oct-19
77,Yavatmal,Digras,Wheat,Other,FAQ,1900,1975,1965,7-Oct-19
78,Yavatmal,Digras,Wheat,Other,FAQ,1985,1985,1985,1-Oct-19
79,Yavatmal,Digras,Wheat,Other,FAQ,1955,2155,2115,30-Sep-19
80,Yavatmal,Digras,Wheat,Other,FAQ,1950,2020,1995,27-Sep-19
81,Yavatmal,Digras,Wheat,Other,FAQ,1950,1950,1950,26-Sep-19
82,Yavatmal,Digras,Wheat,Other,FAQ,1990,2015,2005,25-Sep-19
83,Yavatmal,Digras,Wheat,Other,FAQ,1800,2060,1985,24-Sep-19
84,Yavatmal,Digras,Wheat,Other,FAQ,1900,2080,1995,20-Sep-19
85,Yavatmal,Digras,Wheat,Other,FAQ,1900,2000,1995,19-Sep-19
86,Yavatmal,Digras,Wheat,Other,FAQ,1950,2055,2035,18-Sep-19
87,Yavatmal,Digras,Wheat,Other,FAQ,1850,2255,2175,17-Sep-19
88,Yavatmal,Digras,Wheat,Other,FAQ,1950,2010,1995,13-Sep-19
89,Yavatmal,Digras,Wheat,Other,FAQ,1985,2030,1985,12-Sep-19
90,Yavatmal,Digras,Wheat,Other,FAQ,2015,2150,2135,11-Sep-19
91,Yavatmal,Digras,Wheat,Other,FAQ,2005,2055,2045,9-Sep-19
92,Yavatmal,Digras,Wheat,Other,FAQ,2070,2205,2185,5-Sep-19
93,Yavatmal,Digras,Wheat,Other,FAQ,1975,2005,2000,4-Sep-19
94,Yavatmal,Digras,Wheat,Other,FAQ,2000,2240,2185,3-Sep-19
95,Yavatmal,Digras,Wheat,Other,FAQ,2000,2045,2000,29-Aug-19
96,Yavatmal,Digras,Wheat,Other,FAQ,1925,2120,2095,26-Aug-19
97,Yavatmal,Digras,Wheat,Other,FAQ,2025,2150,2125,23-Aug-19
