"Min,Max,Modal Price from Maharashtra,Dhule[Wheat],Dondaicha from 01-Jan-2010To25-Oct-2020 (Total-2120) (Total-2120)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Dhule,Dondaicha,Wheat,Other,FAQ,1475,1768,1611,14-Oct-20
2,Dhule,Dondaicha,Wheat,Other,FAQ,1350,1751,1647,13-Oct-20
3,Dhule,Dondaicha,Wheat,Other,FAQ,1400,1741,1650,12-Oct-20
4,Dhule,Dondaicha,Wheat,Other,FAQ,1400,1753,1651,9-Oct-20
5,Dhule,Dondaicha,Wheat,Other,FAQ,1450,1780,1611,7-Oct-20
6,Dhule,Dondaicha,Wheat,Other,FAQ,1450,1800,1600,6-Oct-20
7,Dhule,Dondaicha,Wheat,Other,FAQ,1400,1830,1651,5-Oct-20
8,Dhule,Dondaicha,Wheat,Other,FAQ,1400,1740,1651,30-Sep-20
9,Dhule,Dondaicha,Wheat,Other,FAQ,1341,1800,1651,29-Sep-20
10,Dhule,Dondaicha,Wheat,Other,FAQ,1450,1835,1751,28-Sep-20
11,Dhule,Dondaicha,Wheat,Other,FAQ,1450,1801,1661,25-Sep-20
12,Dhule,Dondaicha,Wheat,Other,FAQ,1450,1785,1631,23-Sep-20
13,Dhule,Dondaicha,Wheat,Other,FAQ,1400,1746,1611,22-Sep-20
14,Dhule,Dondaicha,Wheat,Other,FAQ,1400,1750,1640,21-Sep-20
15,Dhule,Dondaicha,Wheat,Other,FAQ,1450,1650,1601,18-Sep-20
16,Dhule,Dondaicha,Wheat,Other,FAQ,1450,1636,1591,16-Sep-20
17,Dhule,Dondaicha,Wheat,Other,FAQ,1401,1681,1611,15-Sep-20
18,Dhule,Dondaicha,Wheat,Other,FAQ,1400,1651,1581,14-Sep-20
19,Dhule,Dondaicha,Wheat,Other,FAQ,1450,1676,1611,11-Sep-20
20,Dhule,Dondaicha,Wheat,Other,FAQ,1400,1651,1611,9-Sep-20
21,Dhule,Dondaicha,Wheat,Other,FAQ,1300,1687,1611,8-Sep-20
22,Dhule,Dondaicha,Wheat,Other,FAQ,1400,1661,1600,7-Sep-20
23,Dhule,Dondaicha,Wheat,Other,FAQ,1400,1761,1611,4-Sep-20
24,Dhule,Dondaicha,Wheat,Other,FAQ,1451,1730,1651,24-Aug-20
25,Dhule,Dondaicha,Wheat,Other,FAQ,1550,1800,1771,27-Jul-20
26,Dhule,Dondaicha,Wheat,Other,FAQ,1550,1800,1671,24-Jul-20
27,Dhule,Dondaicha,Wheat,Other,FAQ,1550,1811,1703,23-Jul-20
28,Dhule,Dondaicha,Wheat,Other,FAQ,1671,1761,1751,17-Jul-20
29,Dhule,Dondaicha,Wheat,Other,FAQ,1650,1801,1700,16-Jul-20
30,Dhule,Dondaicha,Wheat,Other,FAQ,1500,1818,1800,15-Jul-20
31,Dhule,Dondaicha,Wheat,Other,FAQ,1500,1814,1781,14-Jul-20
32,Dhule,Dondaicha,Wheat,Other,FAQ,1550,1821,1791,13-Jul-20
