"Min,Max,Modal Price from Maharashtra,Nanded[Wheat],Hadgaon from 01-Jan-2010To25-Oct-2020 (Total-128) (Total-128)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nanded,Hadgaon,Wheat,Other,FAQ,1750,1950,1850,22-Feb-20
2,Nanded,Hadgaon,Wheat,Other,FAQ,1750,1950,1850,20-Feb-20
3,Nanded,Hadgaon,Wheat,Other,FAQ,1750,1950,1850,15-Feb-20
4,Nanded,Hadgaon,Wheat,Other,FAQ,1750,1950,1850,14-Feb-20
5,Nanded,Hadgaon,Wheat,Other,FAQ,1750,1950,1850,29-Jan-20
6,Nanded,Hadgaon,Wheat,Other,FAQ,1750,1950,1850,21-Jan-20
7,Nanded,Hadgaon,Wheat,Other,FAQ,1750,1950,1850,20-Jan-20
8,Nanded,Hadgaon,Wheat,Other,FAQ,1750,1900,1800,14-Jan-20
9,Nanded,Hadgaon,Wheat,Other,FAQ,1750,1950,1850,13-Jan-20
10,Nanded,Hadgaon,Wheat,Other,FAQ,1750,2000,1840,20-Jul-19
11,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1800,14-May-16
12,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1800,13-May-16
13,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1800,11-May-16
14,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1800,10-May-16
15,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1800,9-May-16
16,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1800,7-May-16
17,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1800,5-May-16
18,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1800,4-May-16
19,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1800,3-May-16
20,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1800,2-May-16
21,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1800,30-Apr-16
22,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1800,29-Apr-16
23,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1800,27-Apr-16
24,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1800,26-Apr-16
25,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1800,23-Apr-16
26,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1800,21-Apr-16
27,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1800,18-Apr-16
28,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1800,16-Apr-16
29,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1800,13-Apr-16
30,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1800,12-Apr-16
31,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1700,11-Apr-16
32,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1800,9-Apr-16
33,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1700,6-Apr-16
34,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1700,5-Apr-16
35,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1700,4-Apr-16
36,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1700,2-Apr-16
37,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1700,1-Apr-16
38,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1700,31-Mar-16
39,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1800,30-Mar-16
40,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1700,29-Mar-16
41,Nanded,Hadgaon,Wheat,Other,FAQ,1500,2000,1700,28-Mar-16
42,Nanded,Hadgaon,Wheat,Other,FAQ,1500,1900,1600,22-Mar-16
43,Nanded,Hadgaon,Wheat,Other,FAQ,1500,1800,1600,21-Mar-16
44,Nanded,Hadgaon,Wheat,Other,FAQ,1500,1800,1600,19-Mar-16
45,Nanded,Hadgaon,Wheat,Other,FAQ,1500,1800,1600,18-Mar-16
46,Nanded,Hadgaon,Wheat,Other,FAQ,1500,1800,1700,17-Mar-16
47,Nanded,Hadgaon,Wheat,Other,FAQ,1600,1900,1800,16-Mar-16
48,Nanded,Hadgaon,Wheat,Other,FAQ,1500,1800,1700,15-Mar-16
49,Nanded,Hadgaon,Wheat,Other,FAQ,1500,1800,1650,14-Mar-16
50,Nanded,Hadgaon,Wheat,Other,FAQ,1500,1900,1800,11-Mar-16
51,Nanded,Hadgaon,Wheat,Other,FAQ,1500,1800,1700,10-Mar-16
52,Nanded,Hadgaon,Wheat,Other,FAQ,1600,1800,1700,8-Mar-16
53,Nanded,Hadgaon,Wheat,Other,FAQ,1600,1800,1700,4-Mar-16
54,Nanded,Hadgaon,Wheat,Other,FAQ,1600,1800,1700,3-Mar-16
55,Nanded,Hadgaon,Wheat,Other,FAQ,1650,1800,1700,23-Feb-16
56,Nanded,Hadgaon,Wheat,Other,FAQ,1450,1800,1550,14-Aug-15
57,Nanded,Hadgaon,Wheat,Other,FAQ,1400,1800,1650,10-Aug-15
58,Nanded,Hadgaon,Wheat,Other,FAQ,1400,1800,1550,8-Aug-15
59,Nanded,Hadgaon,Wheat,Other,FAQ,1400,1800,1500,7-Aug-15
60,Nanded,Hadgaon,Wheat,Other,FAQ,1400,1600,1500,23-Jun-15
61,Nanded,Hadgaon,Wheat,Other,FAQ,1400,1800,1600,19-Jun-15
62,Nanded,Hadgaon,Wheat,Other,FAQ,1400,1800,1600,18-Jun-15
63,Nanded,Hadgaon,Wheat,Other,FAQ,1400,1800,1600,17-Jun-15
64,Nanded,Hadgaon,Wheat,Other,FAQ,1600,1800,1600,23-Aug-14
65,Nanded,Hadgaon,Wheat,Other,FAQ,1600,1800,1600,5-Aug-14
66,Nanded,Hadgaon,Wheat,Other,FAQ,1700,1900,1800,10-Aug-13
67,Nanded,Hadgaon,Wheat,Red,FAQ,1400,1800,1600,24-May-13
68,Nanded,Hadgaon,Wheat,Red,FAQ,1400,1800,1600,23-May-13
69,Nanded,Hadgaon,Wheat,Red,FAQ,1400,1800,1600,22-May-13
70,Nanded,Hadgaon,Wheat,Red,FAQ,1400,1800,1600,21-May-13
71,Nanded,Hadgaon,Wheat,Red,FAQ,1400,1800,1600,20-May-13
72,Nanded,Hadgaon,Wheat,Red,FAQ,1400,1800,1600,18-May-13
73,Nanded,Hadgaon,Wheat,Red,FAQ,1400,1800,1600,13-May-13
74,Nanded,Hadgaon,Wheat,Red,FAQ,1400,1800,1600,11-May-13
75,Nanded,Hadgaon,Wheat,Red,FAQ,1400,1800,1600,10-May-13
76,Nanded,Hadgaon,Wheat,Red,FAQ,1400,1800,1600,9-May-13
77,Nanded,Hadgaon,Wheat,Red,FAQ,1400,1800,1600,8-May-13
