"Min,Max,Modal Price from Maharashtra,Wardha[Wheat],Hinganghat from 01-Jan-2010To25-Oct-2020 (Total-1535) (Total-1535)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Wardha,Hinganghat,Wheat,Other,FAQ,1425,1470,1440,12-Oct-20
2,Wardha,Hinganghat,Wheat,Other,FAQ,1400,1455,1420,10-Oct-20
3,Wardha,Hinganghat,Wheat,Other,FAQ,1400,1450,1425,9-Oct-20
4,Wardha,Hinganghat,Wheat,Other,FAQ,1455,1475,1465,8-Oct-20
5,Wardha,Hinganghat,Wheat,Other,FAQ,1420,1490,1450,7-Oct-20
6,Wardha,Hinganghat,Wheat,Other,FAQ,1400,1495,1450,6-Oct-20
7,Wardha,Hinganghat,Wheat,Other,FAQ,1450,1515,1485,5-Oct-20
8,Wardha,Hinganghat,Wheat,Other,FAQ,1400,1535,1470,3-Oct-20
9,Wardha,Hinganghat,Wheat,Other,FAQ,1400,1550,1500,30-Sep-20
10,Wardha,Hinganghat,Wheat,Other,FAQ,1515,1530,1520,29-Sep-20
11,Wardha,Hinganghat,Wheat,Other,FAQ,1500,1530,1515,28-Sep-20
12,Wardha,Hinganghat,Wheat,Other,FAQ,1400,1530,1500,25-Sep-20
13,Wardha,Hinganghat,Wheat,Other,FAQ,1440,1545,1500,23-Sep-20
14,Wardha,Hinganghat,Wheat,Other,FAQ,1400,1540,1480,21-Sep-20
15,Wardha,Hinganghat,Wheat,Other,FAQ,1400,1525,1465,19-Sep-20
16,Wardha,Hinganghat,Wheat,Other,FAQ,1450,1535,1500,18-Sep-20
17,Wardha,Hinganghat,Wheat,Other,FAQ,1450,1525,1480,16-Sep-20
18,Wardha,Hinganghat,Wheat,Other,FAQ,1450,1550,1500,15-Sep-20
19,Wardha,Hinganghat,Wheat,Other,FAQ,1450,1575,1500,11-Sep-20
20,Wardha,Hinganghat,Wheat,Other,FAQ,1540,1575,1560,9-Sep-20
21,Wardha,Hinganghat,Wheat,Other,FAQ,1400,1575,1565,5-Sep-20
22,Wardha,Hinganghat,Wheat,Other,FAQ,1450,1620,1500,4-Sep-20
23,Wardha,Hinganghat,Wheat,Other,FAQ,1450,1575,1500,3-Sep-20
24,Wardha,Hinganghat,Wheat,Other,FAQ,1400,1505,1450,2-Sep-20
25,Wardha,Hinganghat,Wheat,Other,FAQ,1400,1475,1450,31-Aug-20
