"Min,Max,Modal Price from Maharashtra,Parbhani[Wheat],Jintur from 01-Jan-2010To25-Oct-2020 (Total-1343) (Total-1343)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Parbhani,Jintur,Wheat,Other,FAQ,1475,1560,1475,13-Oct-20
2,Parbhani,Jintur,Wheat,Other,FAQ,1480,1525,1480,6-Oct-20
3,Parbhani,Jintur,Wheat,Other,FAQ,2100,2100,2100,1-Oct-20
4,Parbhani,Jintur,Wheat,Other,FAQ,1450,1560,1505,28-Sep-20
5,Parbhani,Jintur,Wheat,Other,FAQ,1570,1640,1595,24-Sep-20
6,Parbhani,Jintur,Wheat,Other,FAQ,1560,1630,1610,21-Sep-20
7,Parbhani,Jintur,Wheat,Other,FAQ,1540,1760,1650,10-Sep-20
8,Parbhani,Jintur,Wheat,Other,FAQ,1725,1850,1740,24-Aug-20
9,Parbhani,Jintur,Wheat,Other,FAQ,1750,1750,1750,27-Jul-20
10,Parbhani,Jintur,Wheat,Other,FAQ,1780,1850,1780,24-Jul-20
11,Parbhani,Jintur,Wheat,Other,FAQ,1820,2025,1840,21-Jul-20
12,Parbhani,Jintur,Wheat,Other,FAQ,1800,1800,1800,10-Jul-20
13,Parbhani,Jintur,Wheat,Other,FAQ,1750,2000,1750,9-Jul-20
14,Parbhani,Jintur,Wheat,Other,FAQ,1825,1825,1825,8-Jul-20
15,Parbhani,Jintur,Wheat,Other,FAQ,1800,2000,1900,7-Jul-20
16,Parbhani,Jintur,Wheat,Other,FAQ,1700,1800,1700,20-Jun-20
17,Parbhani,Jintur,Wheat,Other,FAQ,2073,2073,2073,18-Jun-20
18,Parbhani,Jintur,Wheat,Other,FAQ,1700,2600,2250,20-May-20
19,Parbhani,Jintur,Wheat,Other,FAQ,2000,2300,2000,11-May-20
20,Parbhani,Jintur,Wheat,Other,FAQ,1820,2001,1840,1-May-20
21,Parbhani,Jintur,Wheat,Other,FAQ,1650,2200,1700,20-Mar-20
22,Parbhani,Jintur,Wheat,Other,FAQ,1800,1950,1800,17-Mar-20
23,Parbhani,Jintur,Wheat,Other,FAQ,1800,2301,2075,16-Mar-20
24,Parbhani,Jintur,Wheat,Other,FAQ,1650,1650,1650,14-Mar-20
25,Parbhani,Jintur,Wheat,Other,FAQ,1680,1850,1705,13-Mar-20
26,Parbhani,Jintur,Wheat,Other,FAQ,1700,1750,1725,12-Mar-20
27,Parbhani,Jintur,Wheat,Other,FAQ,1725,2349,1810,11-Mar-20
28,Parbhani,Jintur,Wheat,Other,FAQ,2000,2199,2000,7-Mar-20
29,Parbhani,Jintur,Wheat,Other,FAQ,1825,1840,1825,6-Mar-20
30,Parbhani,Jintur,Wheat,Other,FAQ,1801,1900,1850,5-Mar-20
31,Parbhani,Jintur,Wheat,Other,FAQ,1740,2000,1850,3-Mar-20
32,Parbhani,Jintur,Wheat,Other,FAQ,1675,1900,1850,2-Mar-20
33,Parbhani,Jintur,Wheat,Other,FAQ,1825,1930,1875,28-Feb-20
34,Parbhani,Jintur,Wheat,Other,FAQ,1875,2100,1955,25-Feb-20
35,Parbhani,Jintur,Wheat,Other,FAQ,2106,2200,2199,24-Feb-20
36,Parbhani,Jintur,Wheat,Other,FAQ,1802,1951,1950,22-Feb-20
37,Parbhani,Jintur,Wheat,Other,FAQ,2525,2525,2525,18-Feb-20
38,Parbhani,Jintur,Wheat,Other,FAQ,1840,1945,1900,17-Feb-20
39,Parbhani,Jintur,Wheat,Other,FAQ,1875,1875,1875,15-Feb-20
40,Parbhani,Jintur,Wheat,Other,FAQ,1751,2450,1751,12-Feb-20
41,Parbhani,Jintur,Wheat,Other,FAQ,2275,2275,2275,11-Feb-20
42,Parbhani,Jintur,Wheat,Other,FAQ,2100,2100,2100,10-Feb-20
43,Parbhani,Jintur,Wheat,Other,FAQ,2000,2000,2000,8-Feb-20
44,Parbhani,Jintur,Wheat,Other,FAQ,2000,2300,2000,6-Feb-20
45,Parbhani,Jintur,Wheat,Other,FAQ,1800,1800,1800,4-Feb-20
46,Parbhani,Jintur,Wheat,Other,FAQ,1730,2025,1825,3-Feb-20
47,Parbhani,Jintur,Wheat,Other,FAQ,1931,1931,1931,1-Feb-20
