"Min,Max,Modal Price from Maharashtra,Buldhana[Wheat],Khamgaon from 01-Jan-2010To25-Oct-2020 (Total-1800) (Total-1800)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Buldhana,Khamgaon,Wheat,Other,FAQ,1450,1687,1568,14-Oct-20
2,Buldhana,Khamgaon,Wheat,Other,FAQ,1400,1600,1500,13-Oct-20
3,Buldhana,Khamgaon,Wheat,Other,FAQ,1420,1501,1460,12-Oct-20
4,Buldhana,Khamgaon,Wheat,Other,FAQ,1425,1530,1477,10-Oct-20
5,Buldhana,Khamgaon,Wheat,Other,FAQ,1425,1625,1525,9-Oct-20
6,Buldhana,Khamgaon,Wheat,Other,FAQ,1443,1600,1521,8-Oct-20
7,Buldhana,Khamgaon,Wheat,Other,FAQ,1400,1691,1545,7-Oct-20
8,Buldhana,Khamgaon,Wheat,Other,FAQ,1400,1601,1500,6-Oct-20
9,Buldhana,Khamgaon,Wheat,Other,FAQ,1350,1510,1430,5-Oct-20
10,Buldhana,Khamgaon,Wheat,Other,FAQ,1400,1615,1507,3-Oct-20
11,Buldhana,Khamgaon,Wheat,Other,FAQ,1300,1680,1490,1-Oct-20
12,Buldhana,Khamgaon,Wheat,Other,FAQ,1400,1700,1550,16-Sep-20
13,Buldhana,Khamgaon,Wheat,Other,FAQ,1320,1792,1556,15-Sep-20
14,Buldhana,Khamgaon,Wheat,Other,FAQ,1450,1728,1589,14-Sep-20
15,Buldhana,Khamgaon,Wheat,Other,FAQ,1450,1705,1577,12-Sep-20
16,Buldhana,Khamgaon,Wheat,Other,FAQ,1400,1600,1500,11-Sep-20
17,Buldhana,Khamgaon,Wheat,Other,FAQ,1400,1550,1475,10-Sep-20
18,Buldhana,Khamgaon,Wheat,Other,FAQ,1450,1600,1525,9-Sep-20
19,Buldhana,Khamgaon,Wheat,Other,FAQ,1400,1800,1600,8-Sep-20
20,Buldhana,Khamgaon,Wheat,Other,FAQ,1500,1656,1578,7-Sep-20
21,Buldhana,Khamgaon,Wheat,Other,FAQ,1450,1600,1525,5-Sep-20
22,Buldhana,Khamgaon,Wheat,Other,FAQ,1544,1741,1642,4-Sep-20
23,Buldhana,Khamgaon,Wheat,Other,FAQ,1539,1569,1554,3-Sep-20
24,Buldhana,Khamgaon,Wheat,Other,FAQ,1350,1575,1462,2-Sep-20
25,Buldhana,Khamgaon,Wheat,Other,FAQ,1525,1650,1587,31-Aug-20
26,Buldhana,Khamgaon,Wheat,Other,FAQ,1450,1560,1505,29-Aug-20
27,Buldhana,Khamgaon,Wheat,Other,FAQ,1520,1719,1619,28-Aug-20
28,Buldhana,Khamgaon,Wheat,Other,FAQ,1515,1540,1527,27-Aug-20
29,Buldhana,Khamgaon,Wheat,Other,FAQ,1521,1600,1560,25-Aug-20
30,Buldhana,Khamgaon,Wheat,Other,FAQ,1558,1750,1654,24-Aug-20
31,Buldhana,Khamgaon,Wheat,Other,FAQ,1560,1611,1585,20-Aug-20
32,Buldhana,Khamgaon,Wheat,Other,FAQ,1300,1800,1550,19-Aug-20
33,Buldhana,Khamgaon,Wheat,Other,FAQ,1610,1676,1643,14-Aug-20
34,Buldhana,Khamgaon,Wheat,Other,FAQ,1600,1800,1700,13-Aug-20
