"Min,Max,Modal Price from Maharashtra,Nashik[Wheat],Lasalgaon(Vinchur) from 01-Jan-2010To25-Oct-2020 (Total-120) (Total-120)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1451,1571,1500,14-Oct-20
2,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1400,1531,1490,13-Oct-20
3,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1000,1526,1495,12-Oct-20
4,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1426,1600,1550,10-Oct-20
5,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1400,1635,1500,9-Oct-20
6,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1400,1800,1586,8-Oct-20
7,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1400,1655,1525,7-Oct-20
8,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1450,1590,1500,6-Oct-20
9,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1400,1540,1471,5-Oct-20
10,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1465,1600,1550,3-Oct-20
11,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1200,1526,1451,2-Oct-20
12,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1440,1561,1470,1-Oct-20
13,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1450,1500,1473,30-Sep-20
14,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1430,1600,1550,29-Sep-20
15,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1400,1751,1525,28-Sep-20
16,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1499,1600,1520,26-Sep-20
17,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1400,1650,1526,25-Sep-20
18,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1500,1551,1521,24-Sep-20
19,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1000,1560,1500,23-Sep-20
20,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1100,1570,1520,22-Sep-20
21,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1500,1581,1544,21-Sep-20
22,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1400,1613,1550,19-Sep-20
23,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1519,1725,1601,18-Sep-20
24,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1511,1700,1601,17-Sep-20
25,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1550,1890,1613,16-Sep-20
26,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1550,1761,1601,15-Sep-20
27,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1550,1925,1800,14-Sep-20
28,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1550,1800,1600,12-Sep-20
29,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1500,1900,1600,10-Sep-20
30,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1500,1576,1551,9-Sep-20
31,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1500,1711,1600,8-Sep-20
32,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1500,1812,1750,7-Sep-20
33,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1530,1900,1741,5-Sep-20
34,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1500,1826,1613,4-Sep-20
35,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1560,1628,1599,3-Sep-20
36,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1551,1650,1581,2-Sep-20
37,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1550,1620,1588,31-Aug-20
38,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1561,1630,1582,29-Aug-20
39,Nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ,1500,1640,1551,28-Aug-20
