"Min,Max,Modal Price from Maharashtra,Nanded[Wheat],Loha from 01-Jan-2010To25-Oct-2020 (Total-542) (Total-542)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nanded,Loha,Wheat,Other,FAQ,1375,2000,1500,12-Oct-20
2,Nanded,Loha,Wheat,Other,FAQ,1401,1431,1411,10-Oct-20
3,Nanded,Loha,Wheat,Other,FAQ,1411,1800,1500,9-Oct-20
4,Nanded,Loha,Wheat,Other,FAQ,1390,1800,1400,8-Oct-20
5,Nanded,Loha,Wheat,Other,FAQ,1351,2000,1411,3-Oct-20
6,Nanded,Loha,Wheat,Other,FAQ,1380,1901,1425,1-Oct-20
7,Nanded,Loha,Wheat,Other,FAQ,1380,2011,1400,30-Sep-20
8,Nanded,Loha,Wheat,Other,FAQ,1360,2201,1600,28-Sep-20
9,Nanded,Loha,Wheat,Other,FAQ,1350,1950,1380,26-Sep-20
10,Nanded,Loha,Wheat,Other,FAQ,1300,2351,1360,21-Sep-20
11,Nanded,Loha,Wheat,Other,FAQ,1351,1900,1400,16-Sep-20
12,Nanded,Loha,Wheat,Other,FAQ,1350,1450,1400,5-Sep-20
13,Nanded,Loha,Wheat,Other,FAQ,1400,1500,1455,4-Sep-20
14,Nanded,Loha,Wheat,Other,FAQ,1461,1550,1500,3-Sep-20
15,Nanded,Loha,Wheat,Other,FAQ,1425,2151,1851,24-Aug-20
16,Nanded,Loha,Wheat,Other,FAQ,1500,1800,1550,20-Aug-20
17,Nanded,Loha,Wheat,Other,FAQ,1550,2001,1580,19-Aug-20
18,Nanded,Loha,Wheat,Other,FAQ,1571,1905,1571,17-Aug-20
19,Nanded,Loha,Wheat,Other,FAQ,1500,2000,1581,12-Aug-20
20,Nanded,Loha,Wheat,Other,FAQ,1551,1651,1560,10-Aug-20
21,Nanded,Loha,Wheat,Other,FAQ,1600,2151,1801,7-Aug-20
22,Nanded,Loha,Wheat,Other,FAQ,1600,2350,1811,6-Aug-20
23,Nanded,Loha,Wheat,Other,FAQ,1630,2400,2100,5-Aug-20
24,Nanded,Loha,Wheat,Other,FAQ,1600,2561,1800,3-Aug-20
25,Nanded,Loha,Wheat,Other,FAQ,1650,1850,1651,30-Jul-20
26,Nanded,Loha,Wheat,Other,FAQ,1600,1725,1650,29-Jul-20
27,Nanded,Loha,Wheat,Other,FAQ,1611,2225,1700,27-Jul-20
28,Nanded,Loha,Wheat,Other,FAQ,1661,1700,1675,10-Jul-20
29,Nanded,Loha,Wheat,Other,FAQ,1660,2550,1926,9-Jul-20
30,Nanded,Loha,Wheat,Other,FAQ,1650,2475,1661,8-Jul-20
31,Nanded,Loha,Wheat,Other,FAQ,1600,1800,1625,6-Jul-20
32,Nanded,Loha,Wheat,Other,FAQ,1600,2500,1851,4-Jul-20
33,Nanded,Loha,Wheat,Other,FAQ,1650,1701,1661,3-Jul-20
34,Nanded,Loha,Wheat,Other,FAQ,1650,2000,1700,2-Jul-20
35,Nanded,Loha,Wheat,Other,FAQ,1650,1661,1660,22-Jun-20
36,Nanded,Loha,Wheat,Other,FAQ,1600,2751,1650,20-Jun-20
37,Nanded,Loha,Wheat,Other,FAQ,1660,2100,1671,19-Jun-20
38,Nanded,Loha,Wheat,Other,FAQ,1650,2652,1655,17-Jun-20
39,Nanded,Loha,Wheat,Other,FAQ,1625,2000,1652,15-Jun-20
40,Nanded,Loha,Wheat,Other,FAQ,1771,2701,2300,13-Jun-20
41,Nanded,Loha,Wheat,Other,FAQ,1601,2525,1682,12-Jun-20
42,Nanded,Loha,Wheat,Other,FAQ,1650,2700,2375,10-Jun-20
43,Nanded,Loha,Wheat,Other,FAQ,1650,2751,2600,8-Jun-20
44,Nanded,Loha,Wheat,Other,FAQ,1600,2780,1700,6-Jun-20
45,Nanded,Loha,Wheat,Other,FAQ,1525,2101,1625,3-Jun-20
46,Nanded,Loha,Wheat,Other,FAQ,1590,3100,1900,1-Jun-20
47,Nanded,Loha,Wheat,Other,FAQ,1650,2571,1901,30-May-20
48,Nanded,Loha,Wheat,Other,FAQ,1500,2211,1621,29-May-20
49,Nanded,Loha,Wheat,Other,FAQ,1600,1650,1605,28-May-20
50,Nanded,Loha,Wheat,Other,FAQ,1600,2850,2021,27-May-20
51,Nanded,Loha,Wheat,Other,FAQ,1625,2290,1700,26-May-20
52,Nanded,Loha,Wheat,Other,FAQ,1650,2400,1800,21-May-20
53,Nanded,Loha,Wheat,Other,FAQ,1625,2424,1650,20-May-20
54,Nanded,Loha,Wheat,Other,FAQ,1640,2400,2200,18-May-20
55,Nanded,Loha,Wheat,Other,FAQ,1651,2700,2090,16-May-20
56,Nanded,Loha,Wheat,Other,FAQ,1656,2000,1700,15-May-20
57,Nanded,Loha,Wheat,Other,FAQ,1650,2502,2281,14-May-20
58,Nanded,Loha,Wheat,Other,FAQ,1600,2650,2150,13-May-20
59,Nanded,Loha,Wheat,Other,FAQ,1551,2900,2025,11-May-20
60,Nanded,Loha,Wheat,Other,FAQ,1700,2500,2301,6-May-20
61,Nanded,Loha,Wheat,Other,FAQ,1450,1700,1632,16-Mar-20
62,Nanded,Loha,Wheat,Other,FAQ,1560,1725,1600,14-Mar-20
63,Nanded,Loha,Wheat,Other,FAQ,1600,1701,1650,13-Mar-20
64,Nanded,Loha,Wheat,Other,FAQ,1625,1701,1651,11-Mar-20
65,Nanded,Loha,Wheat,Other,FAQ,1606,1721,1700,7-Mar-20
66,Nanded,Loha,Wheat,Other,FAQ,1752,1950,1800,5-Mar-20
67,Nanded,Loha,Wheat,Other,FAQ,1700,2351,1811,4-Mar-20
68,Nanded,Loha,Wheat,Other,FAQ,1860,2200,2001,28-Feb-20
69,Nanded,Loha,Wheat,Other,FAQ,1811,2311,1949,26-Feb-20
70,Nanded,Loha,Wheat,Other,FAQ,1900,2400,2325,24-Feb-20
71,Nanded,Loha,Wheat,Other,FAQ,1900,2801,2601,22-Feb-20
72,Nanded,Loha,Wheat,Other,FAQ,1900,2526,1920,20-Feb-20
73,Nanded,Loha,Wheat,Other,FAQ,1900,2700,2200,15-Feb-20
74,Nanded,Loha,Wheat,Other,FAQ,1900,2600,2000,14-Feb-20
75,Nanded,Loha,Wheat,Other,FAQ,1901,2550,1921,13-Feb-20
76,Nanded,Loha,Wheat,Other,FAQ,1901,2425,1931,12-Feb-20
77,Nanded,Loha,Wheat,Other,FAQ,1925,2300,2100,7-Feb-20
78,Nanded,Loha,Wheat,Other,FAQ,1821,2200,1850,6-Feb-20
79,Nanded,Loha,Wheat,Other,FAQ,1900,2500,2000,5-Feb-20
80,Nanded,Loha,Wheat,Other,FAQ,1880,2700,1901,1-Feb-20
81,Nanded,Loha,Wheat,Other,FAQ,1900,2000,1905,29-Jan-20
