"Min,Max,Modal Price from Maharashtra,Nagpur[Wheat],Mandhal from 01-Jan-2010To25-Oct-2020 (Total-321) (Total-321)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nagpur,Mandhal,Wheat,Other,FAQ,1500,1500,1500,28-Jun-20
2,Nagpur,Mandhal,Wheat,Other,FAQ,1550,1550,1550,4-Jun-20
3,Nagpur,Mandhal,Wheat,Other,FAQ,1560,1560,1560,31-May-20
4,Nagpur,Mandhal,Wheat,Other,FAQ,1600,1600,1600,28-May-20
5,Nagpur,Mandhal,Wheat,Other,FAQ,1500,1500,1500,24-May-20
6,Nagpur,Mandhal,Wheat,Other,FAQ,1600,1600,1600,21-May-20
7,Nagpur,Mandhal,Wheat,Other,FAQ,1500,1500,1500,17-May-20
8,Nagpur,Mandhal,Wheat,Other,FAQ,1600,1600,1600,14-May-20
9,Nagpur,Mandhal,Wheat,Other,FAQ,1600,1600,1600,10-May-20
10,Nagpur,Mandhal,Wheat,Other,FAQ,1584,1584,1584,16-Apr-20
11,Nagpur,Mandhal,Wheat,Other,FAQ,1750,1750,1750,23-Jun-19
12,Nagpur,Mandhal,Wheat,Other,FAQ,1800,1800,1800,16-Jun-19
13,Nagpur,Mandhal,Wheat,Other,FAQ,1805,1805,1805,9-Jun-19
14,Nagpur,Mandhal,Wheat,Other,FAQ,1799,1799,1799,2-Jun-19
15,Nagpur,Mandhal,Wheat,Other,FAQ,1768,1835,1797,26-May-19
16,Nagpur,Mandhal,Wheat,Other,FAQ,1761,1900,1805,19-May-19
17,Nagpur,Mandhal,Wheat,Other,FAQ,1745,1803,1770,12-May-19
18,Nagpur,Mandhal,Wheat,Other,FAQ,1762,1762,1762,9-May-19
19,Nagpur,Mandhal,Wheat,Other,FAQ,1750,1822,1765,5-May-19
20,Nagpur,Mandhal,Wheat,Other,FAQ,1740,1774,1752,2-May-19
21,Nagpur,Mandhal,Wheat,Other,FAQ,1735,1788,1745,28-Apr-19
22,Nagpur,Mandhal,Wheat,Other,FAQ,1735,1818,1757,25-Apr-19
23,Nagpur,Mandhal,Wheat,Other,FAQ,1662,1800,1713,18-Apr-19
24,Nagpur,Mandhal,Wheat,Other,FAQ,1650,1900,1705,7-Apr-19
25,Nagpur,Mandhal,Wheat,Other,FAQ,1600,1700,1662,4-Apr-19
26,Nagpur,Mandhal,Wheat,Other,FAQ,1635,1730,1673,31-Mar-19
27,Nagpur,Mandhal,Wheat,Other,FAQ,1640,1640,1640,28-Mar-19
28,Nagpur,Mandhal,Wheat,Other,FAQ,1600,1650,1625,24-Mar-19
29,Nagpur,Mandhal,Wheat,Other,FAQ,1595,1750,1639,17-Mar-19
30,Nagpur,Mandhal,Wheat,Other,FAQ,1675,1675,1675,5-Jul-18
31,Nagpur,Mandhal,Wheat,Other,FAQ,1600,1600,1600,1-Jul-18
32,Nagpur,Mandhal,Wheat,Other,FAQ,1750,1750,1750,10-Jun-18
