"Min,Max,Modal Price from Maharashtra,Nashik[Wheat],Manmad from 01-Jan-2010To25-Oct-2020 (Total-1134) (Total-1134)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nashik,Manmad,Wheat,Other,FAQ,1420,1760,1480,14-Oct-20
2,Nashik,Manmad,Wheat,Other,FAQ,1376,1551,1472,13-Oct-20
3,Nashik,Manmad,Wheat,Other,FAQ,1400,1475,1460,12-Oct-20
4,Nashik,Manmad,Wheat,Other,FAQ,1426,1489,1477,9-Oct-20
5,Nashik,Manmad,Wheat,Other,FAQ,1171,1471,1450,8-Oct-20
6,Nashik,Manmad,Wheat,Other,FAQ,1376,1483,1470,7-Oct-20
7,Nashik,Manmad,Wheat,Other,FAQ,1215,1576,1470,6-Oct-20
8,Nashik,Manmad,Wheat,Other,FAQ,1300,1573,1476,5-Oct-20
9,Nashik,Manmad,Wheat,Other,FAQ,1360,1499,1455,1-Oct-20
10,Nashik,Manmad,Wheat,Other,FAQ,1350,1490,1473,30-Sep-20
11,Nashik,Manmad,Wheat,Other,FAQ,1350,1621,1475,29-Sep-20
12,Nashik,Manmad,Wheat,Other,FAQ,1390,1581,1475,28-Sep-20
13,Nashik,Manmad,Wheat,Other,FAQ,1400,1580,1490,25-Sep-20
14,Nashik,Manmad,Wheat,Other,FAQ,1400,1504,1491,24-Sep-20
15,Nashik,Manmad,Wheat,Other,FAQ,1399,1600,1480,23-Sep-20
16,Nashik,Manmad,Wheat,Other,FAQ,1370,1509,1485,22-Sep-20
17,Nashik,Manmad,Wheat,Other,FAQ,1385,1576,1500,21-Sep-20
18,Nashik,Manmad,Wheat,Other,FAQ,1380,1550,1510,18-Sep-20
19,Nashik,Manmad,Wheat,Other,FAQ,1400,1540,1531,15-Sep-20
20,Nashik,Manmad,Wheat,Other,FAQ,1401,1551,1540,14-Sep-20
21,Nashik,Manmad,Wheat,Other,FAQ,1400,1578,1540,11-Sep-20
22,Nashik,Manmad,Wheat,Other,FAQ,1401,1701,1540,10-Sep-20
23,Nashik,Manmad,Wheat,Other,FAQ,1450,1540,1480,9-Sep-20
24,Nashik,Manmad,Wheat,Other,FAQ,1391,1540,1516,8-Sep-20
25,Nashik,Manmad,Wheat,Other,FAQ,1480,1540,1525,7-Sep-20
26,Nashik,Manmad,Wheat,Other,FAQ,1400,1530,1500,4-Sep-20
27,Nashik,Manmad,Wheat,Other,FAQ,1419,1600,1510,3-Sep-20
28,Nashik,Manmad,Wheat,Other,FAQ,1450,1721,1520,2-Sep-20
29,Nashik,Manmad,Wheat,Other,FAQ,1180,1601,1500,28-Aug-20
30,Nashik,Manmad,Wheat,Other,FAQ,1500,1556,1550,27-Aug-20
31,Nashik,Manmad,Wheat,Other,FAQ,1550,1651,1570,26-Aug-20
32,Nashik,Manmad,Wheat,Other,FAQ,1500,1650,1600,20-Aug-20
33,Nashik,Manmad,Wheat,Other,FAQ,1600,1671,1650,19-Aug-20
34,Nashik,Manmad,Wheat,Other,FAQ,1500,1752,1675,17-Aug-20
35,Nashik,Manmad,Wheat,Other,FAQ,1650,1780,1670,13-Aug-20
36,Nashik,Manmad,Wheat,Other,FAQ,1649,1671,1649,12-Aug-20
37,Nashik,Manmad,Wheat,Other,FAQ,1581,1680,1650,11-Aug-20
38,Nashik,Manmad,Wheat,Other,FAQ,1501,1800,1750,10-Aug-20
39,Nashik,Manmad,Wheat,Other,FAQ,1677,1800,1720,7-Aug-20
40,Nashik,Manmad,Wheat,Other,FAQ,1668,1718,1695,6-Aug-20
41,Nashik,Manmad,Wheat,Other,FAQ,1659,1800,1720,5-Aug-20
42,Nashik,Manmad,Wheat,Other,FAQ,1635,1748,1724,4-Aug-20
43,Nashik,Manmad,Wheat,Other,FAQ,1566,1841,1736,30-Jul-20
44,Nashik,Manmad,Wheat,Other,FAQ,1627,1850,1740,29-Jul-20
45,Nashik,Manmad,Wheat,Other,FAQ,1720,1801,1750,28-Jul-20
46,Nashik,Manmad,Wheat,Other,FAQ,1720,1751,1740,27-Jul-20
47,Nashik,Manmad,Wheat,Other,FAQ,1670,1875,1750,24-Jul-20
48,Nashik,Manmad,Wheat,Other,FAQ,1600,1800,1750,17-Jul-20
49,Nashik,Manmad,Wheat,Other,FAQ,1151,1761,1735,15-Jul-20
50,Nashik,Manmad,Wheat,Other,FAQ,1631,1840,1810,14-Jul-20
51,Nashik,Manmad,Wheat,Other,FAQ,1591,1780,1760,13-Jul-20
52,Nashik,Manmad,Wheat,Other,FAQ,1757,1800,1765,10-Jul-20
53,Nashik,Manmad,Wheat,Other,FAQ,1706,1777,1750,9-Jul-20
54,Nashik,Manmad,Wheat,Other,FAQ,1775,1775,1775,8-Jul-20
55,Nashik,Manmad,Wheat,Other,FAQ,1665,2016,1790,7-Jul-20
56,Nashik,Manmad,Wheat,Other,FAQ,1750,1831,1790,6-Jul-20
57,Nashik,Manmad,Wheat,Other,FAQ,1776,1813,1802,3-Jul-20
58,Nashik,Manmad,Wheat,Other,FAQ,1762,1809,1780,2-Jul-20
59,Nashik,Manmad,Wheat,Other,FAQ,1581,1851,1835,1-Jul-20
60,Nashik,Manmad,Wheat,Other,FAQ,1700,1830,1810,30-Jun-20
61,Nashik,Manmad,Wheat,Other,FAQ,1791,1899,1812,29-Jun-20
62,Nashik,Manmad,Wheat,Other,FAQ,1721,1912,1780,26-Jun-20
63,Nashik,Manmad,Wheat,Other,FAQ,1711,1855,1775,25-Jun-20
64,Nashik,Manmad,Wheat,Other,FAQ,1600,1871,1740,24-Jun-20
65,Nashik,Manmad,Wheat,Other,FAQ,1650,1790,1710,23-Jun-20
66,Nashik,Manmad,Wheat,Other,FAQ,1601,1720,1690,22-Jun-20
67,Nashik,Manmad,Wheat,Other,FAQ,1600,1700,1680,19-Jun-20
68,Nashik,Manmad,Wheat,Other,FAQ,1601,1691,1670,18-Jun-20
69,Nashik,Manmad,Wheat,Other,FAQ,1500,1902,1708,16-Jun-20
70,Nashik,Manmad,Wheat,Other,FAQ,1650,1800,1706,15-Jun-20
71,Nashik,Manmad,Wheat,Other,FAQ,1775,1947,1775,12-Jun-20
72,Nashik,Manmad,Wheat,Other,FAQ,1666,1712,1690,11-Jun-20
73,Nashik,Manmad,Wheat,Other,FAQ,1680,2000,1720,10-Jun-20
74,Nashik,Manmad,Wheat,Other,FAQ,1550,2001,1550,9-Jun-20
75,Nashik,Manmad,Wheat,Other,FAQ,1550,2011,1775,8-Jun-20
76,Nashik,Manmad,Wheat,Other,FAQ,1500,1851,1642,5-Jun-20
77,Nashik,Manmad,Wheat,Other,FAQ,1706,1950,1800,3-Jun-20
