"Min,Max,Modal Price from Maharashtra,Osmanabad[Wheat],Murim from 01-Jan-2010To25-Oct-2020 (Total-346) (Total-346)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Osmanabad,Murim,Wheat,Bansi,FAQ,2301,2301,2301,2-Sep-20
2,Osmanabad,Murim,Wheat,Bansi,FAQ,1250,2800,2025,29-Aug-20
3,Osmanabad,Murim,Wheat,Bansi,FAQ,1200,2300,1750,28-Aug-20
4,Osmanabad,Murim,Wheat,Bansi,FAQ,1530,2000,1765,23-Jul-20
5,Osmanabad,Murim,Wheat,Bansi,FAQ,2300,2300,2300,2-Jul-20
6,Osmanabad,Murim,Wheat,Bansi,FAQ,2150,2150,2150,16-Jun-20
7,Osmanabad,Murim,Wheat,Bansi,FAQ,1400,1400,1400,13-Jun-20
8,Osmanabad,Murim,Wheat,Bansi,FAQ,2500,2500,2500,10-Jun-20
9,Osmanabad,Murim,Wheat,Bansi,FAQ,1601,2801,2201,28-May-20
10,Osmanabad,Murim,Wheat,Bansi,FAQ,1500,2770,2135,27-May-20
11,Osmanabad,Murim,Wheat,Bansi,FAQ,2100,2100,2100,26-May-20
12,Osmanabad,Murim,Wheat,Bansi,FAQ,2901,2901,2901,21-May-20
13,Osmanabad,Murim,Wheat,Bansi,FAQ,1700,2100,1900,18-May-20
14,Osmanabad,Murim,Wheat,Bansi,FAQ,1600,1600,1600,16-May-20
15,Osmanabad,Murim,Wheat,Bansi,FAQ,3451,3451,3451,11-May-20
16,Osmanabad,Murim,Wheat,Bansi,FAQ,2450,2450,2450,8-May-20
17,Osmanabad,Murim,Wheat,Bansi,FAQ,1500,1500,1500,20-Mar-20
18,Osmanabad,Murim,Wheat,Bansi,FAQ,1800,1800,1800,18-Mar-20
19,Osmanabad,Murim,Wheat,Bansi,FAQ,1580,2351,1965,17-Mar-20
20,Osmanabad,Murim,Wheat,Bansi,FAQ,1400,1400,1400,16-Mar-20
21,Osmanabad,Murim,Wheat,Bansi,FAQ,1700,2000,1850,11-Mar-20
22,Osmanabad,Murim,Wheat,Bansi,FAQ,2200,2200,2200,9-Mar-20
23,Osmanabad,Murim,Wheat,Bansi,FAQ,1701,1701,1701,7-Mar-20
24,Osmanabad,Murim,Wheat,Bansi,FAQ,2200,2550,2375,6-Mar-20
25,Osmanabad,Murim,Wheat,Bansi,FAQ,1931,1931,1931,3-Mar-20
26,Osmanabad,Murim,Wheat,Bansi,FAQ,1900,1900,1900,28-Feb-20
27,Osmanabad,Murim,Wheat,Bansi,FAQ,2200,2200,2200,26-Feb-20
28,Osmanabad,Murim,Wheat,Bansi,FAQ,2200,2200,2200,20-Feb-20
29,Osmanabad,Murim,Wheat,Bansi,FAQ,1800,1800,1800,29-Jan-20
30,Osmanabad,Murim,Wheat,Bansi,FAQ,2450,2450,2450,10-Jan-20
31,Osmanabad,Murim,Wheat,Bansi,FAQ,2750,2750,2750,8-Jan-20
32,Osmanabad,Murim,Wheat,Bansi,FAQ,1901,1901,1901,7-Jan-20
33,Osmanabad,Murim,Wheat,Bansi,FAQ,2300,2300,2300,6-Jan-20
34,Osmanabad,Murim,Wheat,Bansi,FAQ,1880,1880,1880,5-Dec-19
35,Osmanabad,Murim,Wheat,Bansi,FAQ,2200,2200,2200,28-May-19
36,Osmanabad,Murim,Wheat,Bansi,FAQ,1751,1751,1751,27-May-19
37,Osmanabad,Murim,Wheat,Bansi,FAQ,2502,3020,2761,9-May-19
38,Osmanabad,Murim,Wheat,Bansi,FAQ,1701,2950,2325,2-May-19
39,Osmanabad,Murim,Wheat,Bansi,FAQ,2878,2878,2878,25-Apr-19
40,Osmanabad,Murim,Wheat,Bansi,FAQ,1700,1700,1700,20-Apr-19
41,Osmanabad,Murim,Wheat,Bansi,FAQ,2901,2901,2901,12-Apr-19
42,Osmanabad,Murim,Wheat,Bansi,FAQ,2449,2470,2460,11-Apr-19
43,Osmanabad,Murim,Wheat,Bansi,FAQ,1752,1800,1776,8-Apr-19
