"Min,Max,Modal Price from Maharashtra,Osmanabad[Wheat],Osmanabad from 01-Jan-2010To25-Oct-2020 (Total-205) (Total-205)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1701,2200,2200,8-Jan-17
2,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1401,1401,1401,23-Oct-16
3,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1900,1900,1900,20-Oct-16
4,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,2200,2200,2200,6-Oct-16
5,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1541,1541,1541,29-Sep-16
6,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1800,1800,1800,25-Sep-16
7,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1800,1800,1800,22-Sep-16
8,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1521,1571,1571,18-Sep-16
9,Osmanabad,Osmanabad,Wheat,Bansi,FAQ,4000,4000,4000,15-Sep-16
10,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1500,1891,1601,15-Sep-16
11,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1500,2300,1901,8-Sep-16
12,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,2050,2050,2050,21-Aug-16
13,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1601,2175,2175,4-Aug-16
14,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,2051,2051,2051,31-Jul-16
15,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1551,2401,1800,28-Jul-16
16,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1580,2401,1726,3-Jul-16
17,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1726,1726,1726,26-Jun-16
18,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1801,2101,1900,23-Jun-16
19,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,2530,2530,2530,16-Jun-16
20,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,2000,2210,2100,9-Jun-16
21,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1801,3200,2000,2-Jun-16
22,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1901,1901,1901,29-May-16
23,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,2000,2000,2000,22-May-16
24,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,2501,2501,2501,19-May-16
25,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1900,4101,2500,12-May-16
26,Osmanabad,Osmanabad,Wheat,Bansi,FAQ,1800,5000,4400,17-Apr-16
27,Osmanabad,Osmanabad,Wheat,Bansi,FAQ,2135,3100,2600,10-Apr-16
28,Osmanabad,Osmanabad,Wheat,Bansi,FAQ,1900,5000,2680,3-Apr-16
29,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1701,2000,1800,20-Mar-16
30,Osmanabad,Osmanabad,Wheat,Bansi,FAQ,3220,4701,4000,17-Mar-16
31,Osmanabad,Osmanabad,Wheat,Bansi,FAQ,2500,3200,2900,13-Mar-16
32,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,2249,2260,2250,3-Mar-16
33,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1900,1900,1900,28-Jan-16
34,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1490,1490,1490,24-Jan-16
35,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1510,1510,1510,17-Dec-15
36,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1450,1525,1500,6-Dec-15
37,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1441,2200,2150,3-Dec-15
38,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1446,1800,1725,29-Nov-15
39,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1449,2300,1500,19-Nov-15
40,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,2000,2481,2300,15-Nov-15
41,Osmanabad,Osmanabad,Wheat,Bansi,FAQ,2790,2900,2800,9-Aug-15
42,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1400,2250,1890,30-Jul-15
43,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1682,2000,1800,19-Jul-15
44,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1800,2700,2335,12-Jul-15
45,Osmanabad,Osmanabad,Wheat,Bansi,FAQ,2300,3250,2600,9-Jul-15
46,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1400,2201,1500,21-Jun-15
47,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1451,3000,2225,14-Jun-15
48,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1760,3001,2380,11-Jun-15
49,Osmanabad,Osmanabad,Wheat,Bansi,FAQ,3191,3191,3191,7-Jun-15
50,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1700,2050,1875,4-Jun-15
51,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1440,2610,2025,24-May-15
52,Osmanabad,Osmanabad,Wheat,Bansi,FAQ,3000,3100,3050,21-May-15
53,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1451,1950,1700,21-May-15
54,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1440,2200,1900,17-May-15
55,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1710,3001,2355,14-May-15
56,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1600,3100,2350,10-May-15
57,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,2050,4000,3025,3-May-15
58,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1525,3700,2612,30-Apr-15
59,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1801,3900,2850,26-Apr-15
60,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1500,3500,2500,23-Apr-15
61,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1550,3000,2275,21-Apr-15
62,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1400,4000,2700,19-Apr-15
63,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1702,4050,2876,16-Apr-15
64,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1400,4000,2700,12-Apr-15
65,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1491,3775,2633,9-Apr-15
66,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1400,5300,3350,5-Apr-15
67,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1850,2250,2050,16-Jan-15
68,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1850,2250,2050,16-Jan-15
69,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1700,1800,1750,30-Nov-14
70,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1450,1650,1500,27-Nov-14
71,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1417,1452,1435,16-Oct-14
72,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,2301,4971,3000,29-Aug-13
73,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1450,2000,1700,25-Aug-13
74,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1700,4451,3075,22-Aug-13
75,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,2000,2000,2000,1-Aug-13
76,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1400,1400,1400,28-Jul-13
77,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1900,4450,3175,25-Jul-13
78,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1700,1700,1700,18-Jul-13
79,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1281,1665,1400,10-May-13
80,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1950,1950,1950,6-Jan-13
81,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1495,1699,1600,27-Dec-12
82,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1263,1900,1500,9-Dec-12
83,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1371,2000,1650,6-Dec-12
84,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1300,1850,1550,8-Nov-12
85,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1200,1600,1400,4-Nov-12
86,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1200,1651,1450,1-Nov-12
87,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1200,1750,1475,28-Oct-12
88,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1150,2000,1550,25-Oct-12
89,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1100,1600,1350,24-Oct-12
90,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1400,1480,1420,21-Oct-12
91,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1261,1676,1468,18-Oct-12
92,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1291,1600,1440,14-Oct-12
93,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1500,2100,1800,11-Oct-12
94,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1795,2010,1900,7-Oct-12
95,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1770,2200,1950,30-Sep-12
96,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1250,2056,1600,27-Sep-12
97,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1600,2600,2100,23-Sep-12
98,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1100,1875,1500,21-Sep-12
99,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1251,2411,1830,16-Sep-12
100,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,2000,2000,2000,13-Sep-12
101,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1600,1990,1750,2-Sep-12
102,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1500,1500,1500,30-Aug-12
103,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1410,1495,1450,26-Aug-12
104,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1600,1741,1670,12-Aug-12
105,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1100,1500,1300,5-Aug-12
106,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1200,2400,1800,22-Jul-12
107,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1401,1921,1750,19-Jul-12
108,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1600,1600,1600,24-Jun-12
109,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1200,1612,1500,17-Jun-12
110,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1151,1991,1600,14-Jun-12
111,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1796,1796,1796,10-Jun-12
112,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1410,1860,1600,13-May-12
113,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1510,2500,1700,16-Apr-12
114,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1100,1952,1500,2-Apr-12
115,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1186,1800,1450,15-Mar-12
116,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1100,1800,1400,9-Mar-12
117,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1100,1291,1250,12-Feb-12
118,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1100,1300,1200,11-Sep-11
119,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1100,1500,1350,26-Jun-11
120,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1100,1500,1300,23-Jun-11
121,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1100,2000,1650,19-Jun-11
122,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1101,1500,1350,9-Jun-11
123,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1100,1800,1600,2-Jun-11
124,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1146,1851,1550,26-May-11
125,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1100,1700,1400,22-May-11
126,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1150,1951,1600,29-Apr-11
127,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1100,1600,1350,24-Apr-11
128,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1200,1970,1585,17-Apr-11
129,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1125,2000,1600,10-Apr-11
130,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1200,1975,1700,7-Apr-11
131,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1100,2100,1650,4-Apr-11
132,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1176,1572,1350,1-Apr-11
133,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1100,1600,1450,25-Mar-11
134,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1200,1690,1450,13-Mar-11
135,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1251,1726,1500,10-Mar-11
136,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1100,1553,1400,3-Mar-11
137,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1449,1775,1600,27-Feb-11
138,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1450,1800,1750,24-Feb-11
139,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1450,1776,1550,20-Feb-11
140,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1080,1951,1600,13-Feb-11
141,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1100,1600,1300,10-Feb-11
142,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1100,1630,1400,6-Feb-11
143,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1451,2101,1800,3-Feb-11
144,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1100,2250,1600,30-Jan-11
145,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1240,1500,1350,27-Jan-11
146,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1150,2500,1600,23-Jan-11
147,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1200,1575,1400,16-Jan-11
148,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1200,1801,1600,13-Jan-11
149,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1276,2000,1750,9-Jan-11
150,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1200,1771,1500,6-Jan-11
151,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1221,2010,1615,2-Jan-11
152,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1200,2100,1700,30-Dec-10
153,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1400,1400,1400,19-Dec-10
154,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1100,2100,1650,2-Dec-10
155,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1300,1951,1650,28-Nov-10
156,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1100,2100,1650,25-Nov-10
157,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1200,1351,1250,21-Nov-10
158,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1150,1700,1450,18-Nov-10
159,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1100,1550,1350,14-Nov-10
160,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1221,1800,1500,11-Nov-10
161,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1100,1475,1300,7-Nov-10
162,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1090,2000,1545,31-Oct-10
163,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1101,1800,1550,28-Oct-10
164,Osmanabad,Osmanabad,Wheat,Maharashtra 2189,FAQ,1200,1325,1300,24-Oct-10
