"Min,Max,Modal Price from Maharashtra,Sholapur[Wheat],Pandharpur from 01-Jan-2010To25-Oct-2020 (Total-639) (Total-639)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sholapur,Pandharpur,Wheat,Maharashtra 2189,FAQ,1900,1900,1900,24-Sep-20
2,Sholapur,Pandharpur,Wheat,Maharashtra 2189,FAQ,2000,2000,2000,16-Sep-20
3,Sholapur,Pandharpur,Wheat,Maharashtra 2189,FAQ,2001,2001,2001,21-Jul-20
4,Sholapur,Pandharpur,Wheat,Maharashtra 2189,FAQ,3600,3600,3600,15-Jul-20
5,Sholapur,Pandharpur,Wheat,Maharashtra 2189,FAQ,1700,1700,1700,16-Jun-20
6,Sholapur,Pandharpur,Wheat,Maharashtra 2189,FAQ,1000,1560,1560,23-May-20
7,Sholapur,Pandharpur,Wheat,Maharashtra 2189,FAQ,2000,2000,2000,15-May-20
8,Sholapur,Pandharpur,Wheat,Maharashtra 2189,FAQ,1600,1600,1600,14-May-20
9,Sholapur,Pandharpur,Wheat,Maharashtra 2189,FAQ,1900,1900,1900,20-Mar-20
10,Sholapur,Pandharpur,Wheat,Maharashtra 2189,FAQ,2250,2250,2250,13-Feb-20
11,Sholapur,Pandharpur,Wheat,Maharashtra 2189,FAQ,2211,2211,2211,3-Feb-20
12,Sholapur,Pandharpur,Wheat,Maharashtra 2189,FAQ,2450,2450,2450,17-Jan-20
13,Sholapur,Pandharpur,Wheat,Maharashtra 2189,FAQ,2150,2150,2150,24-Dec-19
14,Sholapur,Pandharpur,Wheat,Maharashtra 2189,FAQ,2200,2200,2200,16-Dec-19
15,Sholapur,Pandharpur,Wheat,Maharashtra 2189,FAQ,2300,2300,2300,13-Dec-19
16,Sholapur,Pandharpur,Wheat,Maharashtra 2189,FAQ,2300,2300,2300,4-Dec-19
17,Sholapur,Pandharpur,Wheat,Maharashtra 2189,FAQ,2200,2475,2475,28-Nov-19
18,Sholapur,Pandharpur,Wheat,Maharashtra 2189,FAQ,2150,2150,2150,18-Nov-19
19,Sholapur,Pandharpur,Wheat,Maharashtra 2189,FAQ,2225,2225,2225,26-Aug-19
20,Sholapur,Pandharpur,Wheat,Maharashtra 2189,FAQ,2200,2200,2200,6-Aug-19
