"Min,Max,Modal Price from Maharashtra,Vashim[Wheat],Risod from 01-Jan-2010To25-Oct-2020 (Total-83) (Total-83)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Vashim,Risod,Wheat,Other,FAQ,1800,2150,1975,31-Jul-20
2,Vashim,Risod,Wheat,Other,FAQ,1525,1795,1650,22-Jun-20
3,Vashim,Risod,Wheat,Other,FAQ,1800,2100,1950,2-Jun-20
4,Vashim,Risod,Wheat,Other,FAQ,1850,2075,1950,30-May-20
5,Vashim,Risod,Wheat,Other,FAQ,1800,2200,2000,29-May-20
6,Vashim,Risod,Wheat,Other,FAQ,1675,1890,1800,23-May-20
7,Vashim,Risod,Wheat,Other,FAQ,1500,1650,1575,21-May-20
8,Vashim,Risod,Wheat,Other,FAQ,1650,1950,1800,20-May-20
9,Vashim,Risod,Wheat,Other,FAQ,1600,2000,1800,19-May-20
10,Vashim,Risod,Wheat,Other,FAQ,1840,2050,1950,18-May-20
11,Vashim,Risod,Wheat,Other,FAQ,1765,2050,1900,15-May-20
12,Vashim,Risod,Wheat,Other,FAQ,1800,2020,1900,9-May-20
13,Vashim,Risod,Wheat,Other,FAQ,1785,1955,1900,5-May-20
14,Vashim,Risod,Wheat,Other,FAQ,1425,1675,1515,17-Mar-15
15,Vashim,Risod,Wheat,Other,FAQ,1350,1610,1415,2-Jul-12
16,Vashim,Risod,Wheat,Other,FAQ,1200,1600,1300,22-May-12
17,Vashim,Risod,Wheat,Other,FAQ,1200,1600,1300,21-May-12
18,Vashim,Risod,Wheat,Other,FAQ,1200,1600,1300,19-May-12
19,Vashim,Risod,Wheat,Other,FAQ,1200,1600,1300,18-May-12
20,Vashim,Risod,Wheat,Other,FAQ,1300,1600,1350,16-May-12
21,Vashim,Risod,Wheat,Other,FAQ,1200,1600,1300,15-May-12
22,Vashim,Risod,Wheat,Other,FAQ,1200,1600,1350,14-May-12
23,Vashim,Risod,Wheat,Other,FAQ,1200,1600,1350,11-May-12
24,Vashim,Risod,Wheat,Other,FAQ,1200,1500,1350,9-May-12
25,Vashim,Risod,Wheat,Other,FAQ,1200,1600,1350,7-May-12
26,Vashim,Risod,Wheat,Other,FAQ,1200,1600,1350,5-May-12
27,Vashim,Risod,Wheat,Other,FAQ,1200,1600,1350,2-May-12
28,Vashim,Risod,Wheat,Other,FAQ,1200,1600,1350,30-Apr-12
29,Vashim,Risod,Wheat,Other,FAQ,1200,1600,1350,28-Apr-12
30,Vashim,Risod,Wheat,Other,FAQ,1200,1600,1350,27-Apr-12
31,Vashim,Risod,Wheat,Other,FAQ,1200,1600,1350,24-Apr-12
32,Vashim,Risod,Wheat,Other,FAQ,1150,1600,1350,23-Apr-12
33,Vashim,Risod,Wheat,Other,FAQ,1150,1600,1250,21-Apr-12
34,Vashim,Risod,Wheat,Other,FAQ,1200,1500,1350,20-Apr-12
35,Vashim,Risod,Wheat,Other,FAQ,1200,1500,1350,17-Apr-12
36,Vashim,Risod,Wheat,Other,FAQ,1200,1500,1350,16-Apr-12
37,Vashim,Risod,Wheat,Other,FAQ,1200,1500,1350,13-Apr-12
38,Vashim,Risod,Wheat,Other,FAQ,1250,1500,1350,11-Apr-12
39,Vashim,Risod,Wheat,Other,FAQ,1250,1500,1350,10-Apr-12
40,Vashim,Risod,Wheat,Other,FAQ,1250,1500,1350,9-Apr-12
41,Vashim,Risod,Wheat,Other,FAQ,1100,1300,1200,16-Jan-12
42,Vashim,Risod,Wheat,Other,FAQ,1150,1250,1200,8-Aug-11
43,Vashim,Risod,Wheat,Other,FAQ,1100,1300,1250,13-Jul-11
44,Vashim,Risod,Wheat,Other,FAQ,1100,1250,1150,9-Jul-11
45,Vashim,Risod,Wheat,Other,FAQ,1150,1350,1250,27-Jun-11
46,Vashim,Risod,Wheat,Other,FAQ,1150,1300,1250,24-Jun-11
47,Vashim,Risod,Wheat,Other,FAQ,1150,1300,1250,4-Jun-11
48,Vashim,Risod,Wheat,Other,FAQ,1150,1350,1250,1-Jun-11
49,Vashim,Risod,Wheat,Other,FAQ,1150,1350,1250,31-May-11
50,Vashim,Risod,Wheat,Other,FAQ,1150,1350,1250,30-May-11
51,Vashim,Risod,Wheat,Other,FAQ,1100,1350,1250,23-May-11
52,Vashim,Risod,Wheat,Other,FAQ,1100,1300,1250,16-May-11
53,Vashim,Risod,Wheat,Other,FAQ,1100,1300,1200,14-May-11
54,Vashim,Risod,Wheat,Other,FAQ,1100,1400,1350,2-May-11
55,Vashim,Risod,Wheat,Other,FAQ,1150,1500,1350,4-Sep-10
56,Vashim,Risod,Wheat,Other,FAQ,1150,1400,1250,25-Aug-10
57,Vashim,Risod,Wheat,Other,FAQ,1100,1450,1250,24-Aug-10
58,Vashim,Risod,Wheat,Other,FAQ,1150,1500,1350,23-Aug-10
59,Vashim,Risod,Wheat,Other,FAQ,1100,1400,1350,21-Aug-10
60,Vashim,Risod,Wheat,Other,FAQ,1150,1650,1250,13-Apr-10
61,Vashim,Risod,Wheat,Other,FAQ,1100,1350,1250,12-Apr-10
62,Vashim,Risod,Wheat,Other,FAQ,1110,1500,1250,10-Apr-10
63,Vashim,Risod,Wheat,Other,FAQ,1150,1600,1350,9-Apr-10
64,Vashim,Risod,Wheat,Other,FAQ,1100,1350,1150,7-Apr-10
65,Vashim,Risod,Wheat,Other,FAQ,1100,1250,1150,6-Apr-10
66,Vashim,Risod,Wheat,Other,FAQ,1100,1250,1150,5-Apr-10
67,Vashim,Risod,Wheat,Other,FAQ,1170,1280,1200,17-Mar-10
68,Vashim,Risod,Wheat,Other,FAQ,1140,1350,1250,14-Mar-10
69,Vashim,Risod,Wheat,Other,FAQ,1150,1650,1450,13-Mar-10
70,Vashim,Risod,Wheat,Other,FAQ,1125,1210,1150,12-Mar-10
71,Vashim,Risod,Wheat,Other,FAQ,1100,1250,1200,10-Mar-10
72,Vashim,Risod,Wheat,Other,FAQ,1100,1250,1200,9-Mar-10
73,Vashim,Risod,Wheat,Other,FAQ,1100,1250,1200,8-Mar-10
74,Vashim,Risod,Wheat,Other,FAQ,1100,1250,1150,6-Mar-10
75,Vashim,Risod,Wheat,Other,FAQ,1100,1250,1200,5-Mar-10
76,Vashim,Risod,Wheat,Other,FAQ,1550,1800,1650,19-Jan-10
77,Vashim,Risod,Wheat,Other,FAQ,1550,1800,1650,18-Jan-10
78,Vashim,Risod,Wheat,Other,FAQ,1650,1800,1750,8-Jan-10
79,Vashim,Risod,Wheat,Other,FAQ,1550,1800,1650,6-Jan-10
80,Vashim,Risod,Wheat,Other,FAQ,1500,1750,1600,5-Jan-10
81,Vashim,Risod,Wheat,Other,FAQ,1500,1800,1650,4-Jan-10
82,Vashim,Risod,Wheat,Other,FAQ,1450,1800,1650,2-Jan-10
83,Vashim,Risod,Wheat,Other,FAQ,1400,1800,1650,1-Jan-10
